block,density,gravel,x,y,seed_count_total,inflor_mass,biomass_whole,tillers,standard_note,all_seed_drop,herbivory,physical_damage,seed_drop,smut,plantID,site,genotype,first_flower,live,v
1,hi,black,1,1,208,NA,0.46,4,NA,NA,NA,NA,NA,NA,SS2022_1,SS,25,138,Y,FG
1,hi,black,1,10,29,NA,0.05,1,NA,NA,NA,NA,NA,NA,SS2022_10,SS,75,165,Y,FG
1,hi,black,1,2,73,NA,0.17,1,NA,NA,NA,NA,NA,NA,SS2022_2,SS,96,138,Y,FG
1,hi,black,1,3,1,NA,0.008,1,NA,NA,NA,NA,1,NA,SS2022_3,SS,34,151,Y,FG
1,hi,black,1,4,52,NA,0.15,1,NA,NA,NA,NA,NA,NA,SS2022_4,SS,57,138,Y,FG
1,hi,black,1,5,6,NA,0.02,1,NA,NA,NA,NA,1,NA,SS2022_5,SS,72,138,Y,FG
1,hi,black,1,6,8,NA,0.03,1,NA,NA,NA,NA,1,NA,SS2022_6,SS,82,138,Y,FG
1,hi,black,1,7,5,NA,0.02,1,NA,NA,NA,NA,NA,NA,SS2022_7,SS,55,138,Y,FG
1,hi,black,1,9,1,NA,0.004,1,NA,NA,NA,NA,1,NA,SS2022_9,SS,32,138,Y,FG
1,hi,black,10,1,34,NA,0.03,2,NA,NA,NA,NA,NA,NA,SS2022_91,SS,89,186,Y,FP
1,hi,black,10,10,5,NA,0.02,1,NA,NA,NA,NA,1,NA,SS2022_100,SS,64,165,Y,FG
1,hi,black,10,2,78,NA,0.18,2,NA,NA,NA,NA,NA,NA,SS2022_92,SS,76,138,Y,FG
1,hi,black,10,3,122,NA,0.24,1,NA,NA,NA,NA,NA,NA,SS2022_93,SS,6,165,Y,FG
1,hi,black,10,5,119,NA,0.36,2,NA,NA,NA,NA,NA,NA,SS2022_95,SS,8,138,Y,FG
1,hi,black,10,6,2,NA,0.007,1,NA,NA,NA,NA,1,NA,SS2022_96,SS,28,165,Y,FG
1,hi,black,10,7,25,NA,0.07,1,NA,NA,NA,NA,NA,NA,SS2022_97,SS,73,138,Y,FG
1,hi,black,10,9,17,NA,0.04,1,NA,NA,NA,NA,NA,NA,SS2022_99,SS,63,151,Y,FG
1,hi,black,2,1,60,NA,0.17,2,NA,NA,NA,NA,NA,NA,SS2022_11,SS,77,138,Y,FG
1,hi,black,2,10,31,NA,0.13,2,NA,NA,NA,NA,NA,NA,SS2022_20,SS,101,138,Y,FG
1,hi,black,2,2,128,NA,0.28,3,NA,NA,NA,NA,NA,NA,SS2022_12,SS,54,151,Y,FG
1,hi,black,2,3,111,NA,0.33,3,NA,NA,NA,NA,NA,NA,SS2022_13,SS,71,151,Y,FG
1,hi,black,2,4,156,NA,0.28,4,NA,NA,NA,NA,NA,NA,SS2022_14,SS,66,151,Y,FG
1,hi,black,2,5,13,NA,0.04,1,NA,NA,NA,NA,NA,NA,SS2022_15,SS,95,138,Y,FG
1,hi,black,2,7,110,NA,0.36,3,NA,NA,NA,NA,NA,NA,SS2022_17,SS,29,151,Y,FG
1,hi,black,2,8,33,NA,0.1,1,NA,NA,NA,NA,NA,NA,SS2022_18,SS,14,138,Y,FG
1,hi,black,2,9,189,NA,0.32,2,NA,NA,NA,NA,NA,NA,SS2022_19,SS,1,165,Y,FG
1,hi,black,3,3,38,NA,0.09,2,NA,NA,NA,NA,NA,NA,SS2022_23,SS,83,151,Y,FG
1,hi,black,3,4,51,NA,0.17,3,NA,NA,NA,NA,NA,NA,SS2022_24,SS,42,138,Y,FG
1,hi,black,3,5,30,NA,0.14,2,NA,NA,NA,NA,NA,NA,SS2022_25,SS,74,138,Y,FG
1,hi,black,3,6,68,NA,0.2,3,NA,NA,NA,NA,NA,NA,SS2022_26,SS,9,138,Y,FG
1,hi,black,3,8,6,NA,0.01,1,NA,NA,NA,NA,1,NA,SS2022_28,SS,104,165,Y,FG
1,hi,black,3,9,116,NA,0.48,4,NA,NA,NA,NA,NA,NA,SS2022_29,SS,62,138,Y,FG
1,hi,black,4,1,80,NA,0.17,1,NA,NA,NA,NA,NA,NA,SS2022_31,SS,7,165,Y,FG
1,hi,black,4,10,4,NA,0.04,1,NA,NA,NA,NA,1,NA,SS2022_40,SS,87,138,Y,FG
1,hi,black,4,2,1,NA,0.007,1,NA,NA,NA,NA,NA,NA,SS2022_32,SS,19,151,Y,FG
1,hi,black,4,3,9,NA,0.04,1,NA,NA,NA,NA,1,NA,SS2022_33,SS,100,138,Y,FG
1,hi,black,4,4,12,NA,0.04,1,NA,NA,NA,NA,NA,NA,SS2022_34,SS,56,138,Y,FG
1,hi,black,4,5,32,NA,0.06,2,smut,NA,NA,NA,NA,1,SS2022_35,SS,92,138,Y,FG
1,hi,black,4,6,27,NA,0.07,1,NA,NA,NA,NA,NA,NA,SS2022_36,SS,57,165,Y,FG
1,hi,black,4,7,51,NA,0.16,1,NA,NA,NA,NA,NA,NA,SS2022_37,SS,52,138,Y,FG
1,hi,black,4,8,134,NA,0.34,3,NA,NA,NA,NA,NA,NA,SS2022_38,SS,33,138,Y,FG
1,hi,black,5,1,35,NA,0.1,1,NA,NA,NA,NA,NA,NA,SS2022_41,SS,18,138,Y,FG
1,hi,black,5,10,215,NA,0.45,8,NA,NA,NA,NA,NA,NA,SS2022_50,SS,31,138,Y,FG
1,hi,black,5,3,77,NA,0.21,2,NA,NA,NA,NA,NA,NA,SS2022_43,SS,88,138,Y,FG
1,hi,black,5,5,72,NA,0.21,3,physicaldamage,NA,NA,1,1,NA,SS2022_45,SS,61,138,Y,FG
1,hi,black,5,6,53,NA,0.16,1,NA,NA,NA,NA,NA,NA,SS2022_46,SS,98,138,Y,FG
1,hi,black,5,7,41,NA,0.12,1,NA,NA,NA,NA,NA,NA,SS2022_47,SS,26,138,Y,FG
