site_code,longitude,latitude,genotype,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19
AAFC04,-120.65,50.08,1,4.350000000000023,10.4,0.3150000095367432,739.1,22.450000000000045,-10.449999999999989,32.9,-10.449999999999989,0.1500000000000341,14.050000000000011,-4.849999999999966,326.20000000000005,39.7,16.3,27.3,104.2,54.400000000000006,86.10000000000001,86
AAFC05,-120.45,50.09,2,4.350000000000023,10.3,0.3150000095367432,739,22.250000000000057,-10.449999999999989,32.7,-10.449999999999989,0.05000000000001137,13.950000000000045,-4.949999999999989,362.90000000000003,47.5,19.5,27.1,119.80000000000001,59.2,107.10000000000001,86.80000000000001
AAFC06,-120.75,50.09,3,6.9500000000000455,10.3,0.3079999923706055,763.3000000000001,25.150000000000034,-8.449999999999989,33.6,-8.449999999999989,2.750000000000057,16.850000000000023,-2.749999999999943,291.8,36.4,14.4,27.6,96.60000000000001,49.5,74,78.4
AAFC07,-120.6,49.9,4,5.050000000000011,10.200000000000001,0.31600000858306887,716.5,22.850000000000023,-9.349999999999966,32.2,-9.349999999999966,0.9500000000000455,14.450000000000045,-3.849999999999966,418.20000000000005,54.400000000000006,21.5,28.5,143.9,75.60000000000001,97.30000000000001,124.9
AAFC08,-120.55,49.57,5,6.850000000000023,10.200000000000001,0.3269999980926514,675.6,24.450000000000045,-6.849999999999966,31.3,-6.849999999999966,15.550000000000011,15.850000000000023,-1.2499999999999432,574.1,75.8,31.1,32.2,217.20000000000002,100.7,116.10000000000001,194.10000000000002
AAFC09,-119.8,49.62,6,6.9500000000000455,9.3,0.29400000572204593,758.2,24.650000000000034,-7.0499999999999545,31.700000000000003,-7.0499999999999545,2.3500000000000227,16.850000000000023,-2.4499999999999886,413.90000000000003,46.300000000000004,23.700000000000003,21,125.9,79.80000000000001,106.10000000000001,116.2
AAFC10,-120.05,49.71,7,5.850000000000023,9.8,0.3069999933242798,725.2,23.950000000000045,-7.949999999999989,31.900000000000002,-7.949999999999989,1.5500000000000114,15.450000000000045,-2.9499999999999886,463.6,56.5,25.3,23.8,142.8,81.30000000000001,134,123.80000000000001
Blumenthal01,-104.9,41.18,8,7.750000000000057,12.100000000000001,0.3569999933242798,804.6,27.55000000000001,-6.449999999999989,34,-6.449999999999989,-1.9499999999999886,18.650000000000034,-1.9499999999999886,399.70000000000005,61.800000000000004,8.1,58.300000000000004,178.60000000000002,30,164.10000000000002,30
Adler05,-111.87,40.79,9,9.650000000000034,11.700000000000001,0.30499999523162846,930.2,30.750000000000057,-7.449999999999989,38.2,-7.449999999999989,21.450000000000045,22.05000000000001,-1.9499999999999886,569.1,67.8,20.5,29,191.20000000000002,86.30000000000001,87.7,142.8
Eshleman1,-107.71,42.9,10,7.650000000000034,12.600000000000001,0.3140000104904175,974.9000000000001,29.950000000000045,-10.149999999999977,40.1,-10.149999999999977,-3.4499999999999886,20.750000000000057,-4.5499999999999545,232.5,45,6.7,54.1,101,25.6,62,25.700000000000003
Adler09,-112.27,43.31,11,9.250000000000057,12.3,0.3099999904632569,965.6,31.450000000000045,-8.149999999999977,39.6,-8.149999999999977,21.250000000000057,21.850000000000023,-3.1499999999999773,316.6,45,15.4,28.900000000000002,108.30000000000001,53.1,62.2,74.3
Schupp02,-112.46,40.2,12,10.350000000000023,10.600000000000001,0.27300000190734863,981,31.650000000000034,-7.249999999999943,38.900000000000006,-7.249999999999943,22.750000000000057,23.450000000000045,-2.0499999999999545,423.90000000000003,46.800000000000004,25.5,20.400000000000002,135.8,79.4,79.60000000000001,105.2
Schupp01,-112.15,39.85,13,9.650000000000034,12,0.29700000286102296,1011.2,31.55000000000001,-8.849999999999966,40.400000000000006,-8.849999999999966,23.05000000000001,23.05000000000001,-3.1499999999999773,447.1,50.2,21.700000000000003,25.700000000000003,146.6,72.2,72.2,110.60000000000001
Adler13,-111.08,41.44,14,5.9500000000000455,12.4,0.3140000104904175,970.3000000000001,27.850000000000023,-11.549999999999955,39.400000000000006,-11.549999999999955,-6.149999999999977,18.850000000000023,-6.149999999999977,274.3,35.800000000000004,15,26.200000000000003,88.7,48.2,67.9,48.2
Adler14,-111.25,41.81,15,4.250000000000057,11.3,0.29800000190734866,963.2,25.350000000000023,-12.349999999999966,37.7,-12.349999999999966,-5.649999999999977,17.150000000000034,-7.5499999999999545,444.90000000000003,54.6,27,19.200000000000003,133.5,95.30000000000001,95.4,99.30000000000001
