"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_1",NA,-21,174,180,NA,NA,NA,NA,NA,NA
"Boise2022_2",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_3",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_4",NA,-21,115,NA,NA,NA,NA,NA,NA,NA
"Boise2022_5",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_7",NA,-21,96,174,NA,NA,NA,NA,NA,NA
"Boise2022_8",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_9",NA,-21,96,143,NA,NA,NA,NA,NA,NA
"Boise2022_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_11",NA,174,180,NA,NA,NA,NA,NA,NA,NA
"Boise2022_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_13",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_14",NA,-21,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_15",NA,-21,96,157,NA,NA,NA,NA,NA,NA
"Boise2022_16",NA,174,180,NA,NA,NA,NA,NA,NA,NA
"Boise2022_17",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_18",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_20",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_21",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_22",NA,-21,NA,NA,NA,-3,NA,NA,NA,NA
"Boise2022_23",NA,-21,NA,NA,NA,-6,NA,NA,NA,NA
"Boise2022_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_26",NA,-21,174,NA,NA,NA,NA,NA,NA,NA
"Boise2022_27",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_29",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_30",NA,-21,174,180,NA,-2,NA,NA,NA,NA
"Boise2022_31",NA,-21,96,174,NA,NA,NA,NA,NA,NA
"Boise2022_32",NA,-21,NA,NA,NA,-2,NA,NA,NA,NA
"Boise2022_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_34",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_35",NA,-21,174,NA,NA,-3,NA,NA,NA,NA
"Boise2022_36",NA,-21,NA,NA,-2,NA,NA,NA,NA,NA
"Boise2022_37",NA,-21,NA,NA,NA,-1,NA,NA,NA,NA
"Boise2022_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_39",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_40",NA,96,174,180,-1,-37,NA,NA,NA,NA
"Boise2022_41",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_43",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_44",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_45",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_46",NA,96,131,143,NA,NA,NA,NA,NA,NA
"Boise2022_47",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_48",NA,-21,NA,NA,NA,-7,NA,NA,NA,NA
"Boise2022_49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_50",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_51",NA,-21,NA,NA,NA,-30,NA,NA,NA,NA
"Boise2022_52",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_53",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_54",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_55",NA,-21,NA,NA,NA,-5,NA,NA,NA,NA
"Boise2022_56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
