"plantID","jday","live","v","length_mm","herbivory","frost_heave","harvested","notes"
"BA2022_4001",-21,"Y","V0",17,"N","N","N",""
"BA2022_4001",96,"N","NA",NA,"N","N","N",""
"BA2022_4001",115,"N","NA",NA,"N","N","N",""
"BA2022_4001",131,"Y","V2",10,"N","N","N",""
"BA2022_4001",143,"N","NA",NA,"N","N","N",""
"BA2022_4001",157,"N","NA",NA,"N","N","N",""
"BA2022_4001",174,"N","NA",NA,"N","N","N",""
"BA2022_4001",180,"N","NA",NA,"N","N","N",""
"BA2022_4002",-21,"Y","V0",21,"N","N","N",""
"BA2022_4002",96,"Y","V3",40,"N","N","N",""
"BA2022_4002",115,"Y","V2",30,"N","N","N",""
"BA2022_4002",131,"Y","V3+",40,"N","N","N",""
"BA2022_4002",143,"Y","BS",NA,"N","N","N",""
"BA2022_4002",157,"Y","FG",NA,"N","N","N",""
"BA2022_4002",174,"Y","FP",NA,"N","N","N",""
"BA2022_4002",180,"Y","FP",136,"N","N","N",""
"BA2022_4002",180,"Y","NA",136,"N","N","N",""
"BA2022_4003",-21,"Y","V0",21,"N","N","N",""
"BA2022_4003",96,"N","NA",NA,"N","N","N",""
"BA2022_4003",115,"N","NA",NA,"N","N","N",""
"BA2022_4003",131,"N","NA",NA,"N","N","N",""
"BA2022_4003",143,"N","NA",NA,"N","N","N",""
"BA2022_4003",157,"N","NA",NA,"N","N","N",""
"BA2022_4003",174,"N","NA",NA,"N","N","N",""
"BA2022_4003",180,"N","NA",NA,"N","N","N",""
"BA2022_4004",-21,"Y","V0",25,"N","N","N",""
"BA2022_4004",96,"N","NA",NA,"N","N","N",""
"BA2022_4004",115,"N","NA",NA,"N","N","N",""
"BA2022_4004",131,"N","NA",NA,"N","N","N",""
"BA2022_4004",143,"N","NA",NA,"N","N","N",""
"BA2022_4004",157,"N","NA",NA,"N","N","N",""
"BA2022_4004",174,"N","NA",NA,"N","N","N",""
"BA2022_4004",180,"N","NA",NA,"N","N","N",""
"BA2022_4005",-21,"Y","V0",13,"N","N","N",""
"BA2022_4005",96,"N","NA",NA,"N","N","N",""
"BA2022_4005",115,"N","NA",NA,"N","N","N",""
"BA2022_4005",131,"N","NA",NA,"N","N","N",""
"BA2022_4005",143,"N","NA",NA,"N","N","N",""
"BA2022_4005",157,"N","NA",NA,"N","N","N",""
"BA2022_4005",174,"N","NA",NA,"N","N","N",""
"BA2022_4005",180,"N","NA",NA,"N","N","N",""
"BA2022_4006",-21,"Y","V0",15,"N","N","N",""
"BA2022_4006",96,"N","NA",NA,"N","N","N",""
"BA2022_4006",115,"N","NA",NA,"N","N","N",""
"BA2022_4006",143,"N","NA",NA,"N","N","N",""
"BA2022_4006",157,"N","NA",NA,"N","N","N",""
"BA2022_4006",174,"N","NA",NA,"N","N","N",""
"BA2022_4006",180,"N","NA",NA,"N","N","N",""
"BA2022_4007",-21,"Y","V0",21,"N","N","N",""
"BA2022_4007",96,"N","NA",NA,"N","N","N",""
"BA2022_4007",115,"N","NA",NA,"N","N","N",""
"BA2022_4007",131,"N","NA",NA,"N","N","N",""
"BA2022_4007",143,"N","NA",NA,"N","N","N",""
"BA2022_4007",157,"N","NA",NA,"N","N","N",""
"BA2022_4007",174,"N","NA",NA,"N","N","N",""
"BA2022_4007",180,"N","NA",NA,"N","N","N",""
"BA2022_4008",-21,"Y","V0",14,"N","N","N",""
"BA2022_4008",96,"Y","V2",30,"N","N","N",""
"BA2022_4008",115,"Y","V2",33,"N","N","N",""
"BA2022_4008",131,"Y","V3",30,"N","N","N",""
"BA2022_4008",143,"Y","BS",NA,"N","N","N",""
"BA2022_4008",157,"Y","FG",NA,"N","N","N",""
"BA2022_4008",174,"Y","FP",NA,"N","N","N",""
"BA2022_4008",180,"Y","NA",71,"N","N","N",""
"BA2022_4008",180,"Y","FP",71,"N","N","N",""
"BA2022_4009",-21,"Y","V0",20,"N","N","N",""
"BA2022_4009",96,"N","NA",NA,"N","N","N",""
"BA2022_4009",115,"N","NA",NA,"N","N","N",""
"BA2022_4009",131,"N","NA",NA,"N","N","N",""
"BA2022_4009",143,"N","NA",NA,"N","N","N",""
"BA2022_4009",157,"N","NA",NA,"N","N","N",""
"BA2022_4009",174,"N","NA",NA,"N","N","N",""
"BA2022_4009",180,"N","NA",NA,"N","N","N",""
"BA2022_4010",-21,"Y","V0",16,"N","N","N",""
"BA2022_4010",96,"Y","V1",25,"N","N","N",""
"BA2022_4010",115,"Y","V2",21,"N","N","N",""
"BA2022_4010",131,"Y","V3",30,"N","N","N",""
"BA2022_4010",143,"Y","BS",NA,"N","N","N",""
"BA2022_4010",157,"Y","FG",NA,"N","N","N",""
"BA2022_4010",174,"Y","FG",NA,"N","N","N",""
"BA2022_4010",180,"N","NA",NA,"N","N","N",""
"BA2022_4010",188,"Y","FB",78,"N","N","N",""
"BA2022_4011",-21,"Y","V0",20,"N","N","N",""
"BA2022_4011",96,"N","NA",NA,"N","N","N",""
"BA2022_4011",115,"N","NA",NA,"N","N","N",""
"BA2022_4011",131,"N","NA",NA,"N","N","N",""
"BA2022_4011",143,"N","NA",NA,"N","N","N",""
"BA2022_4011",157,"N","NA",NA,"N","N","N",""
"BA2022_4011",174,"N","NA",NA,"N","N","N",""
"BA2022_4011",180,"N","NA",NA,"N","N","N",""
"BA2022_4012",-21,"Y","V0",20,"N","N","N",""
"BA2022_4012",96,"N","NA",NA,"N","N","N",""
"BA2022_4012",115,"N","NA",NA,"N","N","N",""
"BA2022_4012",131,"N","NA",NA,"N","N","N",""
"BA2022_4012",143,"N","NA",NA,"N","N","N",""
"BA2022_4012",157,"N","NA",NA,"N","N","N",""
"BA2022_4012",174,"N","NA",NA,"N","N","N",""
"BA2022_4012",180,"N","NA",NA,"N","N","N",""
"BA2022_4013",-21,"N","NA",NA,"N","N","N",""
"BA2022_4013",96,"Y","V1",50,"N","N","N",""
"BA2022_4013",115,"Y","V0",48,"N","N","N",""
"BA2022_4013",131,"Y","V3",34,"N","N","N",""
"BA2022_4013",143,"Y","BS",NA,"N","N","N",""
"BA2022_4013",157,"Y","FG",NA,"N","N","N",""
"BA2022_4013",174,"Y","FG",NA,"N","N","N",""
"BA2022_4013",180,"Y","NA",103,"N","N","N",""
"BA2022_4013",180,"Y","FP",103,"N","N","N",""
"BA2022_4014",-21,"N","NA",NA,"N","N","N",""
"BA2022_4014",96,"Y","V0",10,"N","N","N",""
"BA2022_4014",115,"N","NA",NA,"N","N","N",""
"BA2022_4014",131,"N","NA",NA,"N","N","N",""
"BA2022_4014",143,"N","NA",NA,"N","N","N",""
"BA2022_4014",157,"N","NA",NA,"N","N","N",""
"BA2022_4014",174,"N","NA",NA,"N","N","N",""
"BA2022_4014",180,"N","NA",NA,"N","N","N",""
"BA2022_4015",-21,"N","NA",NA,"N","N","N",""
"BA2022_4015",96,"Y","V2",26,"N","N","N",""
"BA2022_4015",115,"Y","V0",30,"N","N","N",""
"BA2022_4015",131,"Y","V2",34,"N","N","N",""
"BA2022_4015",143,"Y","BS",NA,"N","N","N",""
"BA2022_4015",157,"Y","FG",NA,"N","N","N",""
"BA2022_4015",174,"Y","FG",NA,"N","N","N",""
"BA2022_4015",180,"Y","FP",66,"N","N","N",""
"BA2022_4015",180,"Y","NA",66,"N","N","N",""
"BA2022_4016",-21,"Y","V0",26,"N","N","N",""
"BA2022_4016",96,"N","NA",NA,"N","N","N",""
"BA2022_4016",115,"N","NA",NA,"N","N","N",""
"BA2022_4016",131,"N","NA",NA,"N","N","N",""
"BA2022_4016",143,"N","NA",NA,"N","N","N",""
"BA2022_4016",157,"N","NA",NA,"N","N","N",""
"BA2022_4016",174,"N","NA",NA,"N","N","N",""
"BA2022_4016",180,"N","NA",NA,"N","N","N",""
"BA2022_4017",-21,"Y","V0",25,"N","N","N",""
"BA2022_4017",96,"N","NA",NA,"N","N","N",""
"BA2022_4017",115,"Y","V0",37,"N","N","N",""
"BA2022_4017",131,"Y","V1",30,"N","N","N",""
"BA2022_4017",143,"Y","BS",NA,"N","N","N",""
"BA2022_4017",157,"N","NA",NA,"N","N","N",""
"BA2022_4017",174,"Y","FG",NA,"N","N","N",""
"BA2022_4017",180,"Y","FP",35,"N","N","N",""
"BA2022_4017",180,"Y","NA",35,"N","N","N",""
"BA2022_4018",-21,"Y","V0",25,"N","N","N",""
"BA2022_4018",96,"N","NA",NA,"N","N","N",""
"BA2022_4018",115,"N","NA",NA,"N","N","N",""
"BA2022_4018",131,"N","NA",NA,"N","N","N",""
"BA2022_4018",143,"N","NA",NA,"N","N","N",""
"BA2022_4018",157,"N","NA",NA,"N","N","N",""
"BA2022_4018",174,"N","NA",NA,"N","N","N",""
"BA2022_4018",180,"N","NA",NA,"N","N","N",""
"BA2022_4019",-21,"N","NA",NA,"N","N","N",""
"BA2022_4019",96,"Y","V3",34,"N","N","N",""
"BA2022_4019",115,"Y","V3",31,"N","N","N",""
"BA2022_4019",131,"Y","V3+",50,"N","N","N",""
"BA2022_4019",143,"Y","FP",81,"N","N","N",""
"BA2022_4019",157,"N","NA",NA,"N","N","N",""
"BA2022_4019",174,"N","NA",NA,"N","N","N",""
"BA2022_4019",180,"N","NA",NA,"N","N","N",""
"BA2022_4020",-21,"Y","V0",30,"N","N","N",""
"BA2022_4020",96,"N","NA",NA,"N","N","N",""
"BA2022_4020",115,"N","NA",NA,"N","N","N",""
"BA2022_4020",131,"N","NA",NA,"N","N","N",""
"BA2022_4020",143,"N","NA",NA,"N","N","N",""
"BA2022_4020",157,"N","NA",NA,"N","N","N",""
"BA2022_4020",174,"N","NA",NA,"N","N","N",""
"BA2022_4020",180,"Y","FG",NA,"N","N","N",""
