plantID,jday,live,v,length_mm,herbivory,frost_heave,harvested,notes
WI2022_100,-24,N,NA,NA,N,N,N,NA
WI2022_100,60,Y,V0,34,N,N,N,NA
WI2022_100,87,Y,V3+,36,N,N,N,NA
WI2022_100,108,Y,V3,34,N,N,N,NA
WI2022_100,130,Y,V3+,0,N,N,N,NA
WI2022_1000,-24,Y,V3,35,N,N,N,NA
WI2022_1000,61,Y,V3+,42,N,N,N,NA
WI2022_1000,87,Y,V3+,66,N,N,N,NA
WI2022_1000,108,Y,FG,115,N,N,N,NA
WI2022_1000,130,Y,FP,0,N,N,N,NA
WI2022_131,-24,N,NA,NA,N,N,N,NA
WI2022_131,60,Y,V0,44,N,N,N,NA
WI2022_131,87,Y,V3+,39,N,N,N,NA
WI2022_131,108,Y,V3,32,N,N,N,NA
WI2022_131,130,Y,FG,0,N,N,N,NA
WI2022_137,-24,N,NA,NA,N,N,N,NA
WI2022_137,60,N,NA,NA,N,N,N,NA
WI2022_137,87,N,NA,NA,N,N,N,NA
WI2022_137,108,N,NA,NA,N,N,N,NA
WI2022_137,130,N,NA,NA,N,N,N,NA
WI2022_141,-24,N,NA,NA,N,N,N,NA
WI2022_141,60,N,NA,NA,N,N,N,NA
WI2022_141,87,N,NA,NA,N,N,N,NA
WI2022_141,108,N,NA,NA,N,N,N,NA
WI2022_141,130,N,NA,NA,N,N,N,NA
WI2022_142,-24,N,NA,NA,N,N,N,NA
WI2022_142,60,Y,V2,42,N,N,N,NA
WI2022_142,87,Y,V3,25,N,N,N,NA
WI2022_142,108,Y,V3+,40,N,N,N,NA
WI2022_142,130,Y,FG,0,N,N,N,NA
WI2022_143,-24,N,NA,NA,N,N,N,NA
WI2022_143,60,Y,V0,45,N,N,N,NA
WI2022_143,87,Y,V3,40,N,N,N,NA
WI2022_143,108,Y,V3,35,Y,N,N,NA
WI2022_143,130,Y,FG,0,N,N,N,NA
WI2022_144,-24,N,NA,NA,N,N,N,NA
WI2022_144,60,N,NA,NA,N,N,N,NA
WI2022_144,87,N,NA,NA,N,N,N,NA
WI2022_144,108,N,NA,NA,N,N,N,NA
WI2022_144,130,N,NA,NA,N,N,N,NA
WI2022_147,-24,N,NA,NA,N,N,N,NA
WI2022_147,61,Y,V2,30,N,N,N,NA
WI2022_147,87,Y,V3+,31,N,N,N,NA
WI2022_147,108,Y,BS,47,N,N,N,NA
WI2022_147,130,Y,FG,0,N,N,N,NA
WI2022_163,-24,N,NA,NA,N,N,N,NA
WI2022_163,60,N,NA,NA,N,N,N,NA
WI2022_163,87,N,NA,NA,N,N,N,NA
WI2022_163,108,N,NA,NA,N,N,N,NA
WI2022_163,130,N,NA,NA,N,N,N,NA
WI2022_165,-24,N,NA,NA,N,N,N,NA
WI2022_165,60,Y,V3,43,N,N,N,NA
WI2022_165,87,Y,V3,30,N,N,N,NA
WI2022_165,108,Y,V3+,42,N,N,N,NA
WI2022_165,130,Y,FP,0,N,N,N,NA
WI2022_166,-24,N,NA,NA,N,N,N,NA
WI2022_166,60,Y,V1,25,N,N,N,NA
WI2022_166,87,N,NA,NA,Y,N,N,None or Dead or Alive but screwed?
WI2022_166,108,Y,V3,26,N,N,N,NA
WI2022_166,130,Y,FG,0,N,N,N,NA
WI2022_170,-24,N,NA,NA,N,N,N,NA
WI2022_170,61,Y,V1,28,N,N,N,NA
WI2022_170,87,Y,V3,27,N,N,N,NA
WI2022_170,108,Y,V3+,40,N,N,N,NA
WI2022_170,130,Y,FG,0,N,N,N,NA
WI2022_177,-24,N,NA,NA,N,N,N,NA
WI2022_177,60,Y,V3,45,N,N,N,NA
WI2022_177,87,Y,V3+,33,N,N,N,NA
WI2022_177,108,Y,V3+,30,N,N,N,NA
WI2022_177,130,Y,FG,0,N,N,N,NA
WI2022_178,-24,N,NA,NA,N,N,N,NA
WI2022_178,60,Y,V0,45,N,N,N,NA
WI2022_178,87,N,NA,NA,N,N,N,NA
WI2022_178,108,Y,V3,40,N,N,N,NA
