"plantID","site","year","block","plot","x","y","genotype"
"WI2022_1","WI",2022,1,3,1,1,71
"WI2022_2","WI",2022,1,3,1,2,33
"WI2022_3","WI",2022,1,3,1,3,51
"WI2022_4","WI",2022,1,3,1,4,25
"WI2022_5","WI",2022,1,3,1,5,82
"WI2022_6","WI",2022,1,3,1,6,27
"WI2022_7","WI",2022,1,3,1,7,96
"WI2022_8","WI",2022,1,3,1,8,100
"WI2022_9","WI",2022,1,3,1,9,12
"WI2022_10","WI",2022,1,3,1,10,89
"WI2022_11","WI",2022,1,3,2,1,19
"WI2022_12","WI",2022,1,3,2,2,44
"WI2022_13","WI",2022,1,3,2,3,11
"WI2022_14","WI",2022,1,3,2,4,26
"WI2022_15","WI",2022,1,3,2,5,17
"WI2022_16","WI",2022,1,3,2,6,45
"WI2022_17","WI",2022,1,3,2,7,42
"WI2022_18","WI",2022,1,3,2,8,16
"WI2022_19","WI",2022,1,3,2,9,49
"WI2022_20","WI",2022,1,3,2,10,18
"WI2022_21","WI",2022,1,3,3,1,31
"WI2022_22","WI",2022,1,3,3,2,24
"WI2022_23","WI",2022,1,3,3,3,101
"WI2022_24","WI",2022,1,3,3,4,30
"WI2022_25","WI",2022,1,3,3,5,60
"WI2022_26","WI",2022,1,3,3,6,62
"WI2022_27","WI",2022,1,3,3,7,98
"WI2022_28","WI",2022,1,3,3,8,81
"WI2022_29","WI",2022,1,3,3,9,61
"WI2022_30","WI",2022,1,3,3,10,104
"WI2022_31","WI",2022,1,3,4,1,7
"WI2022_32","WI",2022,1,3,4,2,69
"WI2022_33","WI",2022,1,3,4,3,83
"WI2022_34","WI",2022,1,3,4,4,56
"WI2022_35","WI",2022,1,3,4,5,102
"WI2022_36","WI",2022,1,3,4,6,11
"WI2022_37","WI",2022,1,3,4,7,87
"WI2022_38","WI",2022,1,3,4,8,39
"WI2022_39","WI",2022,1,3,4,9,7
"WI2022_40","WI",2022,1,3,4,10,59
"WI2022_41","WI",2022,1,3,5,1,5
"WI2022_42","WI",2022,1,3,5,2,67
"WI2022_43","WI",2022,1,3,5,3,55
"WI2022_44","WI",2022,1,3,5,4,9
"WI2022_45","WI",2022,1,3,5,5,74
"WI2022_46","WI",2022,1,3,5,6,47
"WI2022_47","WI",2022,1,3,5,7,57
"WI2022_48","WI",2022,1,3,5,8,28
"WI2022_49","WI",2022,1,3,5,9,2
"WI2022_50","WI",2022,1,3,5,10,93
"WI2022_51","WI",2022,1,3,6,1,79
"WI2022_52","WI",2022,1,3,6,2,46
"WI2022_53","WI",2022,1,3,6,3,73
"WI2022_54","WI",2022,1,3,6,4,68
"WI2022_55","WI",2022,1,3,6,5,84
"WI2022_56","WI",2022,1,3,6,6,32
"WI2022_57","WI",2022,1,3,6,7,43
"WI2022_58","WI",2022,1,3,6,8,95
"WI2022_59","WI",2022,1,3,6,9,38
"WI2022_60","WI",2022,1,3,6,10,29
"WI2022_61","WI",2022,1,3,7,1,105
"WI2022_62","WI",2022,1,3,7,2,9
"WI2022_63","WI",2022,1,3,7,3,18
"WI2022_64","WI",2022,1,3,7,4,8
"WI2022_65","WI",2022,1,3,7,5,1
"WI2022_66","WI",2022,1,3,7,6,103
"WI2022_67","WI",2022,1,3,7,7,72
"WI2022_68","WI",2022,1,3,7,8,5
"WI2022_69","WI",2022,1,3,7,9,65
"WI2022_70","WI",2022,1,3,7,10,97
"WI2022_71","WI",2022,1,3,8,1,88
"WI2022_72","WI",2022,1,3,8,2,63
"WI2022_73","WI",2022,1,3,8,3,77
"WI2022_74","WI",2022,1,3,8,4,52
"WI2022_75","WI",2022,1,3,8,5,14
"WI2022_76","WI",2022,1,3,8,6,20
"WI2022_77","WI",2022,1,3,8,7,76
"WI2022_78","WI",2022,1,3,8,8,37
"WI2022_79","WI",2022,1,3,8,9,75
"WI2022_80","WI",2022,1,3,8,10,35
"WI2022_81","WI",2022,1,3,9,1,13
"WI2022_82","WI",2022,1,3,9,2,54
"WI2022_83","WI",2022,1,3,9,3,92
"WI2022_84","WI",2022,1,3,9,4,53
"WI2022_85","WI",2022,1,3,9,5,34
"WI2022_86","WI",2022,1,3,9,6,6
"WI2022_87","WI",2022,1,3,9,7,14
"WI2022_88","WI",2022,1,3,9,8,64
"WI2022_89","WI",2022,1,3,9,9,36
"WI2022_90","WI",2022,1,3,9,10,70
"WI2022_91","WI",2022,1,3,10,1,58
"WI2022_92","WI",2022,1,3,10,2,6
"WI2022_93","WI",2022,1,3,10,3,86
"WI2022_94","WI",2022,1,3,10,4,1
"WI2022_95","WI",2022,1,3,10,5,91
"WI2022_96","WI",2022,1,3,10,6,66
"WI2022_97","WI",2022,1,3,10,7,40
"WI2022_98","WI",2022,1,3,10,8,48
"WI2022_99","WI",2022,1,3,10,9,90
"WI2022_100","WI",2022,1,3,10,10,2
"WI2022_101","WI",2022,1,1,1,1,46
"WI2022_102","WI",2022,1,1,1,2,45
"WI2022_103","WI",2022,1,1,1,3,7
"WI2022_104","WI",2022,1,1,1,4,37
"WI2022_105","WI",2022,1,1,1,5,83
"WI2022_106","WI",2022,1,1,1,6,90
"WI2022_107","WI",2022,1,1,1,7,14
"WI2022_108","WI",2022,1,1,1,8,28
"WI2022_109","WI",2022,1,1,1,9,73
"WI2022_110","WI",2022,1,1,1,10,87
"WI2022_111","WI",2022,1,1,2,1,104
"WI2022_112","WI",2022,1,1,2,2,25
"WI2022_113","WI",2022,1,1,2,3,70
"WI2022_114","WI",2022,1,1,2,4,63
"WI2022_115","WI",2022,1,1,2,5,38
"WI2022_116","WI",2022,1,1,2,6,26
"WI2022_117","WI",2022,1,1,2,7,1
"WI2022_118","WI",2022,1,1,2,8,17
"WI2022_119","WI",2022,1,1,2,9,49
"WI2022_120","WI",2022,1,1,2,10,2
"WI2022_121","WI",2022,1,1,3,1,8
"WI2022_122","WI",2022,1,1,3,2,84
"WI2022_123","WI",2022,1,1,3,3,76
"WI2022_124","WI",2022,1,1,3,4,13
"WI2022_125","WI",2022,1,1,3,5,2
"WI2022_126","WI",2022,1,1,3,6,1
"WI2022_127","WI",2022,1,1,3,7,42
"WI2022_128","WI",2022,1,1,3,8,9
"WI2022_129","WI",2022,1,1,3,9,74
"WI2022_130","WI",2022,1,1,3,10,62
"WI2022_131","WI",2022,1,1,4,1,72
"WI2022_132","WI",2022,1,1,4,2,33
"WI2022_133","WI",2022,1,1,4,3,77
"WI2022_134","WI",2022,1,1,4,4,20
"WI2022_135","WI",2022,1,1,4,5,35
"WI2022_136","WI",2022,1,1,4,6,43
"WI2022_137","WI",2022,1,1,4,7,30
"WI2022_138","WI",2022,1,1,4,8,14
"WI2022_139","WI",2022,1,1,4,9,18
"WI2022_140","WI",2022,1,1,4,10,68
"WI2022_141","WI",2022,1,1,5,1,47
"WI2022_142","WI",2022,1,1,5,2,89
"WI2022_143","WI",2022,1,1,5,3,100
"WI2022_144","WI",2022,1,1,5,4,16
"WI2022_145","WI",2022,1,1,5,5,5
"WI2022_146","WI",2022,1,1,5,6,69
"WI2022_147","WI",2022,1,1,5,7,19
"WI2022_148","WI",2022,1,1,5,8,24
"WI2022_149","WI",2022,1,1,5,9,97
"WI2022_150","WI",2022,1,1,5,10,60
"WI2022_151","WI",2022,1,1,6,1,93
"WI2022_152","WI",2022,1,1,6,2,36
"WI2022_153","WI",2022,1,1,6,3,40
"WI2022_154","WI",2022,1,1,6,4,103
"WI2022_155","WI",2022,1,1,6,5,66
"WI2022_156","WI",2022,1,1,6,6,31
"WI2022_157","WI",2022,1,1,6,7,95
"WI2022_158","WI",2022,1,1,6,8,29
"WI2022_159","WI",2022,1,1,6,9,88
