block,plot,x,y,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,genotype,jday,live,v,herbivory,frost_heave,note_standard,mean_flower
1,2,10,5,2023-05-30,low,black,Y,FG,NA,3,0.4,0.35,NA,Boise2023_100,WI,2023,28,150,Y,FG,NA,NA,NA,NA
2,4,10,5,2023-05-31,low,white,Y,FP,NA,2,0.15,0.29,NA,Boise2023_1000,WI,2023,45,138,Y,FG,N,N,NA,NA
2,4,11,4,2023-05-31,low,white,Y,FP,NA,4,0.23,0.42,NA,Boise2023_1004,WI,2023,72,151,Y,FP,NA,NA,NA,NA
2,4,11,5,2023-05-31,low,white,Y,FP,NA,1,0.012,0.041,NA,Boise2023_1005,WI,2023,25,138,Y,FG,N,N,NA,NA
2,4,12,3,2023-05-31,low,white,Y,FG,NA,1,0.005,0.005,NA,Boise2023_1008,WI,2023,28,151,Y,FG,NA,NA,NA,NA
2,4,12,4,2023-05-31,low,white,Y,FB,NA,4,0.22,0.29,NA,Boise2023_1009,WI,2023,74,129,Y,FG,N,N,NA,NA
2,4,12,5,2023-05-31,low,white,Y,FP,NA,5,0.76,1,NA,Boise2023_1010,WI,2023,89,151,Y,FP,NA,NA,NA,NA
2,4,13,2,2023-05-31,low,white,Y,FG,NA,7,0.54,0.58,NA,Boise2023_1012,WI,2023,54,151,Y,FG,NA,NA,NA,NA
2,4,13,5,2023-05-31,low,white,Y,FP,NA,2,0.09,0.2,NA,Boise2023_1015,WI,2023,43,138,Y,FG,N,N,NA,NA
2,4,14,1,2023-05-31,low,white,Y,FP,NA,2,0.11,0.16,NA,Boise2023_1016,WI,2023,96,151,Y,FP,NA,NA,NA,NA
2,4,14,2,2023-05-31,low,white,Y,FG,NA,9,1.14,1.36,NA,Boise2023_1017,WI,2023,52,151,Y,FG,NA,NA,NA,NA
1,2,11,2,2023-05-30,low,black,Y,FG,NA,7,0.75,0.68,NA,Boise2023_102,WI,2023,6,150,Y,FG,NA,NA,NA,NA
