"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"Boise2023_1",76,"Y","V2","N","Y","N",NA
"Boise2023_1",116,"Y","V1","N","N","N",NA
"Boise2023_1",121,"Y","V2","N","N","N",NA
"Boise2023_1",129,"Y","BS","N","N","N",NA
"Boise2023_1",138,"Y","BS","N","Y","N",NA
"Boise2023_1",150,"Y","FP",NA,NA,NA,"NO SEEDS"
"Boise2023_10",76,"N",NA,NA,NA,NA,NA
"Boise2023_10",116,"N",NA,NA,NA,NA,NA
"Boise2023_10",121,"N",NA,NA,NA,NA,NA
"Boise2023_10",129,"N",NA,NA,NA,NA,NA
"Boise2023_10",138,"N",NA,NA,NA,NA,NA
"Boise2023_10",NA,"N",NA,NA,NA,NA,NA
"Boise2023_100",76,"Y","V1","N","N","N",NA
"Boise2023_100",116,"Y","V3+","N","N","N",NA
"Boise2023_100",121,"Y","V3+","N","N","N",NA
"Boise2023_100",129,"Y","V3+","Y","N","N",NA
"Boise2023_100",138,"Y","BS","Y","N","N",NA
"Boise2023_100",150,"Y","FG",NA,NA,NA,NA
"Boise2023_1000",82,"Y","V1","N","N","N",NA
"Boise2023_1000",116,"Y","V3+","Y","N","N",NA
"Boise2023_1000",124,"Y","V3+","N","N","N",NA
"Boise2023_1000",129,"Y","BS","N","N","N",NA
"Boise2023_1000",138,"Y","FG","N","N","N",NA
"Boise2023_1000",151,"Y","FP",NA,NA,NA,NA
"Boise2023_1001",82,"N",NA,NA,NA,NA,NA
"Boise2023_1001",116,"N",NA,NA,NA,"N",NA
"Boise2023_1001",124,"N",NA,NA,NA,"N",NA
"Boise2023_1001",129,"N",NA,NA,NA,"N",NA
"Boise2023_1001",138,"N",NA,NA,NA,NA,NA
"Boise2023_1001",NA,"N",NA,NA,NA,NA,NA
"Boise2023_1002",82,"Y","V1","N","N","N",NA
"Boise2023_1002",116,"N",NA,NA,NA,NA,NA
"Boise2023_1002",124,"N",NA,NA,NA,NA,NA
"Boise2023_1002",129,"N",NA,NA,NA,NA,NA
"Boise2023_1002",138,"N",NA,NA,NA,NA,NA
"Boise2023_1002",NA,"N",NA,NA,NA,NA,NA
"Boise2023_1003",82,"N",NA,NA,NA,"N",NA
"Boise2023_1003",116,"N",NA,NA,NA,"N",NA
"Boise2023_1003",124,"N",NA,NA,NA,"N",NA
"Boise2023_1003",129,"N",NA,NA,NA,"N",NA
"Boise2023_1003",138,"N",NA,NA,NA,"N",NA
"Boise2023_1003",NA,"N",NA,NA,NA,NA,NA
"Boise2023_1004",82,"Y","V2","N","Y","N","Surface"
"Boise2023_1004",116,"Y","V3+","N","N","N",NA
"Boise2023_1004",124,"Y","V3+","N","N","N",NA
"Boise2023_1004",129,"Y","BS","N","N","N",NA
"Boise2023_1004",138,"Y","BS","N","N","N",NA
"Boise2023_1004",151,"Y","FP",NA,NA,NA,NA
"Boise2023_1005",82,"N",NA,NA,NA,"N",NA
"Boise2023_1005",116,"Y","V3+","Y","N","N",NA
"Boise2023_1005",124,"Y","V3","N","N","N",NA
