"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"CH_2022_1",NA,74,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_91",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_11",NA,74,NA,NA,-1,-13,NA,NA,NA,NA
"CH_2022_21",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_31",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_41",NA,74,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_51",NA,74,NA,NA,NA,NA,87,NA,NA,NA
"CH_2022_61",NA,74,NA,NA,NA,-8,NA,NA,NA,NA
"CH_2022_71",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_10",NA,74,NA,NA,-1,-12,87,NA,NA,NA
"CH_2022_100",NA,74,NA,NA,-1,-11,NA,NA,NA,NA
"CH_2022_20",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_30",NA,74,148,NA,NA,-10,NA,NA,NA,NA
"CH_2022_40",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_50",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_60",NA,74,NA,NA,-2,-2,NA,NA,NA,NA
"CH_2022_70",NA,74,NA,NA,NA,-9,NA,NA,NA,NA
"CH_2022_80",NA,74,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_2",NA,74,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_92",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_12",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_22",NA,74,NA,NA,NA,-10,NA,NA,NA,NA
"CH_2022_32",NA,74,NA,NA,-1,-6,NA,NA,NA,NA
"CH_2022_42",NA,74,NA,NA,-1,-4,NA,NA,NA,NA
"CH_2022_52",NA,74,NA,NA,-1,-9,NA,NA,NA,NA
"CH_2022_62",NA,74,NA,NA,NA,-23,NA,NA,NA,NA
"CH_2022_72",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_82",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_3",NA,74,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_93",NA,74,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_13",NA,74,148,NA,-1,NA,NA,NA,NA,NA
"CH_2022_23",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_33",NA,74,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_43",NA,74,NA,NA,NA,-11,NA,NA,NA,NA
"CH_2022_53",NA,74,NA,NA,-2,-2,NA,NA,NA,NA
"CH_2022_63",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_73",NA,74,NA,NA,-1,-11,NA,NA,NA,NA
"CH_2022_83",NA,74,148,NA,-2,-14,NA,NA,NA,NA
"CH_2022_4",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_94",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_14",NA,74,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_24",NA,74,NA,NA,NA,-8,NA,NA,NA,NA
