"plantID","jday","live","v","length_mm","herbivory","frost_heave","harvested","notes"
"CH_2022_1",74,"Y","V3+",6,NA,NA,"N",NA
"CH_2022_1",87,"Y","V3+",36,NA,NA,"N",NA
"CH_2022_1",101,"Y","V3+",45,NA,NA,"N",NA
"CH_2022_1",114,"Y","V3+",38,NA,NA,"N",NA
"CH_2022_1",129,"Y","V3+",58,NA,NA,"N",NA
"CH_2022_1",148,"Y","FG",131,NA,NA,"N",NA
"CH_2022_1",160,"Y","FG",131,NA,NA,"N",NA
"CH_2022_1",172,"Y","FG",131,NA,NA,"N",NA
"CH_2022_10",74,"Y","V3",32,NA,NA,"N",NA
"CH_2022_10",87,"Y","V3",20,"Y",NA,"N","herbivory"
"CH_2022_10",101,"Y","V3+",27,NA,NA,"N",NA
"CH_2022_10",114,"Y","V3",39,NA,NA,"N",NA
"CH_2022_10",129,"Y","V3+",38,NA,NA,"N",NA
"CH_2022_10",148,"Y","FG",104,NA,NA,"N",NA
"CH_2022_10",160,"Y","FG",104,NA,NA,"N",NA
"CH_2022_10",172,"Y","FG",104,NA,NA,"N",NA
"CH_2022_100",74,"Y","V2",39,NA,NA,"N",NA
"CH_2022_100",87,"Y","V3+",28,NA,NA,"N",NA
"CH_2022_100",101,"Y","V3+",23,NA,NA,"N",NA
"CH_2022_100",114,"Y","V3",23,NA,NA,"N",NA
"CH_2022_100",129,"Y","V3+",47,NA,NA,"N",NA
"CH_2022_100",148,"Y","BS",92,NA,NA,"N",NA
"CH_2022_100",160,"Y","FG",127,NA,NA,"N",NA
"CH_2022_100",172,"Y","FG",127,NA,NA,"N",NA
"CH_2022_1000",74,"Y","V1",8,NA,NA,"N",NA
"CH_2022_1000",87,"Y","V2",8,NA,NA,"N",NA
"CH_2022_1000",101,"Y","V2",10,NA,NA,"N",NA
"CH_2022_1000",115,"Y","V2",11,NA,NA,"N",NA
"CH_2022_1000",130,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1000",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1000",160,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1000",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1001",75,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1001",87,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1001",101,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1001",115,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1001",130,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1001",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1001",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1002",75,"Y","V2",28,NA,NA,"N",NA
"CH_2022_1002",87,"Y","V2",32,NA,NA,"N",NA
"CH_2022_1002",101,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1002",115,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1002",130,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1002",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1002",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1003",75,"Y","V1",18,NA,NA,"N",NA
"CH_2022_1003",87,"Y","V1",34,NA,NA,"N",NA
"CH_2022_1003",101,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1003",115,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1003",130,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1003",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1003",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1004",75,"Y","V1",10,NA,NA,"N",NA
"CH_2022_1004",87,"Y","V1",21,NA,NA,"N",NA
"CH_2022_1004",101,"Y","V2",26,NA,NA,"N",NA
"CH_2022_1004",115,"Y","V2",29,NA,NA,"N",NA
"CH_2022_1004",130,"Y","V3+",22,NA,NA,"N",NA
"CH_2022_1004",151,"Y","V3+",61,NA,NA,"N",NA
"CH_2022_1004",172,"Y","FG",179,NA,NA,"N",NA
"CH_2022_1004",181,"Y","FX",NA,NA,NA,"Y",NA
"CH_2022_1005",75,"Y","V2",17,NA,NA,"N",NA
"CH_2022_1005",87,"Y","V2",29,NA,NA,"N",NA
"CH_2022_1005",101,"Y","V2",16,NA,NA,"N",NA
"CH_2022_1005",115,"Y","V2",11,NA,NA,"N",NA
"CH_2022_1005",130,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1005",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1005",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1006",75,"Y","V2",22,NA,NA,"N",NA
"CH_2022_1006",87,"Y","V2",30,NA,NA,"N",NA
"CH_2022_1006",101,"Y","V3+",18,NA,NA,"N",NA
"CH_2022_1006",115,"Y","V2",16,NA,NA,"N",NA
"CH_2022_1006",130,"Y","V3",13,NA,NA,"N",NA
"CH_2022_1006",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1006",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1007",75,"Y","V2",32,NA,NA,"N",NA
"CH_2022_1007",87,"Y","V3",33,NA,NA,"N",NA
"CH_2022_1007",101,"Y","V3",44,NA,NA,"N",NA
"CH_2022_1007",115,"Y","V3",16,NA,NA,"N",NA
"CH_2022_1007",130,"Y","V3+",40,NA,NA,"N",NA
"CH_2022_1007",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1007",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1008",75,"Y","V2",33,NA,NA,"N",NA
"CH_2022_1008",87,"Y","V3",33,NA,NA,"N",NA
"CH_2022_1008",101,"Y","V3",30,NA,NA,"N",NA
"CH_2022_1008",115,"Y","V3+",28,NA,NA,"N",NA
"CH_2022_1008",130,"Y","V3+",29,NA,NA,"N",NA
"CH_2022_1008",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1008",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1009",75,"Y","V2",32,NA,NA,"N",NA
"CH_2022_1009",87,"Y","V2",35,NA,NA,"N",NA
"CH_2022_1009",101,"Y","V3+",38,NA,NA,"N",NA
"CH_2022_1009",115,"Y","V2",12,NA,NA,"N",NA
"CH_2022_1009",130,"Y","V1",12,NA,NA,"N",NA
"CH_2022_1009",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1009",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_101",74,"Y","V3",13,NA,NA,"N",NA
"CH_2022_101",87,"Y","V3+",32,NA,NA,"N",NA
"CH_2022_101",101,"Y","V3+",27,NA,NA,"N",NA
"CH_2022_101",114,"Y","V3+",45,NA,NA,"N",NA
"CH_2022_101",129,"Y","V3+",51,NA,NA,"N",NA
"CH_2022_101",148,"Y","BS",121,NA,NA,"N",NA
"CH_2022_101",160,"Y","FG",177,NA,NA,"N",NA
"CH_2022_101",172,"Y","FG",177,NA,NA,"N",NA
"CH_2022_1010",75,"Y","V2",28,NA,NA,"N",NA
"CH_2022_1010",87,"Y","V3+",28,NA,NA,"N",NA
"CH_2022_1010",101,"Y","V3+",27,NA,NA,"N",NA
"CH_2022_1010",115,"Y","V3",17,NA,NA,"N",NA
"CH_2022_1010",130,"Y","V2",11,NA,NA,"N",NA
"CH_2022_1010",151,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1010",172,"N",NA,NA,NA,NA,"N",NA
"CH_2022_1011",75,"Y","V1",13,NA,NA,"N",NA
"CH_2022_1011",87,"Y","V1",27,NA,NA,"N",NA
"CH_2022_1011",101,"Y","V2",21,NA,NA,"N",NA
"CH_2022_1011",115,"Y","V3",19,NA,NA,"N",NA
"CH_2022_1011",130,"Y","V2",28,NA,NA,"N",NA
"CH_2022_1011",151,"Y","BS",48,NA,NA,"N",NA
"CH_2022_1011",172,"Y","FG",80,NA,NA,"N",NA
