notes,action,standard_note
"MISSING INFLORESCENCE, GRAZED",flag,herbivory
MISSING INFLORESCENCE ONLY HAD A LEAF,flag,physicaldamage
MISSING INFLORESCENCE,flag,physicaldamage
"1/39 unripe, 1 tiller w/o inflorescence",flag,physicaldamage
no inflorescence,flag,physicaldamage
"0/50 unripe, 1 tiller w/o inflorescence",flag,physicaldamage
"0/40 UNRIPE, 1 TILLER W/O INFLORESCENCE",flag,physicaldamage
"10/50 UNRIPE, 1 INFLORESCENCE W/O TILLER",flag,physicaldamage
BROKEN TILLER,flag,physicaldamage
"0/41 UNRIPE, 1 BROKEN TILLER, 1 TILLER W/O INFLUORESCENCE",flag,physicaldamage
"21/50 UNRIPE, 1 TILLER WITH NO SEEDS",flag,physicaldamage
"10/29 UNRIPE, 2 TILLERS W/O INFLUORESCENCE",flag,physicaldamage
"just broken pieces of stem/leaves, missing inflorescence",flag,physicaldamage
NO TILLERS OR INFLORESCENCE,flag,physicaldamage
NO INFLORESCENCE,flag,physicaldamage
"6/33 UNRIPE, 2/33 HERBIVORIZED, 1 tiller with no inflorescense",flag,physicaldamage
"9/50 UNRIPE, 2 tillers with no inflorescence",flag,physicaldamage
0/3 UNRIPE 2 TILLERS WITH NO INFLORESCENCE,flag,physicaldamage
2 TILLERS WITH NO INFLORESCENCE,flag,physicaldamage
No seeds on tiller,flag,physicaldamage
"3/50, 5 tillers with no inflorescence",flag,physicaldamage
"9/50 UNRIPE, some tillers with no inflorescence",flag,physicaldamage
"No inflorescence, broken tiller",flag,physicaldamage
missing inflorescence,flag,physicaldamage
"broken tiller, no inflorescence",flag,physicaldamage
"7/10 UNRIPE, 1 TILLER W/O INFLUORESCENCE",flag,physicaldamage
"2/50 UNRIPE, 1 BROKEN TILLER",flag,physicaldamage
MISSING INFLUORESCENCE,flag,physicaldamage
NO INFLUORESCENCE,flag,physicaldamage
"0/27 UNRIPE, 2 TILLERS MISSING INFLOURESCENCE",flag,physicaldamage
"0/5 unripe, 2 tillers missing inflorescence",flag,physicaldamage
"0/27 UNRIPE, 3 TILLERS MISSING INFORESCENCE",flag,physicaldamage
"0/3 UNRIPE, 2/3 TILLERS MISSING INFLORESENCE",flag,physicaldamage
2/10 unripe Missing Infloresence,flag,physicaldamage
"12/47 unripe, 8/47 herbivorized Missing Infloresence",flag,physicaldamage
4/14 unripe Missing infloresence,flag,physicaldamage
"18/50 unripe, 5/50 herbivorized, Missing Infloresence",flag,physicaldamage
"19/38 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
"Missing infloresence, tiller in pieces",flag,physicaldamage
"28/50 unripe, no inflorescence on 2 tillers",flag,physicaldamage
"2/2 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
"1/50 UNRIPE, MISSING INFLORESCENCE, MISSING TILLER",flag,physicaldamage
"5/8 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
"15/20 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
Missing Infloresence,flag,physicaldamage
"1 TILLER WITH INFLUORESCENCE, 0/50 UNRIPE",flag,physicaldamage
"0/37 unripe, 3 tillers with seed drop, 1 tiller w/o inflorescence",flag,physicaldamage
"3 BROKEN TILLERS, 2 TILLERS W/ SEED DROP, 7/50 UNRIPE",flag,physicaldamage
"3/50 unripe, 2/50 herbivorized, 3 tillers w/o inflorescence",flag,physicaldamage
"3/50 unripe, 2 tillers w/ seed drop, 1 tiller w/o inflorescence",flag,physicaldamage
"0/50 unripe, 1/50 herbivorized, 3 tillers w/o inflorescence",flag,physicaldamage
"0/44 unripe, 1/44 herbivorized, 2 tillers w/o inflorescence, 1 tiller w/ seed drop",flag,physicaldamage
"5/25 unripe, 2 tillers w/o inflorescence",flag,physicaldamage
"0/50 unripe, 3 tillers w/o inflorescence",flag,physicaldamage
"6/8 UNRIPE, 5 tillers with no inflorescence",flag,physicaldamage
"No spikelets in tillers, 8 with no inflorescenses",flag,physicaldamage
"0/50 unripe, 5 tillers w/o inflorescence",flag,physicaldamage
"MISSING TILLER, NO INFLORESCENCE",flag,physicaldamage
"0/50 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
"NO INFLORESCENCE, BROKEN TILLER",flag,physicaldamage
"BROKEN TILLER, NO INFLORESENCE",flag,physicaldamage
"5/43 UNRIPE,1 BROKEN TILLER WITH NO INFLORESENCE, 1 TILLER WITH DROPPED SEEDS",flag,physicaldamage
"BROKEN TILLER, NO INFLORESCENCE",flag,physicaldamage
No Infloresence,flag,physicaldamage
"25/50 unripe, 3/50 herbivorized, 1 sample had no tillers or inflorescence",flag,physicaldamage
"19/42 unfilled, 2/42 herbivorized, 2 samples had no tillers",flag,physicaldamage
"3/8 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
"5/50 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
"2/17 UNRIPE, 2 TILLERS WITH NO SEEDS",flag,physicaldamage
"9/19 UNRIPE, 3 TILLERS W/O SEEDS",flag,physicaldamage
"4/5 UNRIPE, 1 TILLER W/O SEEDS",flag,physicaldamage
ONLY 1 TILLER WITH SEEDS,flag,physicaldamage
3 TILLERS W/O SEEDS,flag,physicaldamage
"6/9 UNRIPE, ONLY 1 TILLER W/ SEEDS",flag,physicaldamage
1 tiller w/o inflorescence,flag,physicaldamage
no tillers,flag,physicaldamage
"no inflorescence, only loose seeds",flag,physicaldamage
No infloresence,flag,physicaldamage
"MISSING INFLORESCENCE, NO SEEDS",flag,physicaldamage
"47/47 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
"12/50 UNRIPE, MISSING INFLORESCENCE",flag,physicaldamage
broken pieces of stem and leaves,flag,physicaldamage
"2/36 unripe, 2 tillers w/out inflorescence",flag,physicaldamage
"no inflorescence on tiller, only loose seeds",flag,physicaldamage
"no tillers, only broken leaves",flag,physicaldamage
no inflorescence on tiller,flag,physicaldamage
No seeds in sample,flag,physicaldamage
"2/50 UNRIPE, 2 BROKEN TILLERS WITH NO INFLORESENCE",flag,physicaldamage
No inflorescence,flag,physicaldamage
NO INFLORESENCE,flag,physicaldamage
"12/50 UNRIPE, 1 TILLER WITH NO INFLORESENCE",flag,physicaldamage
"no tiller, only broken stems and leaves",flag,physicaldamage
"no tiller, only broken stems/leaves",flag,physicaldamage
NO TILLERS OR INFLORESCENCE JUST LEAVES,flag,physicaldamage
NO INFLUORESCENCE JUST TILLER,flag,physicaldamage
"16/26 UNRIPE, 3 TILLERS W/O SEEDS",flag,physicaldamage
1 TILLER MISSING INFLORESCENCE,flag,physicaldamage
