block,plot,x,y,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,genotype,jday,live,v,herbivory,frost_heave,notes,mean_flower
4,1,7,6,2023-07-13,high,black,Y,FP,NA,7,2.59,4.88,NA,CH_2023_1007,CH,2023,89,171,Y,FG,NA,NA,"E, ANTHILL",NA
1,2,5,2,2023-07-25,low,black,Y,FB,NA,29,9.36,15.88,NA,CH_2023_101,CH,2023,56,156,Y,FG,NA,NA,E,NA
4,1,3,7,2023-07-10,high,black,Y,FB,NA,14,4.82,8.62,NA,CH_2023_1011,CH,2023,58,156,Y,FG,NA,NA,E,NA
4,1,2,8,2023-07-10,high,black,Y,FP,NA,19,6.51,10.56,NA,CH_2023_1018,CH,2023,54,156,Y,FG,NA,NA,E,NA
4,1,4,9,2023-07-17,high,black,Y,FB,NA,2,0.32,0.61,NA,CH_2023_1028,CH,2023,91,156,Y,FG,NA,NA,E,NA
4,1,5,9,2023-07-10,high,black,Y,FP,NA,2,0.76,1.55,NA,CH_2023_1029,CH,2023,24,156,Y,FG,NA,NA,E,NA
4,1,7,9,2023-07-13,high,black,Y,FP,NA,11,2.45,4.53,NA,CH_2023_1031,CH,2023,90,156,Y,FG,NA,NA,E,NA
4,1,5,10,2023-07-13,high,black,Y,FP,NA,17,3.96,7.4,NA,CH_2023_1037,CH,2023,8,156,Y,FG,NA,NA,E,NA
4,1,6,10,2023-07-17,high,black,Y,FB,NA,13,2.79,4.75,NA,CH_2023_1038,CH,2023,66,156,Y,FG,NA,NA,E,NA
1,2,8,2,2023-07-17,low,black,Y,FB,NA,29,12.01,15.73,NA,CH_2023_104,CH,2023,59,156,Y,FG,NA,NA,E,NA
1,2,10,2,2023-07-17,low,black,Y,FB,NA,34,18.36,21.64,NA,CH_2023_106,CH,2023,54,156,Y,FG,NA,NA,E,NA
4,2,3,3,2023-07-25,low,black,Y,FP,NA,42,22.45,29.29,NA,CH_2023_1075,CH,2023,96,171,Y,FG,NA,NA,E,NA
4,2,7,3,2023-07-25,low,black,Y,FB,NA,31,10.37,15.54,NA,CH_2023_1079,CH,2023,91,156,Y,FG,NA,NA,E,NA
4,2,12,3,2023-07-17,low,black,Y,FB,NA,44,21.32,28.03,NA,CH_2023_1084,CH,2023,58,171,Y,FG,NA,NA,E,NA
4,2,7,4,2023-07-25,low,black,Y,FB,NA,47,22.18,30.88,NA,CH_2023_1095,CH,2023,90,171,Y,FG,NA,NA,E,NA
4,2,11,4,2023-07-10,low,black,Y,FB,NA,49,23.52,40.86,NA,CH_2023_1099,CH,2023,56,156,Y,FG,NA,NA,E,NA
1,2,16,2,2023-07-17,low,black,Y,FB,NA,41,22.3,34.51,NA,CH_2023_112,CH,2023,89,156,Y,FG,NA,NA,E,NA
1,2,2,3,2023-07-17,low,black,Y,FB,NA,25,11.84,20.82,NA,CH_2023_114,CH,2023,57,187,Y,FG,NA,NA,E,NA
4,3,1,4,2023-07-25,high,white,Y,FB,NA,1,0.08,0.19,NA,CH_2023_1145,CH,2023,89,171,Y,FG,NA,NA,E,NA
4,3,6,4,2023-07-17,high,white,Y,FB,NA,2,0.21,0.44,NA,CH_2023_1150,CH,2023,63,156,Y,FG,NA,NA,E,NA
4,3,7,4,2023-07-17,high,white,Y,FB,NA,4,0.43,0.44,NA,CH_2023_1151,CH,2023,72,156,Y,FG,NA,NA,E,NA
4,3,2,5,2023-07-25,high,white,Y,FB,NA,2,0.21,0.39,NA,CH_2023_1154,CH,2023,98,171,Y,FG,NA,NA,E,NA
4,3,7,5,2023-07-17,high,white,Y,FB,NA,1,0.12,0.12,NA,CH_2023_1159,CH,2023,42,156,Y,FG,NA,NA,E,NA
4,3,8,5,2023-07-17,high,white,Y,FP,NA,1,0.07,0.11,NA,CH_2023_1160,CH,2023,35,171,Y,FG,NA,NA,E,NA
4,3,1,6,2023-07-25,high,white,Y,FB,NA,3,0.36,0.46,NA,CH_2023_1161,CH,2023,81,171,Y,FG,NA,NA,E,NA
4,3,4,6,2023-07-17,high,white,Y,FB,NA,1,0.07,0.18,NA,CH_2023_1164,CH,2023,57,171,Y,FG,NA,NA,E,NA
4,3,6,6,2023-07-10,high,white,Y,FP,NA,3,0.35,0.55,NA,CH_2023_1166,CH,2023,36,156,Y,FG,NA,NA,E,NA
4,3,4,7,2023-07-10,high,white,Y,FB,NA,3,0.91,1.6,NA,CH_2023_1172,CH,2023,37,156,Y,FG,NA,NA,E,NA
4,3,7,7,2023-06-30,high,white,Y,FP,NA,1,0.08,0.08,NA,CH_2023_1175,CH,2023,82,156,Y,FG,NA,NA,E,NA
4,3,2,8,2023-07-25,high,white,Y,FB,NA,1,0.009,0.02,NA,CH_2023_1178,CH,2023,55,187,Y,FG,NA,NA,E,NA
4,3,4,8,2023-07-17,high,white,Y,FB,NA,2,0.42,0.95,NA,CH_2023_1180,CH,2023,52,156,Y,FG,NA,NA,E,NA
4,3,5,8,2023-07-17,high,white,Y,FB,NA,1,0.11,0.17,NA,CH_2023_1181,CH,2023,19,156,Y,FG,NA,NA,E,NA
4,3,6,8,2023-07-17,high,white,Y,FB,NA,2,0.54,0.84,NA,CH_2023_1182,CH,2023,59,156,Y,FG,NA,NA,E,NA
4,3,8,8,2023-07-17,high,white,Y,FP,NA,1,0.23,0.45,NA,CH_2023_1184,CH,2023,46,171,Y,FG,NA,NA,E,NA
4,3,3,9,2023-07-17,high,white,Y,FP,NA,4,0.99,1.56,NA,CH_2023_1187,CH,2023,90,171,Y,FG,NA,NA,E,NA
4,3,5,9,2023-06-30,high,white,Y,FB,NA,3,0.2,0.28,bad_position,CH_2023_1189,CH,2023,33,171,Y,FG,NA,NA,E,NA
4,3,3,10,2023-07-17,high,white,Y,FB,NA,1,0.06,0.14,NA,CH_2023_1195,CH,2023,54,171,Y,FG,NA,NA,E,NA
4,3,6,10,2023-07-17,high,white,Y,FB,NA,1,0.22,0.54,NA,CH_2023_1198,CH,2023,95,156,Y,FG,NA,NA,E,NA
4,3,7,10,2023-07-17,high,white,Y,FB,NA,2,0.4,0.88,NA,CH_2023_1199,CH,2023,76,156,Y,FG,NA,NA,E,NA
4,3,8,10,2023-07-10,high,white,Y,FB,NA,9,1.79,2.64,NA,CH_2023_1200,CH,2023,51,156,Y,FG,NA,NA,E,NA
4,4,13,1,2023-07-25,low,white,Y,FB,NA,27,11.41,15.72,NA,CH_2023_1213,CH,2023,18,156,Y,FG,NA,NA,E,NA
4,4,1,2,NA,low,white,N,NA,NA,NA,NA,0,NA,CH_2023_1217,CH,2023,57,156,Y,FG,NA,NA,E,NA
4,4,4,2,2023-07-25,low,white,Y,FB,NA,19,8.59,11.87,NA,CH_2023_1220,CH,2023,53,171,Y,FG,NA,NA,E,NA
4,4,12,2,NA,low,white,N,NA,NA,NA,NA,0,NA,CH_2023_1228,CH,2023,57,142,Y,FG,NA,NA,E,NA
4,4,6,3,2023-07-25,low,white,Y,FB,NA,24,12.4,17.85,NA,CH_2023_1238,CH,2023,55,171,Y,FG,NA,NA,E,NA
4,4,1,4,2023-07-25,low,white,Y,FB,NA,18,7.08,12.66,NA,CH_2023_1249,CH,2023,52,156,Y,FG,NA,NA,E,NA
4,4,10,4,2023-07-25,low,white,Y,FP,NA,14,6.85,9.11,NA,CH_2023_1258,CH,2023,69,171,Y,FG,NA,NA,E,NA
4,4,14,4,2023-07-25,low,white,Y,FB,NA,36,23.17,32.37,NA,CH_2023_1262,CH,2023,58,171,Y,FG,NA,NA,E,NA
4,4,8,5,2023-07-25,low,white,Y,FP,NA,26,14.67,19.46,NA,CH_2023_1272,CH,2023,98,171,Y,FG,NA,NA,E,NA
5,1,6,1,2023-07-25,high,black,Y,FP,NA,7,2.07,3.67,NA,CH_2023_1286,CH,2023,59,171,Y,FG,NA,NA,E,NA
5,1,8,1,2023-07-17,high,black,Y,FB,NA,9,3.66,6.92,physical_damage,CH_2023_1288,CH,2023,56,156,Y,FG,NA,NA,E,NA
5,1,7,2,2023-07-17,high,black,Y,FP,NA,1,0.09,0.2,NA,CH_2023_1295,CH,2023,14,171,Y,FG,NA,NA,E,NA
5,1,4,3,2023-07-10,high,black,Y,FB,NA,10,3.17,6.59,NA,CH_2023_1300,CH,2023,52,156,Y,FG,NA,NA,E,NA
5,1,4,5,2023-07-10,high,black,Y,FP,NA,7,2.55,4.7,NA,CH_2023_1316,CH,2023,55,156,Y,FG,NA,NA,E,NA
5,1,3,7,2023-06-30,high,black,Y,FB,NA,3,0.54,1.01,NA,CH_2023_1331,CH,2023,33,156,Y,FG,NA,NA,E,NA
5,1,5,7,2023-07-03,high,black,Y,FP,NA,5,1.47,2.92,NA,CH_2023_1333,CH,2023,68,156,Y,FG,NA,NA,E,NA
5,1,6,7,2023-07-03,high,black,Y,FP,NA,8,1.81,2.17,seed_drop,CH_2023_1334,CH,2023,39,156,Y,FG,NA,NA,E,NA
5,1,7,7,2023-07-17,high,black,Y,FP,NA,2,0.26,0.09,seed_drop,CH_2023_1335,CH,2023,18,156,Y,FG,NA,NA,E,NA
5,1,8,7,2023-06-30,high,black,Y,FB,NA,7,3,5.82,NA,CH_2023_1336,CH,2023,14,156,Y,FG,NA,NA,E,NA
5,1,3,8,2023-07-17,high,black,Y,FB,NA,4,1.25,1.87,NA,CH_2023_1339,CH,2023,57,171,Y,FG,NA,NA,E,NA
1,2,6,4,NA,low,black,N,NA,NA,NA,NA,0,NA,CH_2023_134,CH,2023,82,171,Y,FG,NA,NA,E,NA
5,1,6,8,2023-07-17,high,black,Y,FP,NA,5,1.56,2.22,NA,CH_2023_1342,CH,2023,8,171,Y,FG,NA,NA,E,NA
5,1,4,9,2023-06-30,high,black,Y,FP,NA,4,0.94,2.01,NA,CH_2023_1348,CH,2023,83,156,Y,FG,NA,NA,E,NA
1,2,8,4,2023-07-25,low,black,Y,FB,NA,16,6.85,8.89,NA,CH_2023_136,CH,2023,90,187,Y,FG,NA,NA,E,NA
5,2,4,1,2023-07-25,low,black,Y,FB,NA,33,10.51,18.27,NA,CH_2023_1364,CH,2023,59,156,Y,FG,NA,NA,E,NA
5,2,1,2,2023-07-25,low,black,Y,FB,NA,16,4.43,7.06,NA,CH_2023_1377,CH,2023,92,171,Y,FG,NA,NA,E,NA
5,2,3,2,2023-07-25,low,black,Y,FB,NA,31,9.39,14.33,NA,CH_2023_1379,CH,2023,8,156,Y,FG,NA,NA,E,NA
