"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"CH_2023_1",100,"Y","V2",NA,NA,"N","D"
"CH_2023_1",114,"N",NA,NA,NA,"N","D"
"CH_2023_1",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1",142,"N",NA,NA,NA,"N","D"
"CH_2023_1",156,"N",NA,NA,NA,"N","D"
"CH_2023_1",171,"N",NA,NA,NA,"N","D"
"CH_2023_1",187,"N",NA,NA,NA,"N","D"
"CH_2023_1",199,"N",NA,NA,NA,"N","D"
"CH_2023_10",100,"Y","V1",NA,NA,"N","D"
"CH_2023_10",114,"N",NA,NA,NA,"N","D"
"CH_2023_10",129,"Y","V1",NA,NA,"N","D"
"CH_2023_10",142,"N",NA,NA,NA,"N","D"
"CH_2023_10",156,"N",NA,NA,NA,"N","D"
"CH_2023_10",171,"N",NA,NA,NA,"N","D"
"CH_2023_10",187,"N",NA,NA,NA,"N","D"
"CH_2023_10",199,"N",NA,NA,NA,"N","D"
"CH_2023_100",100,"Y","V3+",NA,NA,"N","D"
"CH_2023_100",114,"Y","V2",NA,NA,"N","D"
"CH_2023_100",129,"Y","V3+",NA,NA,"N","D"
"CH_2023_100",142,"N",NA,NA,NA,"N","D"
"CH_2023_100",156,"N",NA,NA,NA,"N","D"
"CH_2023_100",171,"N",NA,NA,NA,"N","D"
"CH_2023_100",187,"N",NA,NA,NA,"N","D"
"CH_2023_100",199,"N",NA,NA,NA,"N","D"
"CH_2023_1000",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1000",114,"N",NA,NA,NA,"N","D"
"CH_2023_1000",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1000",142,"N",NA,NA,NA,"N","D"
"CH_2023_1000",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1000",171,"N",NA,NA,NA,"N","D"
"CH_2023_1000",187,"N",NA,NA,NA,"N","D"
"CH_2023_1000",199,"N",NA,NA,NA,"N","D"
"CH_2023_1001",101,"N",NA,NA,NA,"N","D"
"CH_2023_1001",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1001",129,"N",NA,NA,NA,"N","D"
"CH_2023_1001",142,"N",NA,NA,NA,"N","D"
"CH_2023_1001",156,"N",NA,NA,NA,"N","D"
"CH_2023_1001",171,"N",NA,NA,NA,"N","D"
"CH_2023_1001",187,"N",NA,NA,NA,"N","D"
"CH_2023_1001",199,"N",NA,NA,NA,"N","D"
"CH_2023_1002",101,"N",NA,NA,NA,"N","D"
"CH_2023_1002",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1002",129,"N",NA,NA,NA,"N","D"
"CH_2023_1002",142,"N",NA,NA,NA,"N","D"
"CH_2023_1002",156,"N",NA,NA,NA,"N","D"
"CH_2023_1002",171,"N",NA,NA,NA,"N","D"
"CH_2023_1002",187,"N",NA,NA,NA,"N","D"
"CH_2023_1002",199,"N",NA,NA,NA,"N","D"
"CH_2023_1003",101,"Y","V2",NA,NA,"N","D"
