"plantID","site","year","block","plot","x","y","genotype","growout","density","gravel"
"CH_2023_1","CH",2023,1,1,1,1,53,2020,"high","black"
"CH_2023_73","CH",2023,1,1,1,10,42,2021,"high","black"
"CH_2023_9","CH",2023,1,1,1,2,64,2020,"high","black"
"CH_2023_17","CH",2023,1,1,1,3,1,2020,"high","black"
"CH_2023_25","CH",2023,1,1,1,4,29,2020,"high","black"
"CH_2023_33","CH",2023,1,1,1,5,28,2020,"high","black"
"CH_2023_41","CH",2023,1,1,1,6,95,2020,"high","black"
"CH_2023_49","CH",2023,1,1,1,7,61,2020,"high","black"
"CH_2023_57","CH",2023,1,1,1,8,68,2020,"high","black"
"CH_2023_65","CH",2023,1,1,1,9,66,2020,"high","black"
"CH_2023_2","CH",2023,1,1,2,1,11,2020,"high","black"
"CH_2023_74","CH",2023,1,1,2,10,1,2020,"high","black"
"CH_2023_10","CH",2023,1,1,2,2,150,2021,"high","black"
"CH_2023_18","CH",2023,1,1,2,3,100,2020,"high","black"
"CH_2023_26","CH",2023,1,1,2,4,63,2020,"high","black"
"CH_2023_34","CH",2023,1,1,2,5,44,2020,"high","black"
"CH_2023_42","CH",2023,1,1,2,6,84,2020,"high","black"
"CH_2023_50","CH",2023,1,1,2,7,97,2020,"high","black"
"CH_2023_58","CH",2023,1,1,2,8,36,2020,"high","black"
"CH_2023_66","CH",2023,1,1,2,9,86,2020,"high","black"
"CH_2023_3","CH",2023,1,1,3,1,25,2020,"high","black"
"CH_2023_75","CH",2023,1,1,3,10,32,2020,"high","black"
"CH_2023_11","CH",2023,1,1,3,2,82,2020,"high","black"
"CH_2023_19","CH",2023,1,1,3,3,12,2020,"high","black"
"CH_2023_27","CH",2023,1,1,3,4,19,2020,"high","black"
"CH_2023_35","CH",2023,1,1,3,5,87,2020,"high","black"
"CH_2023_43","CH",2023,1,1,3,6,37,2020,"high","black"
"CH_2023_51","CH",2023,1,1,3,7,92,2020,"high","black"
"CH_2023_59","CH",2023,1,1,3,8,35,2020,"high","black"
"CH_2023_67","CH",2023,1,1,3,9,93,2021,"high","black"
"CH_2023_4","CH",2023,1,1,4,1,57,2020,"high","black"
"CH_2023_76","CH",2023,1,1,4,10,77,2020,"high","black"
"CH_2023_12","CH",2023,1,1,4,2,43,2020,"high","black"
"CH_2023_20","CH",2023,1,1,4,3,74,2020,"high","black"
"CH_2023_28","CH",2023,1,1,4,4,71,2020,"high","black"
"CH_2023_36","CH",2023,1,1,4,5,63,2020,"high","black"
"CH_2023_44","CH",2023,1,1,4,6,47,2020,"high","black"
"CH_2023_52","CH",2023,1,1,4,7,91,2020,"high","black"
"CH_2023_60","CH",2023,1,1,4,8,52,2020,"high","black"
"CH_2023_68","CH",2023,1,1,4,9,31,2020,"high","black"
"CH_2023_5","CH",2023,1,1,5,1,2,2020,"high","black"
"CH_2023_77","CH",2023,1,1,5,10,103,2020,"high","black"
"CH_2023_13","CH",2023,1,1,5,2,29,2020,"high","black"
"CH_2023_21","CH",2023,1,1,5,3,51,2020,"high","black"
"CH_2023_29","CH",2023,1,1,5,4,72,2020,"high","black"
"CH_2023_37","CH",2023,1,1,5,5,9,2020,"high","black"
