"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"SS2022_1",NA,-49,NA,NA,NA,-8,NA,NA,NA,NA
"SS2022_2",NA,-49,NA,NA,NA,-15,NA,NA,NA,NA
"SS2022_3",NA,-49,NA,NA,-1,-27,122,NA,NA,NA
"SS2022_4",NA,-49,NA,NA,-1,-7,NA,NA,NA,NA
"SS2022_5",NA,-49,NA,NA,-1,-4,NA,NA,NA,NA
"SS2022_6",NA,-49,NA,NA,NA,-9,NA,NA,NA,NA
"SS2022_7",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_9",NA,-49,165,NA,-4,-14,NA,NA,NA,NA
"SS2022_10",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_11",NA,-49,NA,NA,NA,-9,NA,NA,NA,NA
"SS2022_12",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_13",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_14",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_15",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_16",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_17",NA,-49,NA,NA,-1,-4,NA,NA,NA,NA
"SS2022_18",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_19",NA,-49,NA,NA,NA,-8,NA,NA,NA,NA
"SS2022_20",NA,-49,NA,NA,-1,-10,NA,NA,NA,NA
"SS2022_21",NA,-49,138,NA,-1,-22,NA,NA,NA,NA
"SS2022_22",NA,-49,108,NA,NA,NA,NA,NA,NA,NA
"SS2022_23",NA,-49,NA,NA,NA,-16,NA,NA,NA,NA
"SS2022_24",NA,-49,NA,NA,NA,-7,NA,NA,NA,NA
"SS2022_25",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_26",NA,-49,NA,NA,NA,-11,NA,NA,NA,NA
"SS2022_27",NA,-49,122,NA,-2,-33,NA,NA,NA,NA
"SS2022_28",NA,-49,NA,NA,NA,-5,NA,NA,NA,NA
"SS2022_29",NA,-49,NA,NA,NA,-20,NA,NA,NA,NA
"SS2022_30",NA,-49,NA,NA,-1,-1,NA,NA,NA,NA
"SS2022_31",NA,-49,NA,NA,NA,-12,NA,NA,NA,NA
"SS2022_32",NA,-49,NA,NA,NA,-9,122,NA,NA,NA
"SS2022_33",NA,-49,NA,NA,NA,-17,NA,NA,NA,NA
"SS2022_34",NA,-49,NA,NA,NA,-7,NA,NA,NA,NA
"SS2022_35",NA,-49,NA,NA,-1,-9,NA,NA,NA,NA
"SS2022_36",NA,-49,NA,NA,NA,-13,122,NA,NA,NA
"SS2022_37",NA,-49,NA,NA,NA,-8,NA,NA,NA,NA
"SS2022_38",NA,-49,NA,NA,NA,-5,NA,NA,NA,NA
"SS2022_39",NA,-49,NA,NA,-1,-3,NA,NA,NA,NA
"SS2022_40",NA,-49,NA,NA,NA,-15,122,NA,NA,NA
"SS2022_41",NA,-49,NA,NA,NA,-3,NA,NA,NA,NA
"SS2022_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_43",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_44",NA,-49,108,NA,-2,-6,NA,NA,NA,NA
"SS2022_45",NA,-49,NA,NA,NA,-3,NA,NA,NA,NA
"SS2022_46",NA,-49,NA,NA,NA,-7,NA,NA,NA,NA
"SS2022_47",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_49",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_50",NA,-49,NA,NA,NA,-9,NA,NA,NA,NA
"SS2022_51",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_52",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_53",NA,-49,108,NA,-1,-28,NA,NA,NA,NA
"SS2022_54",NA,-49,87,NA,NA,NA,NA,NA,NA,NA
"SS2022_55",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_56",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_57",NA,-49,138,NA,-1,-22,NA,NA,NA,NA
"SS2022_58",NA,-49,138,NA,-3,-3,NA,NA,NA,NA
"SS2022_59",NA,-49,NA,NA,NA,-9,NA,NA,NA,NA
"SS2022_60",NA,-49,NA,NA,NA,-12,NA,NA,NA,NA
"SS2022_61",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_62",NA,-49,138,NA,-3,-9,NA,NA,NA,NA
"SS2022_63",NA,-49,NA,NA,NA,-14,122,NA,NA,NA
"SS2022_64",NA,-49,NA,NA,NA,NA,122,NA,NA,NA
"SS2022_65",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_66",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_67",NA,-49,NA,NA,NA,-10,NA,NA,NA,NA
"SS2022_68",NA,-49,NA,NA,NA,-11,NA,NA,NA,NA
"SS2022_69",NA,-49,165,NA,NA,-6,NA,NA,NA,NA
"SS2022_70",NA,-49,138,165,-2,-5,NA,NA,NA,NA
"SS2022_71",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_72",NA,-49,NA,NA,NA,-18,122,NA,NA,NA
"SS2022_73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_75",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_76",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_78",NA,-49,NA,NA,NA,-3,122,NA,NA,NA
"SS2022_79",NA,-49,NA,NA,NA,-7,NA,NA,NA,NA
"SS2022_80",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_81",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_82",NA,-49,NA,NA,NA,-2,122,NA,NA,NA
"SS2022_83",NA,-49,165,NA,NA,NA,NA,NA,NA,NA
"SS2022_84",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_85",NA,-49,NA,NA,NA,-7,NA,NA,NA,NA
"SS2022_86",NA,-49,NA,NA,NA,-5,NA,NA,NA,NA
"SS2022_87",NA,-49,108,NA,NA,-15,NA,NA,NA,NA
"SS2022_88",NA,-49,151,NA,-1,-14,122,NA,NA,NA
"SS2022_89",NA,-49,138,NA,-1,-1,NA,NA,NA,NA
"SS2022_90",NA,-49,108,NA,NA,NA,NA,NA,NA,NA
"SS2022_91",NA,-49,165,NA,-1,-29,122,NA,NA,NA
"SS2022_92",NA,-49,NA,NA,NA,-8,NA,NA,NA,NA
"SS2022_93",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_94",NA,-49,122,NA,NA,-22,NA,NA,NA,NA
"SS2022_95",NA,-49,NA,NA,NA,-3,NA,NA,NA,NA
"SS2022_96",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_97",NA,-49,NA,NA,NA,-10,NA,NA,NA,NA
"SS2022_98",NA,-49,138,NA,-2,-18,NA,NA,NA,NA
"SS2022_99",NA,-49,NA,NA,NA,-16,NA,NA,NA,NA
"SS2022_100",NA,-49,NA,NA,NA,-14,NA,NA,NA,NA
"SS2022_101",NA,-49,NA,NA,-1,-35,122,NA,NA,NA
"SS2022_102",NA,-49,NA,NA,NA,-12,138,NA,NA,NA
"SS2022_103",NA,-49,NA,NA,NA,-1,122,NA,NA,NA
"SS2022_104",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_105",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_106",NA,-49,NA,NA,NA,-1,138,NA,NA,NA
"SS2022_107",NA,-49,165,NA,NA,-17,122,NA,NA,NA
"SS2022_108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_109",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_110",NA,-49,NA,NA,NA,-4,122,NA,NA,NA
"SS2022_111",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_113",NA,-49,122,NA,NA,NA,NA,NA,NA,NA
"SS2022_114",NA,-49,NA,NA,NA,-8,122,NA,NA,NA
"SS2022_115",NA,122,138,151,NA,NA,122,NA,NA,NA
"SS2022_116",NA,-49,NA,NA,NA,-2,122,NA,NA,NA
"SS2022_117",NA,-49,NA,NA,NA,-6,122,NA,NA,NA
"SS2022_118",NA,-49,NA,NA,-1,-15,138,NA,NA,NA
"SS2022_119",NA,-49,NA,NA,NA,-3,NA,NA,NA,NA
"SS2022_120",NA,-49,NA,NA,NA,-10,NA,NA,NA,NA
"SS2022_121",NA,-49,NA,NA,NA,-7,NA,NA,NA,NA
"SS2022_122",NA,-49,122,NA,NA,-16,NA,NA,NA,NA
"SS2022_123",NA,-49,NA,NA,NA,-13,NA,NA,NA,NA
"SS2022_124",NA,-49,NA,NA,NA,-3,NA,NA,NA,NA
"SS2022_125",NA,-49,138,NA,-1,-16,NA,NA,NA,NA
"SS2022_126",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_127",NA,-49,138,NA,-1,-7,NA,NA,NA,NA
"SS2022_128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_129",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_131",NA,-49,122,NA,-1,-12,NA,NA,NA,NA
"SS2022_132",NA,-49,NA,NA,NA,-13,122,NA,NA,NA
"SS2022_133",NA,-49,NA,NA,NA,-48,NA,NA,NA,NA
"SS2022_134",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_135",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_136",NA,-49,NA,NA,NA,-8,NA,NA,NA,NA
"SS2022_137",NA,-49,NA,NA,NA,-16,138,NA,NA,NA
"SS2022_138",NA,-49,NA,NA,NA,-12,138,NA,NA,NA
"SS2022_139",NA,-49,NA,NA,-1,-12,NA,NA,NA,NA
"SS2022_140",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_141",NA,-49,138,NA,NA,NA,NA,NA,NA,NA
"SS2022_142",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_143",NA,-49,NA,NA,NA,-3,NA,NA,NA,NA
"SS2022_144",NA,-49,108,NA,-1,NA,NA,NA,NA,NA
"SS2022_145",NA,-49,NA,NA,NA,-2,138,NA,NA,NA
"SS2022_146",NA,-49,122,NA,NA,NA,NA,NA,NA,NA
"SS2022_147",NA,-49,NA,NA,NA,-14,122,NA,NA,NA
"SS2022_148",NA,-49,87,NA,NA,NA,NA,NA,NA,NA
"SS2022_149",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_150",NA,-49,138,NA,-1,-3,NA,NA,NA,NA
"SS2022_151",NA,-49,138,151,-1,-4,NA,NA,NA,NA
"SS2022_152",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_153",NA,87,NA,NA,NA,NA,138,NA,NA,NA
"SS2022_154",NA,-49,NA,NA,NA,-16,NA,NA,NA,NA
"SS2022_155",NA,-49,NA,NA,NA,-19,NA,NA,NA,NA
"SS2022_156",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_157",NA,-49,138,151,NA,-4,NA,NA,NA,NA
"SS2022_158",NA,-49,108,NA,NA,NA,NA,NA,NA,NA
"SS2022_159",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_160",NA,-49,NA,NA,NA,-19,NA,NA,NA,NA
"SS2022_161",NA,-49,NA,NA,NA,-6,NA,NA,NA,NA
"SS2022_162",NA,-49,138,NA,-2,-13,122,NA,NA,NA
"SS2022_163",NA,-49,NA,NA,NA,-3,138,NA,NA,NA
"SS2022_164",NA,87,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_165",NA,-49,NA,NA,-1,-5,NA,NA,NA,NA
"SS2022_166",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_167",NA,-49,NA,NA,NA,NA,138,NA,NA,NA
"SS2022_168",NA,-49,NA,NA,NA,-2,122,NA,NA,NA
"SS2022_169",NA,-49,NA,NA,NA,NA,138,NA,NA,NA
"SS2022_170",NA,-49,87,122,NA,NA,122,NA,NA,NA
"SS2022_171",NA,-49,138,NA,NA,-4,NA,NA,NA,NA
"SS2022_172",NA,-49,NA,NA,-1,-19,108,NA,NA,NA
"SS2022_173",NA,-49,108,NA,NA,NA,NA,NA,NA,NA
"SS2022_174",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_176",NA,-49,NA,NA,NA,-2,138,NA,NA,NA
"SS2022_177",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_178",NA,-49,138,NA,NA,-2,122,NA,NA,NA
"SS2022_179",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_180",NA,-49,138,NA,NA,NA,NA,NA,NA,NA
"SS2022_181",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_182",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_183",NA,-49,NA,NA,NA,-5,122,NA,NA,NA
"SS2022_184",NA,-49,NA,NA,NA,-24,87,NA,NA,NA
"SS2022_185",NA,-49,NA,NA,NA,-3,NA,NA,NA,NA
"SS2022_186",NA,-49,NA,NA,NA,-1,NA,NA,NA,NA
"SS2022_187",NA,-49,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_188",NA,-49,NA,NA,NA,-4,138,NA,NA,NA
"SS2022_189",NA,-49,NA,NA,NA,-9,138,NA,NA,NA
"SS2022_190",NA,-49,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_191",NA,-49,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_192",NA,-49,165,NA,-1,NA,138,NA,NA,NA
"SS2022_193",NA,87,122,NA,-1,-2,NA,NA,NA,NA
"SS2022_194",NA,-49,138,151,-1,-10,122,NA,NA,NA
"SS2022_195",NA,-49,NA,NA,NA,-5,NA,NA,NA,NA
"SS2022_196",NA,-49,138,NA,-1,-20,NA,NA,NA,NA
"SS2022_197",NA,-49,NA,NA,NA,-3,138,NA,NA,NA
"SS2022_198",NA,-49,NA,NA,NA,-10,NA,NA,NA,NA
"SS2022_199",NA,-49,NA,NA,-1,-2,NA,NA,NA,NA
"SS2022_200",NA,-49,NA,NA,-1,-2,138,NA,NA,NA
"SS2022_201",NA,-45,108,NA,-1,-22,NA,122,NA,NA
"SS2022_202",NA,-45,108,NA,-1,NA,NA,122,NA,NA
"SS2022_203",NA,-45,NA,NA,-1,-18,NA,NA,NA,NA
"SS2022_204",NA,-45,NA,NA,NA,-15,122,NA,NA,NA
"SS2022_205",NA,-45,108,NA,-1,-5,NA,122,NA,NA
"SS2022_206",NA,-45,NA,NA,-1,-7,NA,NA,NA,NA
"SS2022_207",NA,-45,NA,NA,NA,-2,138,NA,NA,NA
"SS2022_208",NA,-45,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_209",NA,-45,NA,NA,NA,-2,122,NA,NA,NA
"SS2022_210",NA,-45,NA,NA,-1,-1,138,NA,NA,NA
"SS2022_211",NA,-45,108,NA,-2,-11,NA,NA,NA,NA
"SS2022_212",NA,-45,NA,NA,NA,-19,138,NA,NA,NA
"SS2022_213",NA,-45,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_214",NA,-45,NA,NA,NA,-18,138,NA,NA,NA
"SS2022_215",NA,-45,NA,NA,NA,-4,138,NA,NA,NA
"SS2022_216",NA,-45,NA,NA,-1,-13,138,122,NA,NA
"SS2022_217",NA,-45,NA,NA,NA,-20,NA,122,NA,NA
"SS2022_218",NA,-45,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_219",NA,-45,NA,NA,NA,-10,NA,122,NA,NA
"SS2022_220",NA,-45,NA,NA,NA,-6,138,NA,NA,NA
"SS2022_221",NA,-45,NA,NA,NA,NA,138,NA,NA,NA
"SS2022_222",NA,-45,NA,NA,NA,-5,NA,NA,NA,NA
"SS2022_223",NA,-45,NA,NA,NA,-12,138,NA,NA,NA
"SS2022_224",NA,-45,108,NA,-1,-1,NA,122,NA,NA
"SS2022_225",NA,-45,122,NA,-1,NA,NA,122,NA,NA
"SS2022_226",NA,-45,NA,NA,-1,-41,NA,122,NA,NA
"SS2022_227",NA,-45,108,NA,NA,-2,NA,108,NA,NA
"SS2022_228",NA,-45,108,NA,-2,-26,NA,108,NA,NA
"SS2022_229",NA,-45,NA,NA,NA,-10,138,122,NA,NA
"SS2022_230",NA,-45,138,NA,-2,-19,NA,122,NA,NA
"SS2022_231",NA,-45,138,NA,-1,-40,NA,NA,NA,NA
"SS2022_232",NA,-45,NA,NA,NA,-19,122,122,NA,NA
"SS2022_233",NA,-45,108,NA,-2,-35,NA,NA,NA,NA
"SS2022_234",NA,-45,108,NA,-2,-12,NA,122,NA,NA
"SS2022_235",NA,-45,NA,NA,NA,-15,NA,122,NA,NA
"SS2022_236",NA,-45,NA,NA,NA,-9,NA,NA,NA,NA
"SS2022_237",NA,-45,NA,NA,NA,-11,122,122,NA,NA
"SS2022_238",NA,108,122,138,NA,NA,NA,NA,NA,NA
"SS2022_239",NA,87,122,NA,NA,NA,NA,122,NA,NA
"SS2022_240",NA,-45,87,NA,NA,NA,NA,122,NA,NA
"SS2022_241",NA,-45,NA,NA,NA,-24,NA,122,NA,NA
"SS2022_242",NA,-45,NA,NA,NA,-10,138,122,NA,NA
"SS2022_243",NA,-45,NA,NA,NA,-5,138,122,NA,NA
"SS2022_244",NA,-45,87,NA,NA,NA,NA,122,NA,NA
"SS2022_245",NA,-45,NA,NA,NA,-25,NA,122,NA,NA
"SS2022_246",NA,-45,NA,NA,NA,-51,NA,122,NA,NA
"SS2022_247",NA,-45,NA,NA,NA,-41,NA,122,NA,NA
"SS2022_248",NA,-45,NA,NA,NA,-19,NA,122,NA,NA
"SS2022_249",NA,-45,108,NA,NA,-1,NA,122,NA,NA
"SS2022_250",NA,-45,NA,NA,NA,-14,NA,NA,NA,NA
"SS2022_251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_252",NA,-45,NA,NA,-1,-40,NA,NA,NA,NA
"SS2022_253",NA,-45,87,NA,NA,NA,NA,122,NA,NA
"SS2022_254",NA,-45,108,NA,-2,-3,NA,122,NA,NA
"SS2022_255",NA,-45,87,NA,NA,NA,NA,122,NA,NA
"SS2022_256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_257",NA,-45,108,NA,NA,-4,NA,108,NA,NA
"SS2022_258",NA,-45,NA,NA,NA,-9,122,NA,NA,NA
"SS2022_259",NA,-45,NA,NA,NA,-59,122,NA,NA,NA
"SS2022_260",NA,-45,NA,NA,NA,-29,122,NA,NA,NA
"SS2022_261",NA,-45,NA,NA,NA,-16,NA,122,NA,NA
"SS2022_262",NA,-45,NA,NA,NA,-27,122,122,NA,NA
"SS2022_263",NA,-45,108,122,-1,-4,NA,122,NA,NA
"SS2022_264",NA,-45,NA,NA,NA,-9,NA,122,NA,NA
"SS2022_265",NA,-45,NA,NA,NA,-25,NA,122,NA,NA
"SS2022_266",NA,-45,NA,NA,NA,-19,NA,NA,NA,NA
"SS2022_267",NA,-45,NA,NA,NA,-22,138,122,NA,NA
"SS2022_268",NA,NA,NA,NA,NA,NA,NA,122,NA,NA
"SS2022_269",NA,-45,138,NA,-1,-27,122,122,NA,NA
"SS2022_270",NA,-45,NA,NA,NA,-17,122,122,NA,NA
"SS2022_271",NA,-45,108,NA,-1,-6,NA,122,NA,NA
"SS2022_272",NA,-45,NA,NA,NA,-28,122,122,NA,NA
"SS2022_273",NA,-45,NA,NA,NA,-16,NA,NA,NA,NA
"SS2022_274",NA,-45,NA,NA,-1,-12,122,NA,NA,NA
"SS2022_275",NA,-45,108,NA,-1,NA,NA,122,NA,NA
"SS2022_276",NA,-45,108,NA,-1,-13,NA,122,NA,NA
"SS2022_277",NA,-45,108,NA,-1,-4,NA,122,NA,NA
"SS2022_278",NA,-45,NA,NA,NA,-11,NA,NA,NA,NA
"SS2022_279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_280",NA,-45,151,NA,-1,-37,122,NA,NA,NA
"SS2022_281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_282",NA,-45,NA,NA,-1,-1,NA,122,NA,NA
"SS2022_283",NA,-45,87,NA,NA,NA,NA,NA,NA,NA
"SS2022_284",NA,-45,NA,NA,NA,-22,NA,122,NA,NA
"SS2022_285",NA,-45,NA,NA,NA,-18,122,122,NA,NA
"SS2022_286",NA,-45,NA,NA,NA,-20,NA,NA,NA,NA
"SS2022_287",NA,-45,NA,NA,NA,-7,NA,NA,NA,NA
"SS2022_288",NA,-45,NA,NA,NA,-11,NA,NA,NA,NA
"SS2022_289",NA,-45,NA,NA,NA,-8,NA,122,NA,NA
"SS2022_290",NA,-45,87,151,-3,NA,NA,NA,NA,NA
"SS2022_291",NA,-45,NA,NA,-1,-20,138,122,NA,NA
"SS2022_292",NA,-45,NA,NA,NA,-10,138,122,NA,NA
"SS2022_293",NA,-45,NA,NA,NA,-9,122,122,NA,NA
"SS2022_294",NA,-45,NA,NA,NA,-22,NA,122,NA,NA
"SS2022_295",NA,-45,NA,NA,-1,-40,122,122,NA,NA
"SS2022_296",NA,-45,NA,NA,NA,-8,NA,122,NA,NA
"SS2022_297",NA,NA,NA,NA,NA,NA,NA,122,NA,NA
"SS2022_298",NA,-45,NA,NA,NA,-4,NA,122,NA,NA
"SS2022_299",NA,-45,87,NA,NA,NA,NA,122,NA,NA
"SS2022_300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_301",NA,-45,87,122,-1,NA,NA,122,NA,NA
"SS2022_302",NA,-45,NA,NA,-1,-21,122,NA,NA,NA
"SS2022_303",NA,-45,NA,NA,NA,-20,122,NA,NA,NA
"SS2022_304",NA,-45,108,NA,NA,NA,NA,122,NA,NA
"SS2022_305",NA,-45,151,NA,-3,-6,122,NA,NA,NA
"SS2022_306",NA,-45,NA,NA,NA,-23,138,122,NA,NA
"SS2022_307",NA,-45,NA,NA,NA,-8,138,NA,NA,NA
"SS2022_308",NA,-45,NA,NA,NA,-3,138,122,NA,NA
"SS2022_309",NA,-45,NA,NA,NA,-25,NA,NA,NA,NA
"SS2022_310",NA,-45,NA,NA,-1,-12,122,NA,NA,NA
"SS2022_311",NA,-45,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_312",NA,-45,NA,NA,NA,-2,NA,NA,NA,NA
"SS2022_313",NA,NA,NA,NA,NA,NA,NA,122,NA,NA
"SS2022_314",NA,-45,NA,NA,-1,-5,122,NA,NA,NA
"SS2022_315",NA,-45,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_316",NA,87,108,NA,NA,NA,NA,122,NA,NA
"SS2022_317",NA,NA,NA,NA,NA,NA,NA,122,NA,NA
"SS2022_318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_319",NA,-45,138,NA,-1,-12,NA,NA,NA,NA
"SS2022_320",NA,-45,NA,NA,-1,-1,NA,NA,NA,NA
"SS2022_321",NA,-45,108,NA,NA,-16,NA,122,NA,NA
"SS2022_322",NA,NA,NA,NA,NA,NA,NA,122,NA,NA
"SS2022_323",NA,-45,NA,NA,-1,-5,NA,NA,NA,NA
"SS2022_324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_325",NA,-45,NA,NA,NA,-18,138,NA,NA,NA
"SS2022_326",NA,NA,NA,NA,NA,NA,NA,87,NA,NA
"SS2022_327",NA,-45,NA,NA,-1,-34,122,122,NA,NA
"SS2022_328",NA,87,108,122,-1,NA,NA,NA,NA,NA
"SS2022_329",NA,-45,NA,NA,NA,-16,151,122,NA,NA
"SS2022_330",NA,-45,138,NA,-1,-7,122,122,NA,NA
"SS2022_331",NA,-45,138,NA,NA,-3,NA,122,NA,NA
"SS2022_332",NA,-45,NA,NA,NA,-29,NA,NA,NA,NA
"SS2022_333",NA,-45,NA,NA,-1,-38,122,NA,NA,NA
"SS2022_334",NA,-45,NA,NA,NA,-4,NA,NA,NA,NA
"SS2022_335",NA,-45,108,NA,-1,-1,NA,NA,NA,NA
"SS2022_336",NA,-45,NA,NA,NA,-12,138,NA,NA,NA
"SS2022_337",NA,-45,122,NA,-1,-10,NA,87,NA,NA
"SS2022_338",NA,-45,NA,NA,NA,NA,138,122,NA,NA
"SS2022_339",NA,-45,NA,NA,NA,-13,122,NA,NA,NA
"SS2022_340",NA,-45,NA,NA,NA,-29,122,NA,NA,NA
"SS2022_341",NA,-45,122,NA,-1,-13,NA,NA,NA,NA
"SS2022_342",NA,-45,NA,NA,NA,-9,122,NA,NA,NA
"SS2022_343",NA,-45,NA,NA,-2,-15,122,NA,NA,NA
"SS2022_344",NA,-45,NA,NA,NA,-11,122,NA,NA,NA
"SS2022_345",NA,-45,NA,NA,NA,-12,122,NA,NA,NA
"SS2022_346",NA,-45,NA,NA,-1,-1,122,NA,NA,NA
"SS2022_347",NA,-45,108,NA,-1,-7,NA,NA,NA,NA
"SS2022_348",NA,-45,108,NA,NA,-5,NA,NA,NA,NA
"SS2022_349",NA,-45,165,NA,NA,NA,138,NA,NA,NA
"SS2022_350",NA,-45,NA,NA,NA,-8,138,NA,NA,NA
"SS2022_351",NA,-45,NA,NA,NA,-6,122,NA,NA,NA
"SS2022_352",NA,-45,NA,NA,NA,-13,122,NA,NA,NA
"SS2022_353",NA,-45,NA,NA,-1,-1,NA,NA,NA,NA
"SS2022_354",NA,-45,138,NA,-1,-12,NA,NA,NA,NA
"SS2022_355",NA,-45,108,NA,NA,-5,NA,NA,NA,NA
"SS2022_356",NA,-45,NA,NA,NA,-11,122,NA,NA,NA
"SS2022_357",NA,-45,NA,NA,NA,NA,NA,NA,NA,NA
"SS2022_358",NA,-45,108,NA,-1,-15,NA,NA,NA,NA
"SS2022_359",NA,-45,NA,NA,NA,-15,122,NA,NA,NA
"SS2022_360",NA,-45,NA,NA,NA,NA,138,122,NA,NA
"SS2022_361",NA,-45,NA,NA,-1,-7,138,NA,NA,NA
"SS2022_362",NA,-45,NA,NA,NA,-7,122,NA,NA,NA
"SS2022_363",NA,-45,NA,NA,-1,-16,NA,122,NA,NA
"SS2022_364",NA,-45,NA,NA,NA,-20,122,NA,NA,NA
