plantID,jday,live,v,length_mm,herbivory,frost_heave,tillers,harvested,notes
SS2022_1,-49,Y,V2,46,NA,NA,NA,NA,NA
SS2022_1,87,Y,V2,38,NA,NA,NA,NA,NA
SS2022_1,108,Y,V3+,33,NA,NA,NA,NA,NA
SS2022_1,122,Y,V3+,39,N,N,NA,NA,NA
SS2022_1,138,Y,FG,NA,N,N,NA,NA,NA
SS2022_1,151,Y,FG,NA,N,N,NA,NA,NA
SS2022_1,165,Y,FG,NA,N,N,NA,NA,NA
SS2022_10,-49,Y,V0,30,NA,NA,NA,NA,NA
SS2022_10,87,Y,V1,30,NA,NA,NA,NA,NA
SS2022_10,108,Y,V2,38,NA,NA,NA,NA,NA
SS2022_10,122,Y,V3,32,N,N,NA,NA,NA
SS2022_10,138,Y,V3+,NA,N,N,NA,NA,NA
SS2022_10,151,Y,BS,NA,N,N,NA,NA,NA
SS2022_10,165,Y,FG,NA,N,N,NA,NA,NA
SS2022_100,-49,Y,V0,45,NA,NA,NA,NA,NA
SS2022_100,87,Y,V2,45,NA,NA,NA,NA,1 BLADE DEAD
SS2022_100,108,Y,V2,31,NA,NA,NA,NA,NA
SS2022_100,122,Y,V3,37,N,N,NA,NA,NA
SS2022_100,138,Y,V3+,NA,N,N,NA,NA,NA
SS2022_100,151,Y,BS,NA,N,N,NA,NA,NA
SS2022_100,165,Y,FG,NA,N,N,NA,NA,NA
SS2022_1000,-45,Y,V0,27,NA,NA,NA,NA,NA
SS2022_1000,88,Y,V1,25,NA,NA,NA,NA,NA
SS2022_1000,108,Y,V2,17,NA,NA,NA,NA,1 BLADE DIED
SS2022_1000,123,Y,V2,14,Y,Y,NA,NA,NA
SS2022_1000,138,Y,V3,NA,N,Y,NA,NA,NA
SS2022_1000,151,Y,V3+,NA,N,Y,NA,NA,NA
SS2022_1000,165,Y,FG,NA,N,Y,NA,NA,NA
SS2022_1001,-45,Y,V0,35,NA,NA,NA,NA,NA
SS2022_1001,88,Y,V2,33,NA,NA,NA,NA,NA
SS2022_1001,108,Y,V3,23,NA,NA,NA,NA,NA
SS2022_1001,123,Y,V3+,37,N,N,NA,NA,NA
SS2022_1001,138,Y,BS,NA,N,N,NA,NA,NA
SS2022_1001,151,Y,FG,NA,N,N,NA,NA,NA
SS2022_1001,165,Y,FG,NA,N,N,NA,NA,NA
SS2022_1002,-45,Y,V1,36,NA,NA,NA,NA,NA
SS2022_1002,88,Y,V2,40,NA,NA,NA,NA,NA
SS2022_1002,108,Y,V3,35,NA,NA,NA,NA,NA
SS2022_1002,123,Y,V3+,41,N,N,NA,NA,NA
SS2022_1002,138,Y,BS,NA,N,N,NA,NA,NA
SS2022_1002,151,Y,FG,NA,N,N,NA,NA,NA
SS2022_1002,165,Y,FG,NA,N,N,NA,NA,NA
SS2022_1003,-45,Y,V2,48,NA,NA,NA,NA,NA
SS2022_1003,88,Y,V2,48,NA,NA,NA,NA,NA
SS2022_1003,108,Y,V3,48,NA,NA,NA,NA,NA
SS2022_1003,123,Y,V3+,57,N,N,NA,NA,NA
