notes,action,standard_note
all seeds dropped,action,allseeddrop
dropped all seeds,action,allseeddrop
DROPPED ALL SEEDS,action,allseeddrop
ALL SEEDS DROPPED,action,allseeddrop
HUGE HOLE WHERE TOOTHPICK WAS. HERBIVORE LIKELY DUG UNDERNEATH,action,herbivory
DEAD,action,mortality
SOME FLOWERS DIED,action,mortality
ALLFLOWERS DIED,action,mortality
STEMBROKEALL FLOWERSDIED,action,mortality
ALL FLOWERS DIED,action,mortality
HALF FLOWERS ARE DEAD,action,mortality
SOME FLOWERS ARE DEAD,action,mortality
ALL FLOWERS ARE DEAD,action,mortality
HALF OF FLOWERS ARE DEAD,action,mortality
SOME FLOWERSAREDEAD,action,mortality
"SOME FLOWERS ARE DEAD, 4/50 unripe",action,mortality
SOMEFLOWERS ARE DEAD,action,mortality
Dead,action,mortality
"ALL FLOWERS DIED, NO FILLED SEEDS",action,mortality
ALMOST ALL FLOWERS ARE DEAD,action,mortality
HALF FLOWERS DEAD,action,mortality
WIND BLEW IT AWAY,action,mortality
"0/50 unripe seeds, SOME FLOWERS ARE DEAD",action,mortality
"0/50 unripe, MANY FLOWERS ARE DEAD",action,mortality
"0/12 unripe, HALF FLOWERS DEAD",action,mortality
23/50 dead,action,mortality
"2/50 unripe, ABOUT HALF OF FLOWERS ARE DEAD",action,mortality
"0/50 unripe, SOME FLOWERS ARE DEAD",action,mortality
broken tiller,action,physicaldamage
TILLER BROKE,action,physicaldamage
BROKEN TILLER,action,physicaldamage
FLOWERS FELL OFF,action,physicaldamage
Tiller broke,action,physicaldamage
one tiller broken,action,physicaldamage
LOST 1 TILLER BEFORE HARVEST,action,physicaldamage
FLOWERS BROKE OFF,action,physicaldamage
SOME FLOWERS BROKE OFF,action,physicaldamage
Blew away,action,physicaldamage
tiller broken,action,physicaldamage
tiller broke,action,physicaldamage
flowers died; seed head fell off,action,physicaldamage
Broken Tiller,action,physicaldamage
"broken tiller, boot",action,physicaldamage
Broken tiller,action,physicaldamage
0/50 unripe. 2 broken tillers,action,physicaldamage
6/50 UNRIPE BROKEN TILLER,action,physicaldamage
STEM WITH FLOWERS BROKE OFF; broken tiller,action,physicaldamage
