block,plot,x,y,genotype,growout,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,first_flower,live,v,herbivory,frost_heave,note_standard
4,1,5,2,103,2020,2023-07-04,low,white,Y,FG,Y,10,0.274,0.515,smut,SS2023_1002,SS,2023,156,Y,FG,NA,NA,NA
4,1,5,5,30,2020,2023-07-04,low,white,Y,FP,Y,4,0.144,0.44,NA,SS2023_1005,SS,2023,156,Y,FG,NA,NA,NA
4,1,6,1,24,2020,2023-07-10,low,white,Y,FP,Y,4,0.478,0.891,NA,SS2023_1006,SS,2023,156,Y,FG,NA,NA,NA
4,1,6,2,35,2020,2023-07-10,low,white,Y,FP,Y,8,0.979,1.613,NA,SS2023_1007,SS,2023,156,Y,FG,NA,NA,NA
4,1,6,3,33,2020,2023-07-04,low,white,Y,FP,Y,4,0.274,0.912,NA,SS2023_1008,SS,2023,156,Y,FG,NA,NA,NA
4,1,7,1,75,2020,2023-07-04,low,white,Y,FP,Y,4,0.142,0.263,smut,SS2023_1011,SS,2023,156,Y,FG,NA,NA,NA
4,1,7,4,51,2020,2023-07-10,low,white,Y,FP,Y,9,0.83,1.54,NA,SS2023_1014,SS,2023,156,Y,FG,NA,NA,NA
4,1,8,2,104,2020,2023-07-10,low,white,Y,FP,Y,3,0.34,0.85,NA,SS2023_1017,SS,2023,156,Y,FG,NA,NA,NA
4,1,12,3,55,2020,2023-07-10,low,white,Y,FP,Y,6,1.45,2.41,NA,SS2023_1018,SS,2023,156,Y,FG,NA,NA,NA
4,1,12,4,102,2020,2023-07-04,low,white,Y,FP,Y,8,1.37,1.5,NA,SS2023_1019,SS,2023,156,Y,FG,NA,NA,NA
4,1,13,2,98,2020,2023-07-10,low,white,Y,FP,Y,4,0.581,1.035,NA,SS2023_1022,SS,2023,156,Y,FG,NA,NA,NA
4,1,13,3,82,2020,2023-07-04,low,white,Y,FP,Y,6,0.758,1.362,NA,SS2023_1023,SS,2023,156,Y,FG,NA,NA,NA
