"plantID","jday","live","v","length_mm","herbivory","frost_heave","notes"
"SS2023_1",-68,"N",NA,NA,"","",""
"SS2023_1",114,"Y","V0",NA,"","",""
"SS2023_1",129,"Y","V1",NA,"","",""
"SS2023_1",144,"Y","V2",NA,"","",""
"SS2023_1",156,"Y","V3+",NA,"","",""
"SS2023_10",-68,"N",NA,NA,"","",""
"SS2023_10",114,"N",NA,NA,"","",""
"SS2023_10",129,"N",NA,NA,"","",""
"SS2023_10",144,"N",NA,NA,"","",""
"SS2023_10",156,"N",NA,NA,"","",""
"SS2023_100",-68,"Y","V2",28,"","",""
"SS2023_100",114,"N",NA,NA,"","",""
"SS2023_100",129,"N",NA,NA,"","",""
"SS2023_100",144,"N",NA,NA,"","",""
"SS2023_100",156,"N",NA,NA,"","",""
"SS2023_1000",-67,"Y","V0",25,"","",""
"SS2023_1000",115,"Y","V0",NA,"","Y",""
"SS2023_1000",129,"N","V0",NA,"","",""
"SS2023_1000",144,"Y","V2",NA,"","",""
"SS2023_1000",156,"Y","BS",NA,"","",""
"SS2023_1001",-67,"Y","V0",34,"","",""
"SS2023_1001",115,"Y","V0",NA,"","",""
"SS2023_1001",129,"N","V1",NA,"","",""
"SS2023_1001",144,"N",NA,NA,"","",""
"SS2023_1001",156,"N",NA,NA,"","",""
"SS2023_1002",-67,"Y","V1",30,"","",""
"SS2023_1002",115,"Y","V1",NA,"","Y",""
"SS2023_1002",129,"Y","V3",NA,"","",""
"SS2023_1002",144,"Y","V3+",NA,"","",""
"SS2023_1002",156,"Y","FG",NA,"","",""
"SS2023_1003",-67,"N",NA,NA,"","",""
"SS2023_1003",115,"N",NA,NA,"","Y",""
"SS2023_1003",129,"N",NA,NA,"","",""
"SS2023_1003",144,"N",NA,NA,"","",""
"SS2023_1003",156,"N",NA,NA,"","",""
"SS2023_1004",-67,"Y","V1",30,"","",""
"SS2023_1004",115,"N",NA,NA,"","",""
"SS2023_1004",129,"N",NA,NA,"","",""
"SS2023_1004",144,"N",NA,NA,"","",""
"SS2023_1004",156,"N",NA,NA,"","",""
"SS2023_1005",-67,"N",NA,NA,"","",""
"SS2023_1005",115,"Y","V1",NA,"","Y",""
"SS2023_1005",129,"Y","V2",NA,"","",""
"SS2023_1005",144,"Y","BS",NA,"","",""
"SS2023_1005",156,"Y","FG",NA,"","",""
"SS2023_1006",-67,"Y","V1",44,"","",""
"SS2023_1006",115,"Y","V2",NA,"","",""
"SS2023_1006",129,"Y","V3",NA,"","",""
"SS2023_1006",144,"Y","V3+",NA,"","",""
"SS2023_1006",156,"Y","FG",NA,"","",""
"SS2023_1007",-67,"Y","V1",45,"","",""
"SS2023_1007",115,"Y","V2",NA,"","",""
"SS2023_1007",129,"Y","V2",NA,"","",""
"SS2023_1007",144,"Y","V3+",NA,"","",""
"SS2023_1007",156,"Y","FG",NA,"","",""
"SS2023_1008",-67,"Y","V1",45,"","",""
"SS2023_1008",115,"Y","V2",NA,"","",""
"SS2023_1008",129,"Y","V3",NA,"","",""
"SS2023_1008",144,"Y","V3+",NA,"","",""
"SS2023_1008",156,"Y","FG",NA,"","",""
"SS2023_1009",-67,"Y","V1",34,"","",""
"SS2023_1009",115,"Y","V1",NA,"","",""
"SS2023_1009",129,"Y","V2",NA,"","",""
"SS2023_1009",144,"Y","V3+",NA,"","",""
"SS2023_1009",156,"Y","V3+",NA,"","",""
"SS2023_101",-68,"Y","V1",45,"","",""
"SS2023_101",114,"N",NA,NA,"","",""
"SS2023_101",129,"N",NA,NA,"","",""
"SS2023_101",144,"N",NA,NA,"","",""
"SS2023_101",156,"N",NA,NA,"","",""
"SS2023_1010",-67,"Y","V1",43,"","",""
"SS2023_1010",115,"Y","V1",NA,"","",""
"SS2023_1010",129,"N",NA,NA,"","",""
"SS2023_1010",144,"N",NA,NA,"","",""
"SS2023_1010",156,"N",NA,NA,"","",""
"SS2023_1011",-67,"Y","V0",35,"","",""
"SS2023_1011",115,"Y","V1",NA,"","",""
"SS2023_1011",129,"Y","V3",NA,"","",""
"SS2023_1011",144,"Y","V3+",NA,"","",""
"SS2023_1011",156,"Y","FG",NA,"","",""
"SS2023_1012",-67,"Y","V0",63,"","",""
"SS2023_1012",115,"Y","V1",NA,"","",""
"SS2023_1012",129,"Y","V3",NA,"","",""
"SS2023_1012",144,"Y","V3+",NA,"","",""
"SS2023_1012",156,"Y","V3+",NA,"","",""
