"plantID","site","year","block","plot","x","y","genotype","growout"
"SS2023_1","SS",2023,1,1,1,1,66,2020
"SS2023_2","SS",2023,1,1,1,2,31,2020
"SS2023_3","SS",2023,1,1,1,3,102,2020
"SS2023_4","SS",2023,1,1,1,4,74,2020
"SS2023_5","SS",2023,1,1,1,5,9,2020
"SS2023_6","SS",2023,1,1,1,6,56,2020
"SS2023_7","SS",2023,1,1,1,7,54,2020
"SS2023_8","SS",2023,1,1,1,8,89,2020
"SS2023_9","SS",2023,1,1,1,9,35,2020
"SS2023_10","SS",2023,1,1,1,10,88,2020
"SS2023_11","SS",2023,1,1,2,1,11,2020
"SS2023_12","SS",2023,1,1,2,2,93,2020
"SS2023_13","SS",2023,1,1,2,3,55,2020
"SS2023_14","SS",2023,1,1,2,4,46,2020
"SS2023_15","SS",2023,1,1,2,5,51,2020
"SS2023_16","SS",2023,1,1,2,6,6,2020
"SS2023_17","SS",2023,1,1,2,7,90,2020
"SS2023_18","SS",2023,1,1,2,8,12,2020
"SS2023_19","SS",2023,1,1,2,9,42,2020
"SS2023_20","SS",2023,1,1,2,10,5,2020
"SS2023_21","SS",2023,1,1,3,1,19,2020
"SS2023_22","SS",2023,1,1,3,2,28,2020
"SS2023_23","SS",2023,1,1,3,3,64,2020
"SS2023_24","SS",2023,1,1,3,4,98,2020
"SS2023_25","SS",2023,1,1,3,5,52,2020
"SS2023_26","SS",2023,1,1,3,6,54,2020
"SS2023_27","SS",2023,1,1,3,7,71,2020
"SS2023_28","SS",2023,1,1,3,8,65,2020
"SS2023_29","SS",2023,1,1,3,9,57,2020
"SS2023_30","SS",2023,1,1,3,10,83,2020
"SS2023_31","SS",2023,1,1,4,1,79,2020
"SS2023_32","SS",2023,1,1,4,2,97,2021
"SS2023_33","SS",2023,1,1,4,3,75,2020
"SS2023_34","SS",2023,1,1,4,4,69,2020
"SS2023_35","SS",2023,1,1,4,5,76,2020
"SS2023_36","SS",2023,1,1,4,6,29,2020
"SS2023_37","SS",2023,1,1,4,7,7,2020
"SS2023_38","SS",2023,1,1,4,8,92,2020
"SS2023_39","SS",2023,1,1,4,9,37,2020
"SS2023_40","SS",2023,1,1,4,10,73,2020
"SS2023_41","SS",2023,1,1,5,1,101,2020
"SS2023_42","SS",2023,1,1,5,2,104,2020
"SS2023_43","SS",2023,1,1,5,3,34,2020
"SS2023_44","SS",2023,1,1,5,4,33,2020
"SS2023_45","SS",2023,1,1,5,5,62,2020
"SS2023_46","SS",2023,1,1,5,6,61,2020
"SS2023_47","SS",2023,1,1,5,7,49,2020
"SS2023_48","SS",2023,1,1,5,8,2,2020
"SS2023_49","SS",2023,1,1,5,9,95,2020
"SS2023_50","SS",2023,1,1,5,10,43,2020
"SS2023_51","SS",2023,1,1,6,1,53,2020
"SS2023_52","SS",2023,1,1,6,2,81,2020
"SS2023_53","SS",2023,1,1,6,3,63,2020
"SS2023_54","SS",2023,1,1,6,4,38,2021
"SS2023_55","SS",2023,1,1,6,5,39,2020
"SS2023_56","SS",2023,1,1,6,6,25,2020
"SS2023_57","SS",2023,1,1,6,7,58,2020
"SS2023_58","SS",2023,1,1,6,8,91,2020
