notes,action,standard_note
"4/8 UNRIPE, MISSED STEM?",flag,physicaldamage
ALL SEEDS HAVE SMUT,flag,smut
"0/0 unripe, missing inflorescence",flag,physicaldamage
"9/50 UNRIPE, HERB..",flag,herbivory
"4/8 UNRIPE, MISSED STEMS?",flag,physicaldamage
"heavily herbivorized, no viable seeds",flag,herbivory
NO SEEDS,flag,seeddrop
MISSING FLOWER,flag,physicaldamage
"3/50 UNRIPE, 2/50 HERBIVORIZED",flag,herbivory
"3/50 UNRIPE, 6/50 HERBIVORIZED",flag,herbivory
"0/50 UNRIPE, ALL SMUT",flag,smut
"5/50 UNRIPE, 1/50 HERBIVORIZED",flag,herbivory
7/50 UNRIPE; 1/50 HERBIVORIZED,flag,herbivory
12/50 UNRIPE; 2/50 HERBIVORIZED,flag,herbivory
3/48 UNRIPE; 7/48 HERBIVORIZED,flag,herbivory
10/50 UNRIPE; 2/50 HERBIVORIZED,flag,herbivory
14 UNRIPE 2 HERBIVORIZED,flag,herbivory
4/50 UNRIPE; 1/50 HERBIVORIZED,flag,herbivory
10/50 UNRIPE; 1/50 HERBIVORIZED,flag,herbivory
2/19 UNRIPE 2/19 HERBIVORIZED,flag,herbivory
1/50 UNRIPE;2/50 HERBIVORIZED,flag,herbivory
1/50 HERBIVORIZED,flag,herbivory
missing inflorescence,flag,physicaldamage
2/50 UNRIPE 1/50 HERBIVORISE,flag,herbivory
MISSING INFLORESENCE,flag,physicaldamage
0/35 UNRIPE 1/35 HERBIVORIZED,flag,herbivory
"1/2 UNRIPE, 1/2 HERBIVORIZED",flag,herbivory
"0/50 UNRIPE, 2/50 HERBIVORIZED",flag,herbivory
"0/14 unripe, 2/14 herbivorized",flag,herbivory
1/26 UNRIPE 1/26 HERBIVORIZED,flag,herbivory
1/50 UNRIPE 1/50 HERBIVORIZED,flag,herbivory
"0/33 unripe, 10/33 herbivorized",flag,herbivory
"0/15 unripe, 2/15 herbivorized",flag,herbivory
"1/43 unripe, 2/43 herbivorized",flag,herbivory
"0/50 unripe, 3/50 herbivorized",flag,herbivory
"smut, 0/50 unripe",flag,smut
"0/18 unripe,  7/18 herbivorized",flag,herbivory
"0/34 unripe, 1/34 herbivorized",flag,herbivory
"0/35 UNRIPE, 4/35 HERBIVORIZED",flag,herbivory
"2/4 UNRIPE, 1/4 HERBIVORIZED",flag,herbivory
"1/39 UNRIPE, 7/39 HERBIVORIZED",flag,herbivory
