block,density,gravel,x,y,plantID,site,jday,genotype,flowered?
1,high,black,1,6,CH_2022_51,Cheyenne,188,81,y
1,high,black,3,5,CH_2022_43,Cheyenne,146,101,y
1,high,black,5,1,CH_2022_5,Cheyenne,188,44,y
1,high,black,5,5,CH_2022_45,Cheyenne,179,42,n
1,low,black,1,3,CH_2022_141,Cheyenne,188,93,y
1,low,black,2,4,CH_2022_162,Cheyenne,203,6,n
1,low,black,6,3,CH_2022_146,Cheyenne,174,92,n
1,low,black,6,5,CH_2022_186,Cheyenne,203,7,n
1,low,black,9,3,CH_2022_149,Cheyenne,203,1,n
1,low,black,11,1,CH_2022_111,Cheyenne,203,81,n
1,low,black,14,4,CH_2022_174,Cheyenne,179,66,n
1,low,black,15,1,CH_2022_115,Cheyenne,203,105,n
1,low,black,16,1,CH_2022_116,Cheyenne,188,47,n
1,low,black,17,1,CH_2022_117,Cheyenne,203,54,n
1,low,black,18,2,CH_2022_138,Cheyenne,179,71,n
1,low,black,18,3,CH_2022_158,Cheyenne,203,79,n
1,high,white,1,1,CH_2022_201,Cheyenne,179,76,n
1,high,white,1,10,CH_2022_291,Cheyenne,146,64,y
1,high,white,2,1,CH_2022_202,Cheyenne,174,30,y
1,high,white,2,5,CH_2022_242,Cheyenne,174,79,n
1,high,white,6,2,CH_2022_216,Cheyenne,179,44,y
1,high,white,6,8,CH_2022_276,Cheyenne,146,29,y
1,high,white,7,4,CH_2022_237,Cheyenne,179,56,y
1,high,white,8,6,CH_2022_258,Cheyenne,174,57,y
1,high,white,9,6,CH_2022_259,Cheyenne,179,46,n
1,high,white,9,9,CH_2022_289,Cheyenne,179,7,n
1,low,white,1,4,CH_2022_361,Cheyenne,203,82,n
1,low,white,2,5,CH_2022_382,Cheyenne,203,37,n
1,low,white,3,3,CH_2022_343,Cheyenne,188,58,y
1,low,white,4,3,CH_2022_344,Cheyenne,203,19,n
1,low,white,4,5,CH_2022_384,Cheyenne,179,102,y
1,low,white,6,3,CH_2022_346,Cheyenne,203,13,n
1,low,white,7,5,CH_2022_387,Cheyenne,179,45,n
1,low,white,11,5,CH_2022_391,Cheyenne,203,5,n
1,low,white,12,1,CH_2022_312,Cheyenne,203,12,n
1,low,white,12,2,CH_2022_332,Cheyenne,188,84,n
1,low,white,12,3,CH_2022_352,Cheyenne,203,92,n
1,low,white,12,4,CH_2022_372,Cheyenne,179,98,y
1,low,white,15,2,CH_2022_335,Cheyenne,203,95,n
1,low,white,15,3,CH_2022_355,Cheyenne,203,77,n
1,low,white,16,1,CH_2022_316,Cheyenne,203,55,n
1,low,white,16,3,CH_2022_356,Cheyenne,203,56,n
1,low,white,17,1,CH_2022_317,Cheyenne,203,35,n
1,low,white,19,4,CH_2022_379,Cheyenne,179,68,y
1,low,white,19,5,CH_2022_399,Cheyenne,203,35,n
1,low,white,20,1,CH_2022_320,Cheyenne,203,52,n
1,low,white,20,5,CH_2022_400,Cheyenne,203,96,n
2,high,black,1,2,CH_2022_411,Cheyenne,174,39,y
2,high,black,1,3,CH_2022_421,Cheyenne,188,45,y
2,high,black,1,4,CH_2022_431,Cheyenne,180,46,y
2,high,black,1,5,CH_2022_441,Cheyenne,174,79,y
2,high,black,2,2,CH_2022_412,Cheyenne,195,2,y
2,high,black,3,2,CH_2022_413,Cheyenne,203,53,n
2,high,black,3,3,CH_2022_423,Cheyenne,146,43,y
2,high,black,3,7,CH_2022_463,Cheyenne,146,32,y
2,high,black,3,8,CH_2022_473,Cheyenne,174,77,y
2,high,black,4,1,CH_2022_404,Cheyenne,174,98,y
2,high,black,4,4,CH_2022_434,Cheyenne,174,14,n
2,high,black,6,2,CH_2022_416,Cheyenne,146,33,y
2,high,black,6,10,CH_2022_496,Cheyenne,174,5,y
2,high,black,7,2,CH_2022_417,Cheyenne,188,68,y
2,high,black,7,7,CH_2022_467,Cheyenne,195,6,n
2,high,black,8,6,CH_2022_458,Cheyenne,180,55,y
2,high,black,10,10,CH_2022_500,Cheyenne,180,59,n
2,low,black,4,2,CH_2022_524,Cheyenne,192,5,y
2,low,black,5,1,CH_2022_505,Cheyenne,192,69,y
2,low,black,5,4,CH_2022_565,Cheyenne,172,25,y
2,low,black,6,2,CH_2022_526,Cheyenne,179,59,y
2,low,black,7,1,CH_2022_507,Cheyenne,179,102,y
2,low,black,7,4,CH_2022_567,Cheyenne,203,81,n
2,low,black,8,1,CH_2022_508,Cheyenne,192,52,y
2,low,black,9,2,CH_2022_529,Cheyenne,179,90,y
2,low,black,10,3,CH_2022_550,Cheyenne,179,49,y
2,low,black,11,2,CH_2022_531,Cheyenne,179,68,y
2,low,black,12,1,CH_2022_512,Cheyenne,192,44,y
2,low,black,12,4,CH_2022_572,Cheyenne,179,28,n
2,low,black,18,3,CH_2022_558,Cheyenne,195,46,n
2,high,white,1,2,CH_2022_611,Cheyenne,188,55,n
2,high,white,2,5,CH_2022_642,Cheyenne,179,46,y
2,high,white,2,7,CH_2022_662,Cheyenne,179,76,y
2,high,white,3,7,CH_2022_663,Cheyenne,179,7,n
2,high,white,4,2,CH_2022_614,Cheyenne,179,89,y
2,high,white,5,2,CH_2022_615,Cheyenne,179,100,y
2,high,white,5,6,CH_2022_655,Cheyenne,181,81,y
2,high,white,5,7,CH_2022_665,Cheyenne,179,36,y
2,high,white,5,9,CH_2022_685,Cheyenne,179,58,y
2,high,white,6,1,CH_2022_606,Cheyenne,179,105,y
2,high,white,6,6,CH_2022_656,Cheyenne,174,8,y
2,high,white,6,9,CH_2022_686,Cheyenne,179,37,y
2,high,white,8,1,CH_2022_608,Cheyenne,179,73,n
2,high,white,9,2,CH_2022_619,Cheyenne,179,2,n
2,high,white,9,6,CH_2022_659,Cheyenne,188,98,n
2,high,white,9,9,CH_2022_689,Cheyenne,179,97,y
