observer,recorder,date,site,block,subplot,density,gravel.color,x.coordinate,y.coordinate,plot.id,cheatgrass.id,seedling.present.,plant.harvested.,max.leaf.length..mm.,phenology,frost.heaved.,herbivory.present.,is.herbivory.affecting.measurement.,total.number.of.leaves.on.plant..including.imature.leaves.,number.of.leaves.herbivorized,average.length.of.herbivorized.leaves..mm.,herbivory.intensity.class,notes,source,bulkyear,combcond,combcondplot,genotypeid,data.entry,date.1,plot,x,y,genotype,growout,live,v,length_mm,herbivory,frost_heave,harvested,gravel,ids,issue
N/A,N/A,5/24/22,BA,2,3,Low,White,1,6,2.3w,Y6_X1,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,1,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_1_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,1,7,2.3w,Y7_X1,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,1,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_1_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,1,8,2.3w,Y8_X1,Yes,No,,Bootstage,,,,NA,NA,NA,,,,NA,,,,,,3,1,8,NA,NA,Yes,Bootstage,,N,N,N,White,BA_2_3_White_Low_1_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,1,9,2.3w,Y9_X1,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,1,9,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_1_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,1,10,2.3w,Y10_X1,Yes,No,,Bootstage,,,,NA,NA,NA,,,,NA,,,,,,3,1,10,NA,NA,Yes,Bootstage,,N,N,N,White,BA_2_3_White_Low_1_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,2,6,2.3w,Y6_X2,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,2,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_2_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,2,7,2.3w,Y7_X2,Yes,No,,Fg,,Yes,No,NA,NA,NA,Medium,,,NA,,,,,,3,2,7,NA,NA,Yes,Fg,,N,N,N,White,BA_2_3_White_Low_2_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,2,8,2.3w,Y8_X2,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,2,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_2_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,2,9,2.3w,Y9_X2,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,2,9,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_2_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,2,10,2.3w,Y10_X2,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,2,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_2_10,block 2 plot 3 low white has 200 observations; some should belong to high white
