plantID,site,year,density,albedo,block,plot,x,y,genotype,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest
CH_2022_1,CH,2022,hi,black,1,1,1,1,37,Y,148,FG,Y,NA,Y,FG_FB,3,0.15,0.25,136,NA
CH_2022_91,CH,2022,hi,black,1,1,1,10,79,Y,160,FG,Y,NA,Y,FP_FB,5,0.55,0.56,308,NA
CH_2022_11,CH,2022,hi,black,1,1,1,2,35,Y,160,FG,Y,NA,Y,FP,1,0.025,0.025,13,NA
CH_2022_21,CH,2022,hi,black,1,1,1,3,84,Y,148,FG,Y,NA,Y,FG_FP,3,0.047,0.07,40,NA
CH_2022_31,CH,2022,hi,black,1,1,1,4,69,Y,160,FG,Y,NA,Y,FP,2,0.1,0.027,13,NA
CH_2022_41,CH,2022,hi,black,1,1,1,5,12,Y,148,FG,Y,NA,Y,FB,1,0.034,0.06,32,NA
CH_2022_61,CH,2022,hi,black,1,1,1,7,30,Y,129,FG,Y,NA,Y,FG_FB,6,0.11,0.28,165,NA
CH_2022_71,CH,2022,hi,black,1,1,1,8,36,Y,148,FG,Y,NA,Y,FP_FB,4,0.16,0.17,79,NA
CH_2022_100,CH,2022,hi,black,1,1,10,10,26,Y,160,FG,Y,NA,Y,FB,1,0.026,0.038,24,NA
CH_2022_20,CH,2022,hi,black,1,1,10,2,54,Y,148,FG,Y,NA,Y,FG,2,0.06,0.09,41,NA
CH_2022_40,CH,2022,hi,black,1,1,10,4,24,Y,148,FG,Y,NA,Y,FB,2,0.06,0.09,43,NA
CH_2022_60,CH,2022,hi,black,1,1,10,6,100,Y,148,FG,Y,NA,Y,FP,2,0.029,0.043,25,NA
CH_2022_70,CH,2022,hi,black,1,1,10,7,76,Y,148,FG,Y,NA,Y,FP_FB,3,0.14,0.17,105,NA
CH_2022_80,CH,2022,hi,black,1,1,10,8,97,Y,148,FG,Y,NA,Y,FG_FB,3,0.09,0.1,69,NA
CH_2022_2,CH,2022,hi,black,1,1,2,1,13,Y,148,FG,Y,NA,Y,FB,1,0.031,0.039,26,NA
CH_2022_92,CH,2022,hi,black,1,1,2,10,57,Y,148,FG,Y,NA,Y,FB,4,0.1,0.118,89,NA
CH_2022_12,CH,2022,hi,black,1,1,2,2,83,Y,148,FG,Y,NA,Y,FG_FP,4,0.08,0.13,80,NA
CH_2022_22,CH,2022,hi,black,1,1,2,3,103,Y,148,FG,Y,NA,Y,FP_FB,2,0.15,0.16,66,NA
CH_2022_32,CH,2022,hi,black,1,1,2,4,102,Y,148,FG,Y,NA,Y,FB,1,0.019,0.038,20,NA
CH_2022_42,CH,2022,hi,black,1,1,2,5,102,Y,148,FG,Y,NA,Y,FB,1,0.023,0.024,15,NA
CH_2022_52,CH,2022,hi,black,1,1,2,6,29,Y,148,FG,Y,NA,Y,FB,1,0.011,0.016,14,NA
CH_2022_62,CH,2022,hi,black,1,1,2,7,76,Y,148,FG,Y,NA,Y,FB,1,0.039,0.066,36,NA
CH_2022_72,CH,2022,hi,black,1,1,2,8,79,Y,160,FG,Y,NA,Y,FB,1,0.068,0.11,71,NA
CH_2022_82,CH,2022,hi,black,1,1,2,9,88,Y,129,FG,Y,NA,Y,FB,5,0.143,0.27,136,NA
CH_2022_3,CH,2022,hi,black,1,1,3,1,18,Y,148,FG,Y,NA,Y,FB,4,0.05,0.013,6,NA
CH_2022_23,CH,2022,hi,black,1,1,3,3,55,Y,148,FG,Y,NA,Y,FB,2,0.059,0.041,27,NA
CH_2022_33,CH,2022,hi,black,1,1,3,4,7,Y,148,FG,Y,NA,Y,FB,1,0.03,0.008,9,NA
CH_2022_43,CH,2022,hi,black,1,1,3,5,101,Y,146,FX,Y,NA,Y,FB,1,0.018,0.011,11,NA
CH_2022_53,CH,2022,hi,black,1,1,3,6,9,Y,148,FG,Y,NA,Y,FG,1,0.032,0.06,31,NA
CH_2022_63,CH,2022,hi,black,1,1,3,7,14,Y,148,FG,Y,NA,Y,FG_FP,2,0.063,0.121,64,NA
CH_2022_73,CH,2022,hi,black,1,1,3,8,65,Y,148,FG,Y,NA,Y,FG,2,0.016,0.048,34,NA
CH_2022_4,CH,2022,hi,black,1,1,4,1,91,Y,148,FG,Y,NA,Y,FP_FB,4,0.146,0.164,94,NA
CH_2022_94,CH,2022,hi,black,1,1,4,10,61,Y,129,FG,Y,NA,Y,FG_FB,2,0.077,0.081,75,NA
CH_2022_24,CH,2022,hi,black,1,1,4,3,8,Y,148,FG,Y,NA,Y,FB,1,0.04,0.1,45,NA
CH_2022_54,CH,2022,hi,black,1,1,4,6,84,Y,148,FG,Y,NA,Y,FG_FP,4,0.08,0.2,105,NA
CH_2022_64,CH,2022,hi,black,1,1,4,7,11,Y,148,FG,Y,NA,Y,FB,1,0.052,0.085,41,NA
CH_2022_74,CH,2022,hi,black,1,1,4,8,52,Y,160,FG,Y,NA,Y,FG_FP,2,0.029,0.058,37,NA
CH_2022_25,CH,2022,hi,black,1,1,5,3,52,Y,148,FG,Y,NA,Y,FB,1,0.021,0.022,14,NA
CH_2022_55,CH,2022,hi,black,1,1,5,6,63,Y,160,FG,Y,NA,Y,FB,1,0.012,0.027,22,NA
CH_2022_75,CH,2022,hi,black,1,1,5,8,58,Y,160,FG,Y,NA,Y,FP,1,0.041,0.046,29,NA
CH_2022_6,CH,2022,hi,black,1,1,6,1,59,Y,160,FG,Y,NA,Y,FB,1,0.001,0.006,5,NA
CH_2022_96,CH,2022,hi,black,1,1,6,10,66,Y,148,FG,Y,NA,Y,FB,2,0.1,0.11,53,NA
CH_2022_16,CH,2022,hi,black,1,1,6,2,93,Y,148,FG,Y,NA,Y,FB,1,0.009,0.012,8,NA
CH_2022_36,CH,2022,hi,black,1,1,6,4,64,Y,129,FG,Y,NA,Y,FG,1,0.008,0.023,18,NA
CH_2022_46,CH,2022,hi,black,1,1,6,5,89,Y,148,FG,Y,NA,Y,FP_FB,2,0.048,0.12,49,NA
CH_2022_56,CH,2022,hi,black,1,1,6,6,17,Y,148,FG,Y,NA,Y,FB,2,0.06,0.1,54,NA
CH_2022_66,CH,2022,hi,black,1,1,6,7,92,Y,148,FG,Y,NA,Y,FB,1,0.024,0.05,26,NA
CH_2022_76,CH,2022,hi,black,1,1,6,8,45,Y,148,FG,Y,NA,Y,FB_FP,4,0.09,0.14,69,NA
CH_2022_86,CH,2022,hi,black,1,1,6,9,68,Y,148,FG,Y,NA,Y,FB,1,0.034,0.05,30,NA
CH_2022_7,CH,2022,hi,black,1,1,7,1,76,Y,148,FG,Y,NA,Y,FB,1,0.05,0.09,45,NA
CH_2022_97,CH,2022,hi,black,1,1,7,10,96,Y,148,FG,Y,NA,Y,FP,4,0.09,0.08,49,NA
CH_2022_17,CH,2022,hi,black,1,1,7,2,46,Y,148,FG,Y,NA,Y,FP,1,0.05,0.07,38,NA
CH_2022_37,CH,2022,hi,black,1,1,7,4,77,Y,148,FG,Y,NA,Y,FP,1,0.037,0.06,29,NA
CH_2022_47,CH,2022,hi,black,1,1,7,5,81,Y,160,FG,Y,NA,Y,FG_FP,3,0.13,0.12,46,NA
CH_2022_57,CH,2022,hi,black,1,1,7,6,87,Y,148,FG,Y,NA,Y,FB,1,0.014,0.02,13,NA
CH_2022_67,CH,2022,hi,black,1,1,7,7,38,Y,148,FG,Y,NA,Y,FB,1,0.022,0.022,14,NA
CH_2022_77,CH,2022,hi,black,1,1,7,8,43,Y,148,FG,Y,NA,Y,FG,2,0.037,0.048,11,NA
CH_2022_87,CH,2022,hi,black,1,1,7,9,75,Y,148,FG,Y,NA,Y,FP,1,0.025,0.049,25,NA
CH_2022_8,CH,2022,hi,black,1,1,8,1,56,Y,148,FG,Y,NA,Y,FB,3,0.09,0.12,57,NA
CH_2022_18,CH,2022,hi,black,1,1,8,2,32,Y,148,FG,Y,NA,Y,FB,2,0.033,0.05,27,NA
CH_2022_38,CH,2022,hi,black,1,1,8,4,19,Y,148,FG,Y,NA,Y,FP,3,0.11,0.12,51,NA
CH_2022_58,CH,2022,hi,black,1,1,8,6,95,Y,148,FG,Y,NA,Y,FP,1,0.007,0.013,7,NA
CH_2022_19,CH,2022,hi,black,1,1,9,2,47,Y,148,FG,Y,NA,Y,FG_FB,5,0.2,0.21,95,NA
CH_2022_29,CH,2022,hi,black,1,1,9,3,60,Y,160,FG,Y,NA,Y,FB,2,0.13,0.14,78,NA
CH_2022_49,CH,2022,hi,black,1,1,9,5,74,Y,148,FG,Y,NA,Y,FB,3,0.1,0.14,70,NA
CH_2022_79,CH,2022,hi,black,1,1,9,8,104,Y,160,FG,Y,NA,Y,FB,1,0.002,0.001,1,NA
CH_2022_291,CH,2022,hi,white,1,3,1,10,64,Y,146,FX,Y,NA,Y,FB,1,0.02,0.01,14,NA
CH_2022_211,CH,2022,hi,white,1,3,1,2,37,Y,148,FG,Y,NA,Y,FG,2,0.07,0.1,74,NA
CH_2022_221,CH,2022,hi,white,1,3,1,3,87,Y,160,FG,Y,NA,Y,FG,1,0.016,0.027,16,NA
CH_2022_241,CH,2022,hi,white,1,3,1,5,43,Y,148,FG,Y,NA,Y,FG_FB,2,0.07,0.14,89,NA
CH_2022_271,CH,2022,hi,white,1,3,1,8,32,Y,148,FG,Y,NA,Y,FG,1,0.038,0.033,38,NA
CH_2022_281,CH,2022,hi,white,1,3,1,9,100,Y,160,FG,Y,NA,Y,FG,1,0.12,0.06,83,NA
CH_2022_210,CH,2022,hi,white,1,3,10,1,102,Y,160,FG,Y,NA,Y,FB,3,0.23,0.18,93,NA
CH_2022_230,CH,2022,hi,white,1,3,10,3,55,Y,148,FG,Y,NA,Y,FB,1,0.048,0.05,34,NA
CH_2022_240,CH,2022,hi,white,1,3,10,4,53,Y,160,FG,Y,NA,Y,FG,1,0.028,0.023,16,NA
CH_2022_250,CH,2022,hi,white,1,3,10,5,39,Y,148,FG,Y,NA,Y,FB,1,0.065,0.05,35,NA
CH_2022_260,CH,2022,hi,white,1,3,10,6,5,Y,160,FG,Y,NA,Y,FG_FB,3,0.24,0.13,135,NA
CH_2022_290,CH,2022,hi,white,1,3,10,9,17,Y,160,FG,Y,resurrection,Y,FB,1,0.12,0.09,62,NA
CH_2022_202,CH,2022,hi,white,1,3,2,1,30,Y,172,FG,Y,NA,Y,FG,1,0.014,0.011,10,NA
CH_2022_292,CH,2022,hi,white,1,3,2,10,61,Y,160,FG,Y,NA,Y,FG,2,0.086,0.129,76,NA
CH_2022_212,CH,2022,hi,white,1,3,2,2,102,Y,160,FG,Y,NA,Y,FB,3,0.092,0.061,35,NA
CH_2022_222,CH,2022,hi,white,1,3,2,3,103,Y,160,FG,Y,NA,Y,FB,2,0.08,0.09,47,NA
CH_2022_232,CH,2022,hi,white,1,3,2,4,74,Y,160,FG,Y,NA,Y,FG,2,0.05,0.046,38,NA
CH_2022_252,CH,2022,hi,white,1,3,2,6,79,Y,160,FG,Y,NA,Y,FG,1,0.03,0.027,24,NA
CH_2022_262,CH,2022,hi,white,1,3,2,7,81,Y,160,FG,Y,NA,Y,FG,1,0.06,0.043,46,NA
CH_2022_272,CH,2022,hi,white,1,3,2,8,62,Y,148,FG,Y,NA,Y,FB,1,0.013,0.023,9,NA
CH_2022_282,CH,2022,hi,white,1,3,2,9,60,Y,160,FG,Y,NA,Y,FG,2,0.126,0.06,39,NA
CH_2022_293,CH,2022,hi,white,1,3,3,10,9,Y,160,FG,Y,NA,Y,FG,2,0.082,0.074,37,NA
CH_2022_213,CH,2022,hi,white,1,3,3,2,105,Y,160,FG,Y,NA,Y,FB,1,0.069,0.092,57,NA
CH_2022_223,CH,2022,hi,white,1,3,3,3,76,Y,160,FG,Y,NA,Y,FB,1,0.045,0.079,44,NA
CH_2022_233,CH,2022,hi,white,1,3,3,4,63,Y,148,FG,Y,NA,Y,FB,1,0.032,0.043,26,NA
