site,date,block,plot,gravel,x,y,live,v,harvested,herbivory,frost_heave,notes
WI,5/18/23,4,3,Black,1,1,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,2,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,3,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,4,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,5,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,6,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,7,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,1,8,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,9,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,1,10,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,2,1,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,2,2,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,2,3,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,2,4,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,2,5,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,2,6,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,2,7,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,2,8,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,2,9,Y,FG,N,N,N,Head smut
WI,5/18/23,4,3,Black,2,10,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,3,1,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,3,2,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,3,3,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,3,4,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,3,5,Y,FG,N,N,N,Head smut
WI,5/18/23,4,3,Black,3,6,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,3,7,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,3,8,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,3,9,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,3,10,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,4,1,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,4,2,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,4,3,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,4,4,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,4,5,Y,FG,N,N,N,Head smut
WI,5/18/23,4,3,Black,4,6,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,4,7,Y,Bootstage,N,N,N,NA
WI,5/18/23,4,3,Black,4,8,Y,FG,N,N,N,NA
