Observer,Recorder,Date,Site,Block,Subplot,Density,Gravel Color,X coordinate,Y coordinate,Plot ID,Cheatgrass ID,Seedling present?,Plant Harvested?,Max Leaf Length (mm),Phenology,Frost Heaved?,Herbivory present?,Is herbivory affecting measurement?,Total number of leaves on plant (including imature leaves),Number of leaves herbivorized,Average length of herbivorized leaves (mm),Herbivory Intensity Class,Notes,Source,bulkYear,combCond,combCondPlot,genotypeID,Data Entry,Date
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,1,2.3w,Y1_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,3,Low,White,1,1,2.3w,Y1_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,2,2.3w,Y2_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,3,Low,White,1,2,2.3w,Y2_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,3,2.3w,Y3_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,3,Low,White,1,3,2.3w,Y3_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,4,2.3w,Y4_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,3,Low,White,1,4,2.3w,Y4_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,5,2.3w,Y5_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,3,Low,White,1,5,2.3w,Y5_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,6,2.3w,Y6_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,7,2.3w,Y7_X1,No,,,,,,,,,,,,,,,,,,
N/A,N/A,5/24/22,Baltzor,2,2,High,White,1,8,2.3w,Y8_X1,Yes,No,,Bootstage,,,,,,,,,,,,,,,
