Site,Date,Last Harvest Date,# of Harvests,Recorder,Block,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,tillers,biomass_whole,seed_count_whole,seed_mass_whole,inflor_mass,biomass_sub,seed_count_sub,seed_mass_sub,drop_seed,notes,
SheepStation,7/5/2022,,,,,1,high,black,1,1,25,Re,Symstad6,41.83,-103.71,Y,FG_FP,26.5,265,4,0.46,208,0.54,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,1,2,96,Re,Chynoweth02,40.29092,-109.684,Y,FP,25,250,1,0.17,73,0.22,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,1,3,34,Re,Chambers06,41.54,-117.78,Y,FP,10.8,108,1,0.008,1,0.002,,,,,Y,,
SheepStation,7/5/2022,,,,,1,high,black,1,4,57,Re,JackieOtt6,43.84,-101.94,Y,FP,26.6,266,1,0.15,52,0.16,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,1,5,72,Re,Pyke3,44.60456,-120.192,Y,FP,15.2,152,1,0.02,6,0.015,,,,,Y,,
SheepStation,7/5/2022,,,,,1,high,black,1,6,82,Re,Pyle019,44.57,-119.65,Y,FP,18.7,187,1,0.03,8,0.02,,,,,Y,,
SheepStation,6/23/2022,,,,,1,high,black,1,7,55,Re,JackieOtt2,43.71,-102.32,Y,FG,11.6,116,1,0.02,5,0.009,,,,,N,,
SheepStation,,,,,,1,high,black,1,8,69,Re,Porensky17,43.34,-105.13,N,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,
SheepStation,7/5/2022,,,,,1,high,black,1,9,32,Re,Chambers04,41.31,-117.63,Y,FP,5.8,58,1,0.004,1,0.002,,,,,Y,,
SheepStation,7/5/2022,,,,,1,high,black,1,10,75,Re,Pyle001,42.35,-118.65,Y,FP,18.6,186,1,0.05,29,0.06,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,2,1,77,Re,Pyle010,43.19,-120,Y,FG_FP,25.4,254,2,0.17,60,0.16,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,2,2,54,Re,JackieOtt1,43.65,-102.97,Y,FG_FP,26.9,269,3,0.28,128,0.32,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,2,3,71,Re,Porensky30,40.63,-105.27,Y,BS_FG_FP,35.3,353,3,0.33,111,0.35,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,2,4,66,Re,Maron1,46.68,-114.03,Y,FG_FP,25.7,257,4,0.28,156,0.35,,,,,N,SECONDARY FLORETS,
SheepStation,7/5/2022,,,,,1,high,black,2,5,95,Re,Wilcox02,41.31,-105.66,Y,FP,15.4,154,1,0.04,13,0.03,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,2,6,46,Re,Fleishman_05,39.12,-117.27,Y,FP,12.5,125,1,0.01,0,0,,,,,Y,,
