Site,Date,Last Harvest Date,# of Harvests,Recorder,Block,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,tillers,biomass_whole,seed_count_whole,seed_mass_whole,inflor_mass,biomass_sub,seed_count_sub,seed_mass_sub,drop_seed,notes,,
BoiseHigh,,,,AB,,1.3,high,white,6,4,18,Re,Adler18,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,AB,,1.3,high,white,7,6,2,Re,AAFC05,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MW,,3.4,high,white,8,10,63,Re,Lee3,,,,,,,,,,,,,,,,"2 samples marked ""(8,10)?""",,
BoiseHigh,,,,AV,,4.1,high,black,1,1,28,Re,Bradford01,,,,,,,,,,,,,,,,"2 SAMPLES MARKED (1,1)?",,
BoiseHigh,,,,AB,,4.1,high,black,5,2,25,Re,Symstad6,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,AB,,4.1,high,black,10,10,18,Re,Adler18,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,,,5.2,high,black,7,6,88,Lo,Schupp05,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MW,,5.3,high,white,3,6,42,Lo,Downs01,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MW,,7.2,high,black,7,4,37,Re,Chambers09,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,KH,,7.2,high,black,9,7,75,Re,Pyle001,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,RT,,7.4,high,white,6,9,39,Re,Copeland05,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,AV,,8.4,high,black,10,1,103,Re,Davies03,,,,,,,,,,,,,,,,EMPTY BAG/NO SAMPLE,,
BoiseHigh,,,,,,9.2,high,black,6,2,68,Re,Porensky1,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,AB,,9.2,high,black,7,9,96,Re,Chynoweth02,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,AB,,9.2,high,black,8,9,100,Re,Chynoweth08,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MB,,1.4,high,black,3,1,96,Re,Chynoweth02,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MB,,1.4,high,black,9,6,1,Re,AAFC04,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MB,,1.4,high,black,10,1,98,Re,Chynoweth05,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MB,,2.1,high,black,2,4,72,Re,Pyke3,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MB,,5.3,high,white,2,6,8,Re,Blumenthal01,,,,,,,,,,,,,,,,,,
BoiseHigh,,,,MB,,5.3,high,white,8,2,43,Re,Downs02,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,1.1,high,white,3,9,84,Re,Reed03,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.2,high,black,1,10,87,Lo,Schupp04,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.2,high,black,2,5,61,Re,Lee1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.2,high,black,6,1,74,Re,Pyke21,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.2,high,black,7,9,40,Re,Copeland09,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.2,high,black,7,10,72,Re,Pyke3,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.2,high,black,9,2,36,Re,Chambers08,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.3,low,black,6,5,27,Re,Board1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,3.3,low,black,7,5,87,Re,Schupp04,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.1,high,white,5,9,34,Re,Chambers06,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.1,high,white,9,8,59,Re,Lavin01,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.1,high,white,10,7,91,Re,Symstad3,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.2,low,white,3,5,32,Re,Chambers04,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.3,high,black,6,1,54,Re,JackieOtt1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.3,high,black,7,4,20,Re,Baughman3,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.3,high,black,10,3,53,Re,Hufft2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.3,high,black,10,8,32,Re,Chambers04,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.4,low,black,16,2,69,Re,Porensky17,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.4,low,black,17,3,37,Re,Chambers09,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,4.4,low,black,20,1,42,Lo,Downs01,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.1,high,white,1,4,27,Re,Board1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,TK,,5.1,high,white,4,3,58,Re,JackieOtt7,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.1,high,white,10,9,98,Lo,Chynoweth05,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.2,low,black,19,4,17,Re,Adler17,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,2,2,96,Re,Chynoweth02,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,2,3,93,Lo,Urza2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,3,2,56,Re,JackieOtt5,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,3,5,77,Re,Pyle010,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,4,2,54,Re,JackieOtt1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,5,3,35,Re,Chambers07,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,6,3,61,Re,Lee1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.3,high,black,9,3,56,Re,JackieOtt5,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,5.4,low,white,4,3,72,Re,Pyke3,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,6.2,high,white,2,9,20,Re,Baughman3,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,6.2,high,white,6,4,35,Re,Chambers07,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,6.3,low,white,5,4,95,Lo,Wilcox02,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,6.3,low,white,7,1,90,Re,Symstad2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,6.3,low,white,7,4,82,Re,Pyle019,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,6.3,low,white,13,5,79,Re,Pyle015,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,6.4,low,black,17,2,37,Re,Chambers09,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.1,high,black,9,3,12,Re,Schupp02,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.2,low,black,6,3,56,Re,JackieOtt5,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.2,low,black,16,2,6,Re,AAFC09,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.3,high,white,2,2,83,Re,Reed01,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.3,high,white,3,1,13,Re,Schupp01,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.3,high,white,3,9,52,Re,Hufft1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.3,high,white,3,10,11,Re,Adler09,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.3,high,white,9,1,73,Re,Pyke8,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,7.4,low,white,5,1,89,Re,Symstad1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,TK,,7.4,low,white,14,4,53,Re,Hufft2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.1,high,white,4,8,91,Re,Symstad3,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.1,high,white,6,7,90,Re,Symstad2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.2,high,black,2,2,6,Re,AAFC09,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.2,high,black,3,3,33,Re,Chambers05,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.2,high,black,3,6,17,Re,Adler17,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.2,high,black,3,7,44,Re,Downs03,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.2,high,black,3,9,67,Lo,Maron2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.3,low,black,5,4,65,Re,Leger 1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.3,low,black,9,2,38,Lo,Copeland01,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.3,low,black,12,2,64,Re,Lee4,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.3,low,black,18,3,9,Re,Adler05,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,8.4,low,white,8,5,49,Re,Getts3,,,,,,,,,,,,,,,,,,
BoiseLow,,,,CS,,9.2,high,black,5,2,84,Re,Reed03,,,,,,,,,,,,,,,,,,
BoiseLow,,,,LB,,9.3,low,black,12,5,89,Re,Symstad1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,9.3,low,black,20,5,101,Re,Shriver01,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,9.4,high,white,3,1,51,Re,Holdrege1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,9.4,high,white,3,5,2,Re,AAFC05,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,9.4,high,white,3,9,97,Lo,Chynoweth03,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,9.4,high,white,4,3,52,Re,Hufft1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,9.4,high,white,5,6,90,Re,Symstad2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,CS,,9.4,high,white,10,1,93,Lo,Urza2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,10.2,low,black,1,5,45,Re,Fleishman_01,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,10.2,low,black,6,3,100,Re,Chynoweth08,,,,,,,,,,,,,,,,,,
BoiseLow,44714,,,AB,,10.2,low,black,11,4,43,Re,Downs02,,,,,,,,,,,,,,,,,,
BoiseLow,,,,,,10.2,low,black,12,3,67,Lo,Maron2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,MB,,10.2,low,black,13,3,39,Re,Copeland05,,,,,,,,,,,,,,,,,,
BoiseLow,,,,CS,,10.3,high,black,9,4,1,Re,AAFC04,,,,,,,,,,,,,,,,,,
BoiseLow,,,,CS,,10.4,high,white,2,1,68,Re,Porensky1,,,,,,,,,,,,,,,,,,
BoiseLow,,,,CS,,10.4,high,white,2,4,62,Re,Lee2,,,,,,,,,,,,,,,,,,
BoiseLow,,,,AB,,10.4,high,white,6,6,30,Re,Chambers02,,,,,,,,,,,,,,,,,,
BoiseLow,,,,AB,,10.4,high,white,7,7,58,Re,JackieOtt7,,,,,,,,,,,,,,,,,,
