Latitude,Longitude,BRTEcover,Site.code,Alt,AI,PARFall,PARSpr,PARSum,PARWin,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,tmean_7,tmean_8,tmean_9,tmean_10,tmean_11,tmean_12,vpd_1,vpd_2,vpd_3,vpd_4,vpd_5,vpd_6,vpd_7,vpd_8,vpd_9,vpd_10,vpd_11,vpd_12,Ann.Mean.Tmp,Mean.Diurn.Rng,Isotherm,Tmp.Seas,Max.Tmp.Wrm.M,Min.Tmp.Cld.M,Tmp.Ann.Rng,Mean.Tmp.Wet.Q,Mean.Tmp.Dry.Q,Mean.Tmp.Wrm.Q,Mean.Tmp.Cld.Q,Ann.Prc,Prc.Wet.M,Prc.Dry.M,Prc.Seas,Prc.Wet.Q,Prc.Dry.Q,Prc.Wrm.Q,Prc.Cld.Q,pet_annual,pet_1,pet_2,pet_3,pet_4,pet_5,pet_6,pet_7,pet_8,pet_9,pet_10,pet_11,pet_12,WTD,AlTox,IA.cv.prec_1,IA.cv.prec_2,IA.cv.prec_3,IA.cv.prec_4,IA.cv.prec_5,IA.cv.prec_6,IA.cv.prec_7,IA.cv.prec_8,IA.cv.prec_9,IA.cv.prec_10,IA.cv.prec_11,IA.cv.prec_12,soil_m,topsoil_pH,T_SAND,T_CLAY,T_USDA_TEX_CLASS,T_OC,T_CACO3,T_ECE
49.56,-119.65,NA,AAFC01,480,3286,48.34166718,85.71805573,111.351387,27.24583244,31,21,17,17,23,27,19,19,17,17,25,33,25,57,98,144,197,232,276,274,219,134,54,19,-42,-31,5,37,77,111,140,140,97,49,-1,-42,-9,13,51,91,137,172,208,207,158,91,27,-11,0.1083591878,0.1427825689,0.2603205144,0.437681675,0.5915990472,0.7976683378,0.9926280975,0.9348905683,0.5705232024,0.3231481612,0.168936789,0.1080135554,95,93,293,7766,276,-42,318,-10,78,207,-10,266,33,17,25,95,51,57,95,925,9,18,46,85,129,156,177,148,89,44,16,8,38.65070343,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,9.600000381,7.4,34,21,9,1.28,5.4,1.6
49.56,-119.65,NA,AAFC01,480,3286,48.34166718,85.71805573,111.351387,27.24583244,31,21,17,17,23,27,19,19,17,17,25,33,25,57,98,144,197,232,276,274,219,134,54,19,-42,-31,5,37,77,111,140,140,97,49,-1,-42,-9,13,51,91,137,172,208,207,158,91,27,-11,0.1083591878,0.1427825689,0.2603205144,0.437681675,0.5915990472,0.7976683378,0.9926280975,0.9348905683,0.5705232024,0.3231481612,0.168936789,0.1080135554,95,93,293,7766,276,-42,318,-10,78,207,-10,266,33,17,25,95,51,57,95,925,9,18,46,85,129,156,177,148,89,44,16,8,38.65070343,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,9.600000381,7.4,34,21,9,1.28,5.4,1.6
49.94,-119.51,NA,AAFC02,511,3814,48.34166718,85.71805573,111.351387,27.24583244,50,35,27,24,30,34,23,24,27,34,47,57,16,49,92,140,194,229,272,269,213,127,47,10,-52,-40,-4,31,74,110,138,137,93,43,-8,-50,-18,5,44,86,134,169,205,203,153,85,20,-20,0.09927749634,0.1297104806,0.2372352332,0.3974413276,0.5367008448,0.7069922686,0.8728014231,0.8212943673,0.501280725,0.2908023298,0.1463353187,0.09591983259,89,93,288,7971,272,-52,324,-7,204,204,-19,412,57,23,31,161,71,71,157,907,9,17,45,83,127,154,175,146,86,42,15,8,20.6986351,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,9.600000381,7.4,34,21,9,1.28,5.4,1.6
49.94,-119.51,NA,AAFC02,511,3814,48.34166718,85.71805573,111.351387,27.24583244,50,35,27,24,30,34,23,24,27,34,47,57,16,49,92,140,194,229,272,269,213,127,47,10,-52,-40,-4,31,74,110,138,137,93,43,-8,-50,-18,5,44,86,134,169,205,203,153,85,20,-20,0.09927749634,0.1297104806,0.2372352332,0.3974413276,0.5367008448,0.7069922686,0.8728014231,0.8212943673,0.501280725,0.2908023298,0.1463353187,0.09591983259,89,93,288,7971,272,-52,324,-7,204,204,-19,412,57,23,31,161,71,71,157,907,9,17,45,83,127,154,175,146,86,42,15,8,20.6986351,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,9.600000381,7.4,34,21,9,1.28,5.4,1.6
49.99,-119.57,NA,AAFC03,755,4137,48.34166718,85.71805573,111.351387,27.24583244,38,26,21,19,27,32,23,22,24,24,36,43,2,35,77,124,177,213,254,252,197,112,33,-3,-66,-54,-19,15,58,93,122,120,77,29,-22,-64,-32,-10,29,70,117,153,188,186,137,70,6,-34,0.09927749634,0.1297104806,0.2372352332,0.3974413276,0.5367008448,0.7069922686,0.8728014231,0.8212943673,0.501280725,0.2908023298,0.1463353187,0.09591983259,73,93,291,7856,254,-66,320,-20,56,187,-32,335,43,19,26,122,59,67,119,846,8,15,40,76,119,145,165,138,81,39,13,7,0,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,9.600000381,7.4,34,21,9,1.28,5.4,1.6
49.99,-119.57,NA,AAFC03,755,4137,48.34166718,85.71805573,111.351387,27.24583244,38,26,21,19,27,32,23,22,24,24,36,43,2,35,77,124,177,213,254,252,197,112,33,-3,-66,-54,-19,15,58,93,122,120,77,29,-22,-64,-32,-10,29,70,117,153,188,186,137,70,6,-34,0.09927749634,0.1297104806,0.2372352332,0.3974413276,0.5367008448,0.7069922686,0.8728014231,0.8212943673,0.501280725,0.2908023298,0.1463353187,0.09591983259,73,93,291,7856,254,-66,320,-20,56,187,-32,335,43,19,26,122,59,67,119,846,8,15,40,76,119,145,165,138,81,39,13,7,0,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,9.600000381,7.4,34,21,9,1.28,5.4,1.6
50.08,-120.65,NA,AAFC04,1137,4840,45.96666718,83.9319458,107.7138901,25.3722229,35,23,19,16,28,35,27,27,26,23,34,37,-14,17,54,97,148,183,223,221,171,90,15,-19,-81,-71,-38,-6,31,66,93,92,54,8,-39,-78,-48,-27,8,46,89,124,158,157,112,49,-12,-49,0.08825424314,0.1217295229,0.226111263,0.3612357676,0.4817178249,0.6308214068,0.750777483,0.7074818611,0.4372183681,0.2609323561,0.1261650473,0.08320748806,51,91,299,7347,223,-81,304,-36,33,157,-48,330,37,16,23,108,51,81,107,750,7,14,35,67,104,127,146,122,74,36,12,6,28.72271347,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,13,6.6,25,21,7,1.6,1.6,0.1
50.08,-120.65,NA,AAFC04,1137,4840,45.96666718,83.9319458,107.7138901,25.3722229,35,23,19,16,28,35,27,27,26,23,34,37,-14,17,54,97,148,183,223,221,171,90,15,-19,-81,-71,-38,-6,31,66,93,92,54,8,-39,-78,-48,-27,8,46,89,124,158,157,112,49,-12,-49,0.08825424314,0.1217295229,0.226111263,0.3612357676,0.4817178249,0.6308214068,0.750777483,0.7074818611,0.4372183681,0.2609323561,0.1261650473,0.08320748806,51,91,299,7347,223,-81,304,-36,33,157,-48,330,37,16,23,108,51,81,107,750,7,14,35,67,104,127,146,122,74,36,12,6,28.72271347,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,13,6.6,25,21,7,1.6,1.6,0.1
50.09,-120.45,NA,AAFC05,1179,4425,45.96666718,83.9319458,107.7138901,25.3722229,37,25,22,19,35,45,35,33,31,25,36,39,-17,14,52,96,147,182,222,220,169,88,13,-22,-84,-75,-41,-9,29,64,92,91,51,6,-41,-81,-50,-30,6,44,88,123,157,155,110,47,-14,-51,0.089692384,0.1199228242,0.2208708674,0.3536135852,0.4719789028,0.6145239472,0.7365525961,0.6959450841,0.4264529943,0.257188499,0.1216678768,0.08139453083,49,91,299,7407,222,-84,306,111,31,156,-51,382,45,19,23,125,60,101,113,757,7,14,36,67,105,128,148,124,74,36,12,6,48.30579376,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,12.69999981,6.6,25,21,7,1.6,1.6,0.1
50.09,-120.45,NA,AAFC05,1179,4425,45.96666718,83.9319458,107.7138901,25.3722229,37,25,22,19,35,45,35,33,31,25,36,39,-17,14,52,96,147,182,222,220,169,88,13,-22,-84,-75,-41,-9,29,64,92,91,51,6,-41,-81,-50,-30,6,44,88,123,157,155,110,47,-14,-51,0.089692384,0.1199228242,0.2208708674,0.3536135852,0.4719789028,0.6145239472,0.7365525961,0.6959450841,0.4264529943,0.257188499,0.1216678768,0.08139453083,49,91,299,7407,222,-84,306,111,31,156,-51,382,45,19,23,125,60,101,113,757,7,14,36,67,105,128,148,124,74,36,12,6,48.30579376,0,0.4425571506,0.4448862467,0.3506895393,0.3430619952,0.3626803374,0.3997826935,0.6131396671,0.842966031,0.5851771736,0.458352508,0.3840526624,0.30154746,12.69999981,6.6,25,21,7,1.6,1.6,0.1
