Site,Date,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,tillers,biomass_whole,seed_count_whole,seed_mass_whole,inflor_mass,biomass_sub,seed_count_sub,seed_mass_sub,drop_seed,notes,
SheepStation,7/5/2022,1,high,black,1,1,25,Re,Symstad6,41.83,-103.71,Y,FG_FP,26.5,265,4,0.46,208,0.54,,,,,N,,
SheepStation,7/5/2022,1,high,black,1,2,96,Re,Chynoweth02,40.29092,-109.68361,Y,FP,25,250,1,0.17,73,0.22,,,,,N,,
SheepStation,7/5/2022,1,high,black,1,3,34,Re,Chambers06,41.54,-117.78,Y,FP,10.8,108,1,0.008,1,0.002,,,,,Y,,
SheepStation,7/5/2022,1,high,black,1,4,57,Re,JackieOtt6,43.84,-101.94,Y,FP,26.6,266,1,0.15,52,0.16,,,,,N,,
SheepStation,7/5/2022,1,high,black,1,5,72,Re,Pyke3,44.60456358,-120.1924183,Y,FP,15.2,152,1,0.02,6,0.015,,,,,Y,,
SheepStation,7/5/2022,1,high,black,1,6,82,Re,Pyle019,44.57,-119.65,Y,FP,18.7,187,1,0.03,8,0.02,,,,,Y,,
SheepStation,6/23/2022,1,high,black,1,7,55,Re,JackieOtt2,43.71,-102.32,Y,FG,11.6,116,1,0.02,5,0.009,,,,,N,,
SheepStation,,1,high,black,1,8,69,Re,Porensky17,43.34,-105.13,N,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,
SheepStation,7/5/2022,1,high,black,1,9,32,Re,Chambers04,41.31,-117.63,Y,FP,5.8,58,1,0.004,1,0.002,,,,,Y,,
SheepStation,7/5/2022,1,high,black,1,10,75,Re,Pyle001,42.35,-118.65,Y,FP,18.6,186,1,0.05,29,0.06,,,,,N,,
SheepStation,7/5/2022,1,high,black,2,1,77,Re,Pyle010,43.19,-120,Y,FG_FP,25.4,254,2,0.17,60,0.16,,,,,N,,
SheepStation,7/5/2022,1,high,black,2,2,54,Re,JackieOtt1,43.65,-102.97,Y,FG_FP,26.9,269,3,0.28,128,0.32,,,,,N,,
SheepStation,7/5/2022,1,high,black,2,3,71,Re,Porensky30,40.63,-105.27,Y,BS_FG_FP,35.3,353,3,0.33,111,0.35,,,,,N,,
SheepStation,7/5/2022,1,high,black,2,4,66,Re,Maron1,46.68,-114.03,Y,FG_FP,25.7,257,4,0.28,156,0.35,,,,,N,SECONDARY FLORETS,
SheepStation,7/5/2022,1,high,black,2,5,95,Re,Wilcox02,41.31,-105.66,Y,FP,15.4,154,1,0.04,13,0.03,,,,,N,,
SheepStation,7/5/2022,1,high,black,2,6,46,Re,Fleishman_05,39.12,-117.27,Y,FP,12.5,125,1,0.01,0,0,,,,,Y,,
SheepStation,7/1/2022,1,high,black,2,7,29,Re,Chambers01,39.55,-119.58,Y,FG_FP,22,220,3,0.36,110,0.26,,,,,N,,
SheepStation,7/5/2022,1,high,black,2,8,14,Re,Adler13,41.44,-111.08,Y,FP,18.5,185,1,0.1,33,0.12,,,,,N,,
SheepStation,7/5/2022,1,high,black,2,9,1,Re,AAFC04,50.08,-120.65,Y,FG_FP,26.4,264,2,0.32,189,0.42,,,,,N,,
SheepStation,6/27/2022,1,high,black,2,10,101,Re,Shriver01,34.06,-116.22,Y,FG_FP,15.3,153,2,0.13,31,0.1,,,,,N,,
SheepStation,,1,high,black,3,1,73,Re,Pyke8,46.74830998,-119.361636,missing,missing,missing,missing,NA,NA,NA,NA,,,,,NA,,
SheepStation,,1,high,black,3,2,36,Re,Chambers08,42.24,-114.57,N,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,
SheepStation,7/5/2022,1,high,black,3,3,83,Re,Reed01,38.52,-109.47,Y,FP,15.3,153,2,0.09,38,0.11,,,,,N,,
SheepStation,7/5/2022,1,high,black,3,4,42,Lo,Downs01,46.38145,-119.430272,Y,FG_FP,17,170,3,0.17,51,0.14,,,,,N,COMBINE 2 ENVELOPES,
SheepStation,7/5/2022,1,high,black,3,5,74,Re,Pyke21,47.61803776,-119.6830115,Y,FP,18.6,186,2,0.14,30,0.1,,,,,N,,
SheepStation,7/5/2022,1,high,black,3,6,9,Re,Adler05,40.79,-111.87,Y,FG_FP,22.8,228,3,0.2,68,0.2,,,,,N,,
SheepStation,,1,high,black,3,7,1,Re,AAFC04,50.08,-120.65,N,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,
SheepStation,7/5/2022,1,high,black,3,8,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,FP,13,130,1,0.01,6,0.009,,,,,Y,,
SheepStation,7/1/2022,1,high,black,3,9,62,Re,Lee2,35.3984,-115.7845,Y,FP,18.9,189,4,0.48,116,0.42,,,,,N,,
SheepStation,,1,high,black,3,10,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,,,0,,,,,,,,,,,
SheepStation,7/5/2022,1,high,black,4,1,7,Re,AAFC10,49.71,-120.05,Y,FP,25,250,1,0.17,80,0.19,,,,,N,,
SheepStation,7/5/2022,1,high,black,4,2,19,Re,Barnett01,43.48,-110.74,Y,FP,6.2,62,1,0.007,1,0.003,,,,,N,,
SheepStation,7/5/2022,1,high,black,4,3,100,Re,Chynoweth08,40.640878,-109.48689,Y,FP,18.5,185,1,0.04,9,0.03,,,,,Y,,
SheepStation,7/1/2022,1,high,black,4,4,56,Re,JackieOtt5,43.78,-102.61,Y,FP,16.5,165,1,0.04,12,0.03,,,,,N,,
SheepStation,7/5/2022,1,high,black,4,5,92,Re,Symstad4,43.71,-102.58,Y,BS_FP,14.9,149,2,0.06,32,0.03,,,,,N,smut,
SheepStation,7/5/2022,1,high,black,4,6,57,Re,JackieOtt6,43.84,-101.94,Y,FP,20.6,206,1,0.07,27,0.06,,,,,N,,
SheepStation,7/5/2022,1,high,black,4,7,52,Re,Hufft1,38.6701,-108.3286,Y,FP,17.4,174,1,0.16,51,0.14,,,,,N,,
SheepStation,6/27/2022,1,high,black,4,8,33,Re,Chambers05,41.54,-117.75,Y,FP,24.5,245,3,0.34,134,0.33,,,,,N,,
SheepStation,7/5/2022,1,high,black,4,9,13,Re,Schupp01,39.85,-112.15,Y,UNK,13.6,136,1,0.02,0,0,,,,,NA,broken tiller,
SheepStation,7/5/2022,1,high,black,4,10,87,Lo,Schupp04,38.52,-113.55,Y,FP,15.1,151,1,0.04,4,0.01,,,,,Y,,
SheepStation,7/1/2022,1,high,black,5,1,18,Re,Adler18,40.86,-114.22,Y,FP,18.7,187,1,0.1,35,0.12,,,,,N,,
SheepStation,,1,high,black,5,2,105,Lo,Blumenthal10,40.92,-102.52,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,1,high,black,5,3,88,Re,Schupp05,39.11,-112.74,Y,FG_FP,25.1,251,2,0.21,77,0.21,,,,,N,,
SheepStation,,1,high,black,5,4,42,Re,Downs01,46.38145,-119.430272,N,NA,NA,NA,,,,,,,,,,,
SheepStation,6/27/2022,1,high,black,5,5,61,Re,Lee1,36.82340833,-116.0163889,Y,FG_FP,20.1,201,3,0.21,72,0.18,,,,,Y,broken tiller,
SheepStation,7/5/2022,1,high,black,5,6,98,Lo,Chynoweth05,40.480805,-109.438229,Y,FP,28.1,281,1,0.16,53,0.15,,,,,N,,
SheepStation,7/5/2022,1,high,black,5,7,26,Re,Chynoweth01,39.76604,-109.5635,Y,FP,24.9,249,1,0.12,41,0.12,,,,,N,,
SheepStation,,1,high,black,5,8,97,Re,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,1,high,black,5,9,11,Re,Adler09,43.31,-112.27,Y,FP,24.5,245,1,0.15,36,0.12,,,,,N,,
SheepStation,6/29/2022,1,high,black,5,10,31,Re,Uzra1,40.35,-119.34,Y,FG_FP,22.5,225,8,0.45,215,0.32,,,,,N,,
SheepStation,7/5/2022,1,high,black,6,1,62,Re,Lee2,35.3984,-115.7845,Y,FG_FP,21,210,5,0.51,164,0.43,,,,,N,COMBINE 2 ENVELOPES,
SheepStation,7/5/2022,1,high,black,6,2,103,Re,Davies03,42.68,-118.68,Y,FP,24.4,244,2,0.2,33,0.12,,,,,Y,broken tiller,
SheepStation,,1,high,black,6,3,79,Re,Pyle015,43.8,-119,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,1,high,black,6,4,84,Re,Reed03,38.75,-109.79,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,1,high,black,6,5,5,Re,AAFC08,49.57,-120.55,Y,FP,20.9,209,1,0.13,56,0.17,,,,,N,,
SheepStation,7/5/2022,1,high,black,6,6,2,Re,AAFC05,50.09,-120.45,Y,FP,24.6,246,1,0.08,30,0.06,,,,,N,,
SheepStation,,1,high,black,6,7,90,Re,Symstad2,43.87,-103.46,N,V2,NA,NA,,,,,,,,,,,
SheepStation,,1,high,black,6,8,81,Re,Pyle017,44.36,-118.93,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,1,high,black,6,9,12,Re,Schupp02,40.2,-112.46,Y,FP,25,250,1,0.21,57,0.18,,,,,N,,
SheepStation,7/5/2022,1,high,black,6,10,46,Re,Fleishman_05,39.12,-117.27,Y,FP,19.8,198,1,0.06,13,0.04,,,,,Y,,
SheepStation,7/5/2022,1,high,black,7,1,49,Re,Getts3,40.43,-120.67,Y,FP,9.9,99,1,0.02,0,0,,,,,Y,,
SheepStation,,1,high,black,7,2,53,Re,Hufft2,39.547444,-105.102111,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,1,high,black,7,3,62,Re,Lee2,35.3984,-115.7845,Y,FG_FP,28.8,288,3,0.49,115,0.38,,,,,N,,
SheepStation,7/5/2022,1,high,black,7,4,24,Re,Blumenthal08,40.64,-104.56,Y,FP,25.5,255,1,0.12,53,0.15,,,,,N,,
SheepStation,7/1/2022,1,high,black,7,5,29,Re,Chambers01,39.55,-119.58,Y,FP,24.5,245,3,0.46,127,0.34,,,,,N,,
SheepStation,7/5/2022,1,high,black,7,6,5,Re,AAFC08,49.57,-120.55,Y,FP,21.2,212,1,0.26,105,0.3,,,,,N,,
SheepStation,7/1/2022,1,high,black,7,7,39,Re,Copeland05,42.27,-118.71,Y,FP,22.7,227,2,0.12,41,0.1,,,,,N,,
SheepStation,,1,high,black,7,8,38,Lo,Copeland01,43.7,-117.33,Y,,,0,,,,,,,,,,,
SheepStation,7/5/2022,1,high,black,7,9,91,Re,Symstad3,43.62,-103.47,Y,FP,13.9,139,1,0.05,18,0.05,,,,,N,,
SheepStation,,1,high,black,7,10,12,Re,Schupp02,40.2,-112.46,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,1,high,black,8,1,58,Re,JackieOtt7,43.82,-101.94,Y,FG_FP,31.4,314,5,0.68,287,0.79,,,,,N,,
SheepStation,7/1/2022,1,high,black,8,2,65,Re,Leger1,39.49,-119.84,Y,FP,19.8,198,1,0.11,34,0.11,,,,,N,,
SheepStation,,1,high,black,8,3,47,Re,Fleishman_07,39.17,-117.44,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,1,high,black,8,4,30,Re,Chambers02,39.95,-118.76,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,1,high,black,8,5,51,Re,Holdrege1,41.61,-111.57,Y,FP,28.7,287,3,0.54,174,0.53,,,,,N,TILLER BROKE,
SheepStation,7/5/2022,1,high,black,8,6,44,Re,Downs03,45.9663,-120.3671,Y,FG_FP,26.1,261,3,0.39,122,0.4,,,,,N,,
SheepStation,,1,high,black,8,7,68,Re,Porensky1,43.24,-105.18,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,1,high,black,8,8,45,Re,Fleishman_01,38.47,-119.49,Y,FP,23.5,235,1,0.08,25,0.07,,,,,N,,
SheepStation,7/5/2022,1,high,black,8,9,17,Re,Adler17,41.44,-110.11,Y,FP,22.3,223,1,0.12,39,0.13,,,,,N,,
SheepStation,7/5/2022,1,high,black,8,10,35,Re,Chambers07,43.94,-116.19,Y,BS_FG_FP,27.3,273,7,0.66,320,0.69,,,,,N,,
