,CommG,Density,Albedo,plot,Site.code,bulkYear,combCond,combCondPlot,x,y,genotypeID
1,LowBoise,lo,black,9,Adler16,2020,lo black LowBoise,lo black LowBoise 9,1,5,g16
2,LowBoise,lo,black,8,Adler16,2020,lo black LowBoise,lo black LowBoise 8,18,1,g16
3,LowBoise,lo,black,1,Adler16,2020,lo black LowBoise,lo black LowBoise 1,7,4,g16
4,LowBoise,lo,black,10,Adler16,2020,lo black LowBoise,lo black LowBoise 10,8,2,g16
5,LowBoise,lo,white,4,Adler16,2020,lo white LowBoise,lo white LowBoise 4,18,1,g16
6,LowBoise,lo,white,6,Adler16,2020,lo white LowBoise,lo white LowBoise 6,14,4,g16
7,LowBoise,lo,white,9,Adler16,2020,lo white LowBoise,lo white LowBoise 9,6,2,g16
8,LowBoise,lo,white,3,Adler16,2020,lo white LowBoise,lo white LowBoise 3,11,2,g16
9,LowBoise,lo,white,5,Adler16,2020,lo white LowBoise,lo white LowBoise 5,4,2,g16
10,LowBoise,hi,black,4,Adler16,2020,hi black LowBoise,hi black LowBoise 4,9,7,g16
11,LowBoise,hi,black,5,Adler16,2020,hi black LowBoise,hi black LowBoise 5,1,4,g16
12,LowBoise,hi,black,3,Adler16,2020,hi black LowBoise,hi black LowBoise 3,8,1,g16
13,LowBoise,hi,black,8,Adler16,2020,hi black LowBoise,hi black LowBoise 8,5,7,g16
14,LowBoise,hi,black,7,Adler16,2020,hi black LowBoise,hi black LowBoise 7,4,2,g16
15,LowBoise,hi,white,5,Adler16,2020,hi white LowBoise,hi white LowBoise 5,6,10,g16
16,LowBoise,hi,white,4,Adler16,2020,hi white LowBoise,hi white LowBoise 4,6,8,g16
17,LowBoise,hi,white,8,Adler16,2020,hi white LowBoise,hi white LowBoise 8,9,6,g16
18,LowBoise,hi,white,10,Adler16,2020,hi white LowBoise,hi white LowBoise 10,7,5,g16
19,HighBoise,lo,black,6,Adler16,2020,lo black HighBoise,lo black HighBoise 6,5,4,g16
20,HighBoise,lo,black,1,Adler16,2020,lo black HighBoise,lo black HighBoise 1,8,4,g16
21,HighBoise,lo,black,10,Adler16,2020,lo black HighBoise,lo black HighBoise 10,3,1,g16
22,HighBoise,lo,black,9,Adler16,2020,lo black HighBoise,lo black HighBoise 9,12,5,g16
23,HighBoise,lo,black,7,Adler16,2020,lo black HighBoise,lo black HighBoise 7,12,2,g16
24,HighBoise,lo,white,9,Adler16,2020,lo white HighBoise,lo white HighBoise 9,1,5,g16
25,HighBoise,lo,white,10,Adler16,2020,lo white HighBoise,lo white HighBoise 10,14,4,g16
26,HighBoise,lo,white,5,Adler16,2020,lo white HighBoise,lo white HighBoise 5,10,2,g16
27,HighBoise,lo,white,7,Adler16,2020,lo white HighBoise,lo white HighBoise 7,17,1,g16
28,HighBoise,hi,black,3,Adler16,2020,hi black HighBoise,hi black HighBoise 3,2,5,g16
29,HighBoise,hi,black,5,Adler16,2020,hi black HighBoise,hi black HighBoise 5,4,4,g16
30,HighBoise,hi,black,4,Adler16,2020,hi black HighBoise,hi black HighBoise 4,1,7,g16
31,HighBoise,hi,black,8,Adler16,2020,hi black HighBoise,hi black HighBoise 8,4,3,g16
32,HighBoise,hi,black,1,Adler16,2020,hi black HighBoise,hi black HighBoise 1,5,4,g16
33,HighBoise,hi,white,4,Adler16,2020,hi white HighBoise,hi white HighBoise 4,6,3,g16
34,HighBoise,hi,white,7,Adler16,2020,hi white HighBoise,hi white HighBoise 7,5,1,g16
35,HighBoise,hi,white,3,Adler16,2020,hi white HighBoise,hi white HighBoise 3,9,2,g16
36,HighBoise,hi,white,8,Adler16,2020,hi white HighBoise,hi white HighBoise 8,7,1,g16
37,LowBoise,lo,black,9,Adler17,2020,lo black LowBoise,lo black LowBoise 9,3,3,g17
