,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
date,albedo,density,block,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
4/24/22,white,high,1,1,36,V3+,,23,V3+,,19,V3,,43,V3+,,27,V3,,42,V3+,,41,V3+,,36,V3+,,44,V3+,,39,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,2,26,V3+,,41,V3+,,42,V3+,,11,V1,,31,V2,,29,V2,,26,V3,,39,V3+,,26,V3+,,38,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,3,25,V3,,44,V3+,,47,V3+,,41,V3+,,21,V2,,41,V3+,,39,V2,,,,,52,V3+,,42,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,4,21,V2,,45,V3+,,25,V3+,,47,V3+,,26,V3+,,30,V3+,,25,V3+,,49,V3+,,61,V3+,,26,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,5,45,V3+,,23,V2,,35,V3+,,40,V3+,,40,V3+,,37,V3,,26,V3+,,41,V3+,,33,V3+,,43,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,6,,,,35,V3+,,50,V3+,,38,V3+,,,,,44,V3+,,47,V3+,,44,V3+,,24,V3,,37,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,7,10,V1,,33,V3+,,29,V3+,,45,V3+,,49,V3+,,42,V3+,,33,V3,,13,V2,,34,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,8,47,V3,,38,V2,,9,V2,,52,V3+,,50,V3+,,49,V3+,,44,V3+,,34,V3,,14,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,9,26,V3+,,40,V3+,,48,V3+,,16,V2,,36,V3+,,45,V3+,,54,V3+,,39,V3+,,40,V3+,,51,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,high,1,10,42,V3+,,36,V3+,,41,V3+,,49,V3+,,11,V3+,,45,V3+,,26,V2,,41,V3+,,20,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,low,1,1,45,V3+,,38,V3+,,43,V3+,,27,V3,,21,V2,,32,V3+,,38,V3+,,27,V3+,,,,,16,V2,,19,V3,,0,V2,dormant,21,V3+,,,,,14,V3,,27,V3+,,44,V3,,,,,,,,15,V2,
4/24/22,black,low,1,2,40,V3+,,,,,,,,,,,22,V3,,0,V3,dormant,27,V3+,,30,V3+,,32,IB,,0,V3,dormant,36,V2,,12,V2,,46,V3+,,13,V2,,30,V3+,,0,V3,dormant,36,V3+,,42,V3+,,24,V2,,0,V2,dormant
4/24/22,black,low,1,3,6,V2,,31,V2,,8,V2,,,,,,,,41,V3+,,26,V2,,27,V3+,,24,V3,,36,V3+,,,,,19,V2,,42,V3+,,,,,,,,,,,24,V3+,,31,V3+,,,,,15,V2,
4/24/22,black,low,1,4,51,V3+,,41,V3+,,,,,6,V3,,37,V3,,41,V3+,,33,V3+,,35,V3+,,45,V3+,,32,V3+,,,,,27,V3+,,41,V3+,,26,V2,,,,,,,,17,V2,,,,,,,,8,V2,
4/24/22,black,low,1,5,,,,21,V3,,16,V1,,4,V2,,39,V3,,24,V2,,22,V3+,,15,V3,,36,V3+,,,,,,,,33,V3+,,,,,10,V1,,,,,54,V3+,,18,V3+,,24,V3+,,31,V3+,,0,V2,dormant
4/24/22,black,high,1,1,38,V3+,,39,V3+,,36,V3+,,47,V3+,,47,V2,,46,V3,,39,V3+,,48,V3+,,42,V3+,,39,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,2,26,V3,,58,V3+,,39,V2,,35,V3+,,44,V2,,32,V2,,51,V3+,,50,V3+,,53,V3+,,41,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,3,46,V3+,,47,V3+,,57,V3+,,41,V3+,,42,V3+,,52,V3+,,56,V3+,,49,V3+,,40,V3+,,31,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,4,44,V3+,,39,V3,,38,V3+,,,,,45,V3+,,41,IB,,45,V3+,,50,V3+,,51,V3+,,49,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,5,47,V3+,,41,V2,,44,V3+,,40,V3+,,33,V3+,,52,V3+,,46,V3+,,58,V3+,,52,V3+,,44,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,6,42,V3+,,32,V3,,48,V2,,47,V3+,,47,V3+,,36,V3+,,40,V2,,35,V3+,,21,V2,,36,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,7,42,V3+,,24,V3+,,44,V3+,,45,V3+,,33,V3,,42,V3+,,35,V2,,27,V3,,52,V3+,,45,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,8,54,V3+,,43,V3+,,35,V3,,26,V2,,46,V3+,,34,V3+,,43,V3+,,,,,13,V2,,51,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,9,,,,62,V3+,,18,V2,,,,,,,,42,V3+,,40,V3+,,46,V3+,,13,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,1,10,52,V3+,,50,V3+,,37,V3+,,51,V3+,,62,V3+,,43,V3+,,46,V3+,,45,V3+,,15,V2,,23,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,low,1,1,11,V2,,26,V2,,38,V3+,,23,V3+,,9,V3,,8,V2,,16,V3+,,,,,18,V3+,,,,,33,V3+,,29,V3+,,7,V2,,11,V1,,16,V1,,33,V3+,,28,V3+,,11,V1,,13,V1,,28,V2,
4/24/22,white,low,1,2,10,V3+,,25,V3+,,2,V1,,,,,18,V3+,,,,,17,V2,,18,V3+,,21,V3,,23,V3+,,20,V3+,,21,V3+,,,,,3,V1,,31,V3+,,22,V2,,,,,31,V3+,,31,V3+,,,,
4/24/22,white,low,1,3,,,,,,,19,V3+,,30,V3+,,6,V1,,32,V3+,,0,V1,dormant,0,V2,dormant,16,V3+,,36,V3+,,31,V3+,,18,V3+,,17,V3,,27,V3+,,24,V3+,,47,V3+,,30,V3+,,18,V3+,,39,V3+,,,,
4/24/22,white,low,1,4,33,V2,,19,V2,,16,V3,,,,,,,,,,,,,,6,V3+,,15,V3,,30,V3+,,11,V2,,18,V3+,,31,V3+,,12,V2,,0,V2,dormant,10,V3,,,,,28,V3+,,32,V3+,,18,V3+,
4/24/22,white,low,1,5,9,V0,,18,V2,,22,V2,,25,V2,,0,V1,dormant,,,,25,V3+,,0,V2,dormant,0,V1,dormant,16,V3,,29,V3+,,22,V3+,,21,V3+,,29,V3+,,34,V3+,,24,V3+,,10,V1,,15,V3+,,5,V3+,,16,V3+,
4/24/22,black,high,2,1,3,V1,,,,,,,,51,V3+,,32,V2,,14,V2,,21,V3,,,,,,,,4,V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,2,31,V3+,,44,V3+,,23,V3+,,19,V2,,40,V3+,,76,V3+,,45,V3+,,38,V2,,19,V3+,,26,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,3,,,,34,V3+,,38,V3+,,41,V3+,,56,V3+,,40,V3+,,,,,56,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,4,31,V2,,,,,41,V3,,32,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,5,40,V3+,,37,V3+,,9,V3,,17,V2,,,,,,,,15,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,6,,,,,,,17,V3+,,24,V3+,,14,V3+,,41,V3+,,33,V3+,,27,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,7,25,V3+,,24,V3+,,50,V3+,,,,,39,V3+,,,,,41,V3+,,55,V3+,,40,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,8,,,,5,V2,,46,V3+,,16,V2,,,,,33,V2,,48,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,9,30,V3+,,8,V0,,48,V3+,,27,V2,,21,V2,,,,,,,,44,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,black,high,2,10,,,,,,,,,,5,V3+,,,,,39,V3+,,30,V3+,,,,,,,,45,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/22,white,low,2,1,36,V3,,15,V3+,,24,V1,,22,V3+,,20,V3,,,,,,,,14,V3+,,12,V3+,,16,V2,,39,V3+,,,,,22,V2,,4,V1,,27,V3+,,35,V3,,43,V3+,,16,V3+,,25,V3+,,30,V3+,
4/24/22,white,low,2,2,20,V3+,,42,V3+,,7,V3+,,21,V3+,,14,V2,,,,,4,V2,,35,V3+,,31,V3+,,31,V3+,,47,V3+,,,,,41,V3+,,,,,22,V2,,25,V3+,,25,V3+,,,,,26,V3+,,,,
4/24/22,white,low,2,3,24,V3+,,,,,14,V3+,,32,V3+,,18,V2,,10,V3,,12,V3+,,11,V1,,30,V2,,18,V2,,21,V3+,,,,,,,,,,,,,,24,V3+,,22,V3+,,,,,,,,31,V3+,
4/24/22,white,low,2,4,,,,29,V3,,4,V2,,41,V3+,,16,V2,,,,,30,V3+,,31,V3+,,14,V2,,25,V3,,,,,,,,,,,,,,36,V3+,,21,V2,,22,V3+,,36,V3+,,49,V3+,,30,V3+,
