,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
date,albedo,density,block,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
,white,high,1,1,133,V3+,,112,IB,,,,,177,FG,,199,FG,,139,FG,,172,FG,,106,FG,,212,FG,,266,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,2,131,FG,,207,FG,,205,FG,,185,FG,,,,,146,IB,,134,FG,,136,FG,,171,FG,,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,3,122,FG,,200,FG,,209,FG,,143,FG,,,,,182,FG,,148,FG,,,,,147,FG,,152,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,4,,,,186,FG,,123,FG,,111,FG,,153,FG,,99,FG,,122,IB,,H,H,,145,FG,,161,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,5,127,FG,,86,V3+,,130,FG,,111,FG,,131,FG,,,,,123,FG,,172,FG,,234,FG,,202,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,6,,,,143,FG,,126,FG,,147,FG,,,,,222,FG,,156,FG,,163,IB,,134,V3+,,258,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,7,,,,170,FG,,125,FG,,145,FG,,141,FG,,167,FG,,154,FG,,,,,180,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,8,H,H,,81,FG,,49,V3+,,177,FG,,184,FG,,H,H,,220,FG,,114,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,9,226,FG,,224,FG,,139,FG,,25,V2,,128,FG,,275,FG,,169,FG,,171,FG,,188,V3+,,218,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,10,H,H,,192,FG,,207,FG,,163,FG,,,,,154,FG,,118,FG,,250,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,low,1,1,177,FG,,,,,,,,,,,,,,294,FG,,180,FG,,178,FG,,,,,,,,52,V3+,,,,,,,,,,,166,V3+,,130,IB,,175,V3+,,,,,,,,,,
,black,low,1,2,108,FG,,,,,,,,,,,,,,,,,191,FG,,196,FG,,H,H,,,,,,,,,,,181,FG,,,,,,,,,,,90,FG,,62,V3+,,,,,,,
,black,low,1,3,67,V3+,,162,FG,,,,,,,,,,,36,V3+,,97,FG,,195,FG,,148,V3+,,194,FG,,,,,,,,196,FG,,,,,,,,,,,,,,241,V3+,,,,,,,
,black,low,1,4,205,FG,,226,IB,,,,,,,,119,FG,,216,FG,,139,FG,,111,FG,,141,FG,,204,FG,,,,,90,FG,,170,FG,,53,V3+,,,,,,,,,,,,,,,,,,,
,black,low,1,5,,,,,,,,,,,,,,,,103,V3+,,163,FG,,,,,257,FG,,,,,,,,193,FG,,,,,,,,,,,128,FG,,,,,,,,123,FG,,,,
,black,high,1,1,131,FG,,124,FG,,103,FG,,140,FG,,96,V3+,,53,FG,,115,FG,,111,FG,,,,,104,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,2,130,FG,,135,FG,,,,,126,FG,,87,FG,,72,FG,,116,FG,,85,FG,,172,FG,,126,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,3,119,FG,,160,FG,,118,FG,,117,FG,,94,FG,,111,FG,,,,,123,FG,,213,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,4,188,FG,,114,FG,,101,FG,,,,,104,FG,,H,H,,119,FG,,157,FG,,146,FG,,119,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,5,106,FG,,101,FG,,H,H,,127,FG,,44,V3,,132,FG,,188,FG,,120,FG,,142,FG,,149,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,6,134,IB,,81,FG,,117,FG,,123,FG,,127,FG,,141,FG,,76,FG,,73,FG,,92,FG,,77,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,7,114,FG,,136,FG,,111,FG,,140,FG,,117,FG,,114,FG,,113,FG,,109,FG,,117,FG,,156,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,8,152,FG,,158,FG,,105,FG,,98,FG,,143,FG,,123,FG,,90,FG,,,,,52,FG,,128,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,9,,,,163,FG,,,,,,,,,,,126,FG,,96,FG,,136,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,1,10,230,FG,,156,FG,,155,FG,,H,H,,206,FG,,133,FG,,133,FG,,116,FG,,,,,127,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,low,1,1,,,,,,,90,FG,,136,FG,,,,,,,,,,,,,,116,FG,,,,,128,FG,,137,V3+,herbivory,81,V3+,,,,,,,,170,V3+,herbivory,60,V3+,,,,,118,FG,,75,V3+,herbivory
,white,low,1,2,,,,203,FG,,,,,,,,,,,,,,,,,229,FG,,,,,243,FG,,,,,49,V3+,,,,,,,,97,V3+,herbivory,,,,,,,164,FG,,83,FG,,,,
,white,low,1,3,,,,,,,175,IB,,184,V3+,,,,,169,V3+,,,,,,,,112,FG,,95,FG,post-harvest regrowth,194,FG,,146,V3+,,,,,,,,64,V3+,,206,IB,herbivory,,,,,,,124,FG,,,,
,white,low,1,4,91,V3+,,124,FG,,,,,,,,,,,,,,,,,,,,93,V3+,,157,FG,,,,,79,IB,herbivory,190,FG,,,,,,,,,,,,,,,,,178,IB,herbivory,,,
,white,low,1,5,,,,101,V3+,,,,,125,IB,,,,,,,,189,IB,,,,,,,,,,,101,V3+,,106,FG,herbivory,,,,,,,,,,,,,,,,149,FG,,67,V3+,herbivory,72,V3+,herbivory
,black,high,2,1,,,,,,,,,,165,IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,high,2,2,122,V3+,,125,V3+,,72,V3,,,,,,,,87,IB,post-harvest regrowth,74,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
