,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
date,albedo,density,block,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
6/21/22,white,high,1,1,191,FG,,115,FG,,,,,177,FG,,199,FG,,139,FG,,172,FG,,106,FG,,212,FG,,266,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,2,131,FG,,207,FG,,205,FG,,185,FG,,,,,78,V3+,,134,FG,,136,FG,,171,FG,,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,3,122,FG,,200,FG,,209,FG,,143,FG,,,,,182,FG,,148,FG,,,,,147,FG,,152,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,4,,,,186,FG,,123,FG,,111,FG,,153,FG,,99,FG,,117,FG,,H,H,,145,FG,,161,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,5,127,FG,,56,V3,,130,FG,,111,FG,,131,FG,,,,,123,FG,,172,FG,,234,FG,,202,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,6,,,,143,FG,,126,FG,,147,FG,,,,,222,FG,,156,FG,,149,FG,,131,V3+,,258,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,7,,,,170,FG,,125,FG,,145,FG,,141,FG,,167,FG,,154,FG,,,,,180,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,8,H,H,,81,FG,,27,V2,,177,FG,,184,FG,,H,H,,220,FG,,114,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,9,226,FG,,224,FG,,139,FG,,,,now absent,128,FG,,275,FG,,169,FG,,171,FG,,98,IB,herbivory,218,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,1,10,H,H,,192,FG,,207,FG,,163,FG,,,,,154,FG,,118,FG,,250,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,low,1,1,177,FG,,,,,,,,,,,,,,294,FG,h herbivory,180,FG,herbivory,178,FG,h herbivory,,,,,,,40,V3+,,,,,,,,,,,72,V3+,h herbivory,141,FG,,55,V3+,h herbivory,,,,,,,,,
6/21/22,black,low,1,2,108,FG,,,,,,,,,,,,,,,,,191,FG,,196,FG,h herbivory,H,H,,,,,,,,,,,181,FG,,,,,,,,,,,90,FG,,64,V3+,,,,,,,
6/21/22,black,low,1,3,102,IB,,162,FG,,,,,,,,,,,32,V3+,,97,FG,herbivory,195,FG,h herbivory,64,V3+,herbivory,194,FG,,,,,,,,196,FG,,,,,,,,,,,,,,96,V3+,h herbivory,,,,,,
6/21/22,black,low,1,4,205,FG,,92,V3+,h herbivory,,,,,,,119,FG,,216,FG,,139,FG,herbivory,111,FG,,141,FG,,204,FG,,,,,90,FG,,170,FG,herbivory,68,V3+,,,,,,,,,,,,,,,,,,,
6/21/22,black,low,1,5,,,,,,,,,,,,,,,,40,V3+,h herbivory,163,FG,herbivory,,,,257,FG,herbivory,,,,,,,193,FG,herbivory,,,,,,,,,,128,FG,herbivory,,,,,,,123,FG,,,,
6/21/22,black,high,1,1,131,FG,,124,FG,,103,FG,,140,FG,,96,FG,,53,FG,,115,FG,,111,FG,,,,,104,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,2,130,FG,,135,FG,,,,,126,FG,,87,FG,,72,FG,,116,FG,,85,FG,,172,FG,,126,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,3,119,FG,,160,FG,,118,FG,,117,FG,,94,FG,,111,FG,,,,,123,FG,,213,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,4,188,FG,,114,FG,,101,FG,,,,,104,FG,,H,H,,119,FG,,157,FG,,146,FG,,119,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,5,106,FG,,101,FG,,H,H,,127,FG,,18,V3,,132,FG,,188,FG,,120,FG,,142,FG,,149,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,6,128,FG,,81,FG,,117,FG,,123,FG,,127,FG,,141,FG,,76,FG,,73,FG,,92,FG,,77,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,7,114,FG,,136,FG,,111,FG,,140,FG,,117,FG,,114,FG,,113,FG,,109,FG,,117,FG,,156,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,8,152,FG,,158,FG,,105,FG,,98,FG,,143,FG,,123,FG,,90,FG,,,,,52,FG,,128,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
