site,block,density_long,density,albedo,source,growout_yr,growout_loc,,,X,Y,genotype,genotype_batch
Cheyenne,1,high,hi,black,Chambers09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,1,g37,37_Reno
Cheyenne,1,high,hi,black,Schupp01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,1,g13,13_Reno
Cheyenne,1,high,hi,black,Adler18,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,1,g18,18_Reno
Cheyenne,1,high,hi,black,Symstad3,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,1,g91,91_Reno
Cheyenne,1,high,hi,black,Downs03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,1,g44,44_Reno
Cheyenne,1,high,hi,black,Lavin01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,1,g59,59_Reno
Cheyenne,1,high,hi,black,Pyle009,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,1,g76,76_Reno
Cheyenne,1,high,hi,black,JackieOtt5,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,1,g56,56_Reno
Cheyenne,1,high,hi,black,Lee2,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,1,g62,62_Reno
Cheyenne,1,high,hi,black,Chynoweth05,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,10,1,g98,98_Logan
Cheyenne,1,high,hi,black,Chambers07,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,2,g35,35_Reno
Cheyenne,1,high,hi,black,Reed01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,2,g83,83_Reno
Cheyenne,1,high,hi,black,AAFC05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,2,g2,2_Reno
Cheyenne,1,high,hi,black,Adler09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,2,g11,11_Reno
Cheyenne,1,high,hi,black,Schupp03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,2,g86,86_Reno
Cheyenne,1,high,hi,black,Urza2,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,6,2,g93,93_Logan
Cheyenne,1,high,hi,black,Fleishman_05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,2,g46,46_Reno
Cheyenne,1,high,hi,black,Chambers04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,2,g32,32_Reno
Cheyenne,1,high,hi,black,Fleishman_07,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,2,g47,47_Reno
Cheyenne,1,high,hi,black,JackieOtt1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,2,g54,54_Reno
Cheyenne,1,high,hi,black,Reed03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,3,g84,84_Reno
Cheyenne,1,high,hi,black,Davies03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,3,g103,103_Reno
Cheyenne,1,high,hi,black,JackieOtt2,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,3,g55,55_Reno
Cheyenne,1,high,hi,black,Blumenthal01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,3,g8,8_Reno
Cheyenne,1,high,hi,black,Hufft1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,3,g52,52_Reno
Cheyenne,1,high,hi,black,Symstad4,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,3,g92,92_Reno
Cheyenne,1,high,hi,black,Hufft2,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,3,g53,53_Reno
Cheyenne,1,high,hi,black,Symstad2,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,3,g90,90_Reno
Cheyenne,1,high,hi,black,Lavin02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,3,g60,60_Reno
Cheyenne,1,high,hi,black,Pyke21,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,3,g74,74_Reno
Cheyenne,1,high,hi,black,Porensky17,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,4,g69,69_Reno
Cheyenne,1,high,hi,black,Shriver02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,4,g102,102_Reno
Cheyenne,1,high,hi,black,AAFC10,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,4,g7,7_Reno
Cheyenne,1,high,hi,black,Copeland05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,4,g39,39_Reno
