,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
date,albedo,density,block,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
3/28/22,white,high,1,1,26,V3,,32,V3+,,29,V2,,31,V3,,32,V2,,31,V2,,29,V3,,42,V3,,26,V3,herbivory,35,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,2,31,V3+,,30,V3,,29,V3+,,30,V2,,38,V3,,34,V3,,29,V3,,32,V3,,33,V2,,24,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,3,12,V2,,30,V3,,35,V3+,,31,V3+,,27,V2,,31,V2,,30,V2,,,,,38,V2,,24,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,4,30,V2,,34,V2,,37,V3,,28,V3+,,40,V3+,,35,V2,,26,V3,,36,V3+,,41,V3+,,26,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,5,38,V3+,,30,V2,,33,V3+,,30,V3+,,40,V3+,,35,V2,,27,V2,,32,V3,,32,V3,,30,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,6,23,V2,,27,V3+,,35,V3+,,34,V3+,,,,,44,V3+,herbivory,32,V3+,,28,V2,,29,V2,,36,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,7,25,V3,,35,V3+,,30,V3,,33,V3,,33,V3,,31,V3+,,32,V3+,,28,V2,,37,V2,,30,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,8,24,V2,,20,V2,,32,V2,,38,V3+,herbivory,35,V3+,,38,V3+,,32,V3+,,33,V2,,32,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,9,34,V2,,27,V3,,33,V3+,,34,V3+,,35,V3+,,33,V3+,,34,V3+,,36,V3+,,28,V2,,30,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,high,1,10,41,V3,,37,V3+,,30,V3+,,42,V3+,,30,V3,,36,V3,,26,V2,,27,V3,,35,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,low,1,1,32,V3+,,20,V3+,,34,V3+,,13,V3+,,20,V2,herbivory,22,V3+,,21,V3,,18,V3,,,,,19,V2,,27,V3+,,0,V3,dormant,20,V3+,herbivory,,,,31,V3,,17,V3,herbivory,32,V3,herbivory,,,,,,,0,V2,dormant
3/28/22,black,low,1,2,22,V3,,21,V3,,,,,,,,34,V3,,0,V3,dormant,16,V3+,,25,V3,,29,V3+,,0,V3+,dormant,25,V3+,herbivory,15,V3+,herbivory,32,V3+,,15,V2,herbivory,33,V3+,,11,V3,,19,V2,,29,V3+,herbivory,24,V3,,0,V2,dormant
3/28/22,black,low,1,3,5,V1,,19,V2,,13,V3,,0,V2,dormant,,,,14,V3,herbivory,0,V1,dormant,24,V3,,25,V3,,24,V3,,,,,33,V3+,,30,V3+,herbivory,,,,0,V2,dormant,0,V2,dormant,29,V3+,,29,V3+,,,,,14,V2,
3/28/22,black,low,1,4,29,V2,,36,V3+,herbivory,,,,18,V2,,20,V2,,26,V3,,20,V3+,herbivory,26,V3,,36,V3+,,22,V3+,,,,,23,V3+,,26,V3+,herbivory,27,V2,,8,V2,,4,V2,,20,V2,herbivory,4,V2,,0,V2,dormant,10,V2,
3/28/22,black,low,1,5,5,V1,,21,V2,,12,V0,,4,V3,,36,V3,herbivory,5,V1,herbivory,22,V3,,16,V3+,,15,V3+,,,,,5,V3,herbivory,26,V1,,,,,14,V2,,,,,48,V3+,,32,V3+,,39,V3+,,14,V3+,,34,V2,
3/28/22,black,high,1,1,36,V3+,,43,V3+,,41,V3+,,37,V3+,,44,V3+,,30,V3,,29,V3+,,30,V3+,,36,V3,,20,V3,herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,2,29,V3+,,43,V3+,,34,V2,,38,V3+,,29,V3,,29,V2,,50,V3,,38,V3+,,33,V3+,,32,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,3,41,V3,,39,V3+,,44,V3,,28,V3+,,31,V3,,39,V3+,herbivory,45,V3+,,37,V3+,,45,V3+,,34,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,4,33,V3+,,32,V3,,36,V3+,,,,,52,V3+,,44,V3+,,49,V3+,,40,V3+,,35,V3+,,40,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,5,43,V3+,,28,V3,,48,V3+,,34,V3+,,42,V3+,,33,V3+,,30,V3+,,44,V3+,,39,V3+,,31,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,6,25,V3,herbivory,23,V3,,41,V3+,,40,V3+,,46,V3+,,38,V3+,,32,V2,,20,V3,,24,V3,,27,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,7,49,V3+,,34,V3+,,35,V3,,36,V3+,,27,V3,,34,V3+,,25,V2,,23,V2,,36,V3+,,44,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,8,39,V3+,,42,V3+,,40,V3,,24,V3,,32,V3+,,26,V3+,,31,V3+,,,,,24,V2,,37,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,9,,,,46,V3+,,35,V3+,,24,V2,,,,,31,V3+,,29,V2,,35,V3+,,26,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,black,high,1,10,45,V3+,,36,V3+,,31,V3+,,35,V3+,,50,V3+,,29,V3+,,38,V3+,,36,V3+,,33,V3+,,28,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/22,white,low,1,1,20,V2,,14,V2,,27,V3+,,19,V2,,5,V3,,33,V2,,22,V2,,6,V1,,24,V3,,,,,31,V2,,24,V3,herbivory,23,V3,,20,V2,,13,V2,,21,V3,,22,V2,,20,V3,,7,V3,herbivory,19,V2,
3/28/22,white,low,1,2,28,V2,,26,V3+,,25,V2,,31,V3+,,24,V3,,22,V2,,21,V2,,27,V3,,,,,22,V3+,,16,V2,,25,V3,,26,V2,,22,V2,,12,V1,herbivory,19,V1,,19,V3,,19,V3,,30,V3+,,17,V2,
3/28/22,white,low,1,3,21,V2,,32,V3+,,24,V3+,,18,V3,,18,V3,,15,V3,herbivory,13,V3+,,20,V2,,25,V3,,26,V3,,20,V2,,24,V3+,,28,V3,,32,V3,,21,V3,,29,V3,,33,V3,,27,V3,,27,V3+,,10,V2,herbivory
