,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
date,albedo,density,block,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
,white,high,1,1,81,V3+,,39,V3+,,,,,177,FG,,132,IB,,139,FG,,172,FG,,106,FG,,159,IB,,192,IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,2,131,FG,,132,IB,,149,IB,,120,IB,,,,,87,V3+,,134,FG,,136,FG,,131,IB,,105,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,3,93,IB,,136,IB,,130,IB,,143,FG,,,,,96,V3+,,102,IB,,,,,147,FG,,152,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,4,,,,98,V3+,,123,FG,,111,FG,,62,V3+,,99,FG,,73,V3+,,128,FG,,145,FG,,106,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,5,127,FG,,46,V3+,,130,FG,,111,FG,,131,FG,,,,,123,FG,,118,V3+,,135,V3+,,202,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,6,,,,101,V3+,,126,FG,,147,FG,,,,,146,V3+,,156,FG,,104,V3+,,79,V3+,,185,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,7,,,,114,V3+,,108,IB,,145,FG,,141,FG,,167,FG,,117,V3+,,,,,112,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,8,106,FG,,81,FG,,,,,177,FG,,184,FG,,H,H,,154,V3+,,114,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,white,high,1,9,157,V3+,,146,V3+,,139,FG,,34,V3+,,128,FG,,61,V3+,,169,FG,,171,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
