,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
date,albedo,density,block,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
11/10/21,white,high,1,1,21,V0,,22,V0,,13,V0,,19,V0,,24,V0,,,,,18,V0,,33,V0,,25,V0,,32,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,2,28,V0,,27,V0,,15,V0,,24,V0,,26,V0,,28,V0,,27,V0,,19,V0,,11,V0,,22,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,3,7,V0,,21,V0,,25,V0,,5,V0,leaf broken,5,V0,,20,V0,,16,V0,,,,,20,V0,,16,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,4,21,V0,,25,V0,,5,V0,,22,V0,,34,V0,,9,V0,tip die back,14,V0,,26,V0,,16,V0,,22,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,5,28,V0,,19,V0,,23,V0,,31,V0,,22,V0,,20,V0,,23,V0,,22,V0,,10,V0,,18,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,6,17,V0,,25,V0,,25,V0,,26,V0,,,,,28,V0,,26,V0,,16,V0,,13,V0,,17,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,7,14,V0,,26,V0,,16,V0,,23,V0,,20,V0,,21,V0,,22,V0,,9,V0,,17,V0,,23,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,8,5,V0,,28,V0,,4,V0,,31,V0,,29,V0,,33,V0,,22,V0,,21,V0,,16,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,9,20,V0,,23,V0,,24,V0,,24,V0,,21,V0,,19,V0,,21,V0,,23,V0,,10,V0,,17,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/21,white,high,1,10,27,V0,,24,V0,,16,V0,,22,V0,,19,V0,,16,V0,,12,V0,,17,V0,,26,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
