Site,Date,Block,Albedo,Density,x,y,growout,Source,Live,Length_mm,V,notes
Cheyenne,11/10/21,1,black,High,3,9,1_Reno,AAFC04,Y,37,V0,
Cheyenne,11/10/21,1,black,Low,9,3,1_Reno,AAFC04,Y,32,V0,
Cheyenne,11/10/21,1,white,High,8,5,1_Reno,AAFC04,Y,22,V0,
Cheyenne,11/10/21,1,white,Low,10,1,1_Reno,AAFC04,Y,8,V0,
Cheyenne,11/10/21,2,black,High,8,3,1_Reno,AAFC04,Y,42,V0,
Cheyenne,11/10/21,2,black,Low,13,1,1_Reno,AAFC04,N,,,
Cheyenne,11/10/21,2,white,High,7,5,1_Reno,AAFC04,Y,10,V0,
Cheyenne,11/10/21,2,white,Low,7,1,1_Reno,AAFC04,Y,1,V0,
Cheyenne,11/15/21,3,black,High,9,6,1_Reno,AAFC04,Y,44,V1,
Cheyenne,11/10/21,3,black,Low,1,1,1_Reno,AAFC04,Y,21,V0,
Cheyenne,11/15/21,3,white,High,8,3,1_Reno,AAFC04,Y,18,V0,
Cheyenne,11/10/21,3,white,Low,2,3,1_Reno,AAFC04,Y,5,V0,
Cheyenne,11/15/21,4,black,High,10,6,1_Reno,AAFC04,Y,38,V0,
Cheyenne,11/15/21,4,black,Low,20,5,1_Reno,AAFC04,Y,42,V0,
Cheyenne,11/15/21,4,white,High,8,5,1_Reno,AAFC04,Y,12,V0,
Cheyenne,11/15/21,4,white,Low,18,2,1_Reno,AAFC04,Y,22,V0,
Cheyenne,11/15/21,5,black,High,7,7,1_Reno,AAFC04,Y,46,V1,
Cheyenne,11/15/21,5,black,High,9,1,1_Reno,AAFC04,Y,35,V1,leaf broken
Cheyenne,11/15/21,5,black,Low,3,4,1_Reno,AAFC04,Y,37,V1,
Cheyenne,11/15/21,5,black,Low,18,5,1_Reno,AAFC04,Y,40,V0,
Cheyenne,11/15/21,5,white,High,2,9,1_Reno,AAFC04,Y,18,V0,
Cheyenne,11/15/21,5,white,High,10,6,1_Reno,AAFC04,Y,26,V0,
Cheyenne,11/15/21,5,white,Low,11,3,1_Reno,AAFC04,Y,24,V0,
Cheyenne,11/15/21,5,white,Low,18,3,1_Reno,AAFC04,Y,22,V0,
Cheyenne,11/15/21,6,black,High,4,4,1_Reno,AAFC04,Y,13,V0,
Cheyenne,11/15/21,6,black,Low,19,4,1_Reno,AAFC04,N,,,
Cheyenne,11/15/21,6,white,High,10,2,1_Reno,AAFC04,Y,23,V0,
Cheyenne,11/15/21,6,white,Low,15,2,1_Reno,AAFC04,Y,18,V0,
Cheyenne,11/16/21,7,black,High,7,7,1_Reno,AAFC04,Y,44,V1,
Cheyenne,11/16/21,7,black,Low,19,1,1_Reno,AAFC04,Y,42,V0,
