site,block,density_long,density,albedo,source,bulkYear_final,growout_loc,,,X,Y,genotypeID,genotype_batch,top,middle,bottom
Cheyenne,1,high,hi,black,Hufft02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,1,g53,53_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Adler09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,1,g11,11_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Symstad6,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,1,g25,25_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,JackieOtt6,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,1,g57,57_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,AAFC05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,1,g2,2_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,AAFC09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,1,g6,6_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Blumenthal08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,1,g24,24_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,1,g33,33_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Lee 04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,2,g64,64_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Mancillas01,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,2,2,g150,150_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyle19,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,2,g82,82_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Downs 02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,2,g43,43_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,2,g29,29_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers06,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,2,g34,34_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chynoweth05,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,7,2,g98,98_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Fleishman_01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,2,g45,45_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,AAFC04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,3,g1,1_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chynoweth08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,3,g100,100_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Schupp02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,3,g12,12_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyke 21,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,3,g74,74_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Holdrege1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,3,g51,51_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Shriver01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,3,g101,101_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Symstad2,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,3,g90,90_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,JackieOtt5,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,3,g56,56_Reno,#ERROR!,#ERROR!,#ERROR!
