site,block,density_long,density,albedo,X,Y,genotype_batch,top,middle,bottom,genotype,growout_loc,growout_yr,source,harvest_stage,harvest_height,notes,status,5/9/22,5/18/22,5/26/22,6/3/22,6/7/22,6/13/22,6/17/22,6/21/22,6/23/22,6/24/22,6/27/22,6/28/22,6/29/22,6/30/22,7/7/22,7/11/22,7/14/22,7/18/22,7/22/22,7/27/22,check,,
Cheyenne,1,high,hi,black,1,1,37_Reno,blue,blue,pink,g37,Reno,2020,Chambers09,,,,WP,,,,,,1SH,,1SH,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,2,1,13_Reno,green,pink,blue,g13,Reno,2020,Schupp01,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,1,18_Reno,green,orange,green,g18,Reno,2020,Adler18,,,,WP,,,,,,,,,1UT,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,4,1,91_Reno,orange,orange,green,g91,Reno,2020,Symstad3,,,,WP,,,,,,,,,1SH,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,5,1,44_Reno,blue,orange,green,g44,Reno,2020,Downs03,,,,WP,,,,,,,,,,,,,,,WP,,,,,,V3+,,
Cheyenne,1,high,hi,black,6,1,59_Reno,pink,green,purple,g59,Reno,2020,Lavin01,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,1,76_Reno,pink,purple,purple,g76,Reno,2020,Pyle009,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,1,56_Reno,pink,green,blue,g56,Reno,2020,JackieOtt5,,,,WP,,,,,,,,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,1,62_Reno,pink,blue,orange,g62,Reno,2020,Lee2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,10,1,98_Logan,orange,purple,purple,g98,Logan,2021,Chynoweth05,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,1,2,35_Reno,blue,blue,green,g35,Reno,2020,Chambers07,,,,WP,,,,,,,,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,2,2,83_Reno,orange,green,purple,g83,Reno,2020,Reed01,,,,WP,,,,1SH,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,2,2_Reno,green,green,blue,g2,Reno,2020,AAFC05,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,4,2,11_Reno,green,blue,orange,g11,Reno,2020,Adler09,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,5,2,86_Reno,orange,blue,orange,g86,Reno,2020,Schupp03,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,6,2,93_Logan,orange,orange,pink,g93,Logan,2021,Urza2,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,2,46_Reno,blue,orange,pink,g46,Reno,2020,Fleishman_05,,,,WP,,,,,,,1SH,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,2,32_Reno,blue,green,pink,g32,Reno,2020,Chambers04,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,2,47_Reno,blue,orange,orange,g47,Reno,2020,Fleishman_07,,,,WP,,,,1SH,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,10,2,54_Reno,blue,purple,purple,g54,Reno,2020,JackieOtt1,,,,WP,,,,,,,1SH,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,1,3,84_Reno,orange,blue,blue,g84,Reno,2020,Reed03,,,,WP,,,,1SH,,,,,1SH,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,2,3,103_Reno,purple,blue,green,g103,Reno,2020,Davies03,,,,WP,,,,,,,,WP,1SH,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,3,55_Reno,pink,green,green,g55,Reno,2020,JackieOtt2,,,,WP,,,,,,,1SH,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,4,3,8_Reno,green,blue,blue,g8,Reno,2020,Blumenthal01,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,5,3,52_Reno,blue,purple,pink,g52,Reno,2020,Hufft1,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,6,3,92_Reno,orange,orange,blue,g92,Reno,2020,Symstad4,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,3,53_Reno,blue,purple,orange,g53,Reno,2020,Hufft2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,8,3,90_Reno,orange,pink,purple,g90,Reno,2020,Symstad2,,,,WP,,,,,,,,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,3,60_Reno,pink,blue,blue,g60,Reno,2020,Lavin02,,,,WP,,,,,,,,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,10,3,74_Reno,pink,purple,pink,g74,Reno,2020,Pyke21,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,1,4,69_Reno,pink,orange,blue,g69,Reno,2020,Porensky17,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,2,4,102_Reno,purple,green,purple,g102,Reno,2020,Shriver02,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,4,7_Reno,green,blue,green,g7,Reno,2020,AAFC10,,,,WP,,,,,,,,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,4,4,39_Reno,blue,blue,purple,g39,Reno,2020,Copeland05,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,5,4,73_Reno,pink,purple,blue,g73,Reno,2020,Pyke8,,,,WP,,,,1SH,,,,,1UT,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,6,4,64_Reno,pink,pink,green,g64,Reno,2020,Lee4,brown,58,,WP,,,WP,,,,,,,,,,,,,,,,,,H,,
Cheyenne,1,high,hi,black,7,4,77_Reno,orange,green,green,g77,Reno,2020,Pyle010,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,4,19_Reno,green,orange,blue,g19,Reno,2020,Barnett01,,,,WP,,,,,,,1SH,,WP,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,4,49_Reno,blue,purple,green,g49,Reno,2020,Getts3,,,,WP,,,,1SH,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,10,4,24_Reno,green,orange,purple,g24,Reno,2020,Blumenthal08,,,,WP,,,,,,,,,1SH,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,1,5,12_Reno,green,blue,purple,g12,Reno,2020,Schupp02,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,2,5,102_Reno,purple,green,purple,g102,Reno,2020,Shriver02,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,5,101_Reno,purple,green,orange,g101,Reno,2020,Shriver01,brown,64,,WP,,,WP,,,,,,,,,,,,,,,,,,H,,
Cheyenne,1,high,hi,black,4,5,72_Reno,pink,purple,green,g72,Reno,2020,Pyke3,,,,WP,,,,,,,,,1UT,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,5,5,42_Logan,blue,pink,pink,g42,Logan,2021,Downs01,,,,WP,,,,,,,,,,,,WP,,,,,,,,,V3,,
Cheyenne,1,high,hi,black,6,5,89_Reno,orange,pink,orange,g89,Reno,2020,Symstad1,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,5,81_Reno,orange,green,pink,g81,Reno,2020,Pyle017,,,,WP,,,,,,,,,1SH,,,,,,,,WP,,,,FG,,
Cheyenne,1,high,hi,black,8,5,34_Reno,blue,green,purple,g34,Reno,2020,Chambers06,,,,WP,,,,1SH,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,5,74_Reno,pink,purple,pink,g74,Reno,2020,Pyke21,,,,WP,,,,,,,1SH,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,10,5,82_Reno,orange,green,orange,g82,Reno,2020,Pyle019,,,,WP,,,,,,,,2SH,1SH,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,1,6,81_Reno,orange,green,pink,g81,Reno,2020,Pyle017,,,,WP,,,,,,,,,,,,,,,WP,,,,,,IB,,
Cheyenne,1,high,hi,black,2,6,29_Reno,green,purple,purple,g29,Reno,2020,Chambers01,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,6,9_Reno,green,blue,pink,g9,Reno,2020,Adler05,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,4,6,84_Reno,orange,blue,blue,g84,Reno,2020,Reed03,,,,WP,,,,,,1SH,,1SH,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,5,6,63_Reno,pink,blue,purple,g63,Reno,2020,Lee3,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,6,6,17_Reno,green,pink,purple,g17,Reno,2020,Adler17,,,,WP,,,,,,,1SH,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,6,87_Logan,orange,blue,purple,g87,Logan,2021,Schupp04,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,6,95_Logan,orange,orange,purple,g95,Logan,2021,Wilcox02,,,,WP,,,,,,WP,,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,6,43_Reno,blue,pink,purple,g43,Reno,2020,Downs02,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,10,6,100_Reno,purple,green,pink,g100,Reno,2020,Chynoweth08,,,,WP,,,,,,,,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,1,7,30_Reno,blue,green,green,g30,Reno,2020,Chambers02,,,,WP,,,,3SH,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,2,7,76_Reno,pink,purple,purple,g76,Reno,2020,Pyle009,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,7,14_Reno,green,pink,pink,g14,Reno,2020,Adler13,,,,WP,,,,,,,,1SH,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,4,7,11_Reno,green,blue,orange,g11,Reno,2020,Adler09,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,5,7,35_Reno,blue,blue,green,g35,Reno,2020,Chambers07,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,6,7,92_Reno,orange,orange,blue,g92,Reno,2020,Symstad4,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,7,38_Logan,blue,blue,orange,g38,Logan,2021,Copeland01,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,7,100_Reno,purple,green,pink,g100,Reno,2020,Chynoweth08,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,7,33_Reno,blue,green,orange,g33,Reno,2020,Chambers05,,,,WP,,,,1SH,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,10,7,76_Reno,pink,purple,purple,g76,Reno,2020,Pyle009,,,,WP,,,,,,,,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,1,8,36_Reno,blue,blue,blue,g36,Reno,2020,Chambers08,,,,WP,,,,,,,1SH,,3SH,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,2,8,79_Reno,orange,green,blue,g79,Reno,2020,Pyle015,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,8,65_Reno,pink,pink,blue,g65,Reno,2020,Leger 1,,,,WP,,,,1SH,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,4,8,52_Reno,blue,purple,pink,g52,Reno,2020,Hufft1,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,5,8,58_Reno,pink,green,orange,g58,Reno,2020,JackieOtt7,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,6,8,45_Reno,blue,orange,blue,g45,Reno,2020,Fleishman_01,,,,WP,,,,,,,,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,8,43_Reno,blue,pink,purple,g43,Reno,2020,Downs02,,,,WP,,,,1SH,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,8,6_Reno,green,green,purple,g6,Reno,2020,AAFC09,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,9,8,104_Reno,purple,blue,blue,g104,Reno,2020,Germino BOP 01,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,10,8,97_Reno,orange,purple,orange,g97,Reno,2020,Chynoweth03,,,,WP,,,,,,,1SH,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,1,9,88_Logan,orange,pink,blue,g88,Logan,2021,Schupp05,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,2,9,88_Reno,orange,pink,pink,g88,Reno,2020,Schupp05,,,,WP,,,,,,1SH,1SH,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,9,1_Reno,green,green,green,g1,Reno,2020,AAFC04,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,4,9,71_Reno,pink,orange,purple,g71,Reno,2020,Porensky30,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,5,9,31_Reno,blue,green,blue,g31,Reno,2020,Urza1,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,6,9,68_Reno,pink,orange,green,g68,Reno,2020,Porensky1,,,,WP,,,,,,,1SH,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,9,75_Reno,pink,purple,orange,g75,Reno,2020,Pyle001,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,9,51_Reno,blue,purple,blue,g51,Reno,2020,Holdrege1,,,,,,,,,,,,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,9,9,105_Reno,purple,blue,orange,g105,Reno,2020,Blumenthal10,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,10,9,25_Reno,green,purple,green,g25,Reno,2020,Symstad6,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,1,10,79_Reno,orange,green,blue,g79,Reno,2020,Pyle015,,,,WP,,,,,,,,,,,,2SH,,,WP,,,,,,FG,,
Cheyenne,1,high,hi,black,2,10,57_Reno,pink,green,pink,g57,Reno,2020,JackieOtt6,,,,WP,,,,,1SH,,,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,3,10,28_Reno,green,purple,orange,g28,Reno,2020,Bradford01,,,,WP,,,,,,,,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,4,10,61_Reno,pink,blue,pink,g61,Reno,2020,Lee1,brown,135,,WP,,,,WP,,,,,,,,,,,,,,,,,H,,
Cheyenne,1,high,hi,black,5,10,5_Reno,green,green,orange,g5,Reno,2020,AAFC08,,,,WP,,,,,,,,1SH,1UT,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,6,10,66_Reno,pink,pink,pink,g66,Reno,2020,Maron1,,,,WP,,,,,,,,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,7,10,96_Reno,orange,purple,blue,g96,Reno,2020,Chynoweth02,,,,WP,,,,,,,,1SH,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,black,8,10,25_Reno,green,purple,green,g25,Reno,2020,Symstad6,,,,WP,,,,,,,,1SH,,,,1UT,,,WP,,,,,,FG,,
Cheyenne,1,high,hi,black,9,10,61_Reno,pink,blue,pink,g61,Reno,2020,Lee1,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,black,10,10,26_Reno,green,purple,blue,g26,Reno,2020,Chynoweth01,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,1,1,76_Reno,pink,purple,purple,g76,Reno,2020,Pyle009,,,,WP,,,,,,,,,,,,WP,,,,,,,,,V3+,,
Cheyenne,1,high,hi,white,2,1,30_Reno,blue,green,green,g30,Reno,2020,Chambers02,,,,WP,,,,,,,,,WP,,,,,,,,,,,,IB,,
Cheyenne,1,high,hi,white,3,1,33_Reno,blue,green,orange,g33,Reno,2020,Chambers05,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,white,4,1,12_Reno,green,blue,purple,g12,Reno,2020,Schupp02,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,5,1,24_Reno,green,orange,purple,g24,Reno,2020,Blumenthal08,,,,WP,,,,,,,,1SH,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,6,1,98_Logan,orange,purple,purple,g98,Logan,2021,Chynoweth05,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,7,1,52_Reno,blue,purple,pink,g52,Reno,2020,Hufft1,,,,,,,,,1SH,,,,1SH,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,8,1,101_Reno,purple,green,orange,g101,Reno,2020,Shriver01,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,9,1,91_Reno,orange,orange,green,g91,Reno,2020,Symstad3,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,10,1,102_Reno,purple,green,purple,g102,Reno,2020,Shriver02,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,1,2,37_Reno,blue,blue,pink,g37,Reno,2020,Chambers09,,,,WP,,,,,,,1SH,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,2,2,102_Reno,purple,green,purple,g102,Reno,2020,Shriver02,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,3,2,105_Reno,purple,blue,orange,g105,Reno,2020,Blumenthal10,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,4,2,58_Reno,pink,green,orange,g58,Reno,2020,JackieOtt7,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,5,2,82_Reno,orange,green,orange,g82,Reno,2020,Pyle019,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,white,6,2,44_Reno,blue,orange,green,g44,Reno,2020,Downs03,,,,WP,,,,,,,,,,,,WP,,,,,,,,,IB,,
Cheyenne,1,high,hi,white,7,2,26_Reno,green,purple,blue,g26,Reno,2020,Chynoweth01,,,,WP,,,,,,,1SH,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,8,2,92_Reno,orange,orange,blue,g92,Reno,2020,Symstad4,,,,WP,,,,,,,1SH,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,9,2,100_Reno,purple,green,pink,g100,Reno,2020,Chynoweth08,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,10,2,65_Reno,pink,pink,blue,g65,Reno,2020,Leger 1,,,,WP,,,,,WP,,,,,,,,,,,,,,,,H,,
Cheyenne,1,high,hi,white,1,3,87_Logan,orange,blue,purple,g87,Logan,2021,Schupp04,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
