genotype,source,kinshipID,DTF
1,AAFC04,1,225.2273983
2,AAFC05,2,250.5806748
3,AAFC06,3,215.9713211
5,AAFC08,4,239.0188091
6,AAFC09,5,NA
7,AAFC10,6,NA
8,Blumenthal01,15,190.6299877
9,Adler05,7,145.4213985
11,Adler09,NA,189.5348808
12,Schupp02,71,194.6126546
13,Schupp01,70,198.3906174
14,Adler13,8,163.2966544
16,Adler16,9,NA
17,Adler17,10,208.5251584
18,Adler18,11,161.454428
19,Barnett01,12,166.2793213
20,Baughman3,14,NA
21,Baughman2,13,210.5914253
24,Blumenthal08,16,207.1918251
25,Symstad6,80,211.1008578
26,Chynoweth01,84,157.7809005
27,Board1,18,184.4830296
28,Bradford01,19,175.852025
29,Chambers01,20,128.1918251
30,Chambers02,21,122.9059824
31,Urza1,81,124.0597697
32,Chambers04,22,124.5062676
33,Chambers05,23,128.166798
34,Chambers06,24,127.2999161
35,Chambers07,25,245.7018052
36,Chambers08,26,176.6434358
37,Chambers09,27,157.9027207
38,Copeland01,28,157.5149489
39,Copeland05,29,175.2966544
40,Copeland09,30,213.2889807
42,Downs01,31,128.672683
43,Downs02,32,134.3495811
44,Downs03,33,167.6008578
45,Fleishman_01,34,226.9097619
46,Fleishman_05,35,210.7264364
47,Fleishman_07,36,169.2345654
48,Getts1,37,208.4713211
49,Getts3,38,167.100806
51,Holdrege1,39,171.6397161
52,Hufft1,40,199.2418023
53,Hufft2,41,168.5693874
54,JackieOtt1,42,193.0598454
55,JackieOtt2,43,181.1291015
56,JackieOtt5,44,215.6938481
57,JackieOtt6,45,200.9027207
58,JackieOtt7,46,214.4547341
59,Lavin01,47,199.4097619
60,Lavin02,48,NA
61,Lee1,49,122.4580913
62,Lee2,50,126.330017
63,Lee3,51,119.7445455
64,Lee4,52,109.4624348
65,Leger 1,53,134.3931031
66,Maron1,54,231.285788
67,Maron2,55,216.1661567
68,Porensky1,56,200.572649
69,Porensky17,58,189.0086228
70,Porensky12,57,209.7866743
71,Porensky30,59,228.2486758
72,Pyke3,61,129.5940943
73,Pyke8,62,190.988028
74,Pyke21,60,170.5789289
75,Pyle001,63,164.9027207
76,Pyle009,64,220.5914253
77,Pyle010,65,191.852025
79,Pyle015,92,NA
81,Pyle017,66,NA
82,Pyle019,67,157.2273983
83,Reed01,68,119.4994901
84,Reed03,69,159.1834899
86,Schupp03,72,152.0086228
87,Schupp04,73,181.852025
88,Schupp05,74,152.3506118
89,Symstad1,76,185.7486758
90,Symstad2,77,198.8338271
91,Symstad3,78,240.3506118
92,Symstad4,79,189.2393157
93,Urza2,82,180.9713211
95,Wilcox02,83,201.5914253
96,Chynoweth02,85,205.3213613
97,Chynoweth03,93,198.1533702
98,Chynoweth05,86,176.5697498
99,Chynoweth07,87,161.7471069
100,Chynoweth08,88,192.8788745
101,Shriver01,NA,120.087817
102,Shriver02,75,168.6633503
103,Davies03,91,NA
104,Germino BOP 01,89,155.1776846
105,Blumenthal10,17,186.7639489
150,Mancillas01,90,132.7809005
