garden,density,gravel,block,plot,cum_plot
SS,hi,black,1,1,1
SS,hi,white,1,2,2
SS,lo,black,1,3,3
SS,lo,white,1,4,4
SS,lo,white,2,1,5
SS,lo,black,2,2,6
SS,hi,black,2,3,7
SS,hi,white,2,4,8
SS,hi,white,3,1,9
SS,lo,white,3,2,10
SS,hi,black,3,3,11
SS,lo,black,3,4,12
SS,lo,white,4,1,13
SS,hi,white,4,2,14
SS,hi,black,4,3,15
SS,lo,black,4,4,16
SS,hi,black,5,1,17
SS,lo,black,5,2,18
SS,hi,white,5,3,19
SS,lo,white,5,4,20
SS,lo,white,6,1,21
SS,lo,black,6,2,22
SS,hi,white,6,3,23
SS,hi,black,6,4,24
SS,hi,white,7,1,25
SS,lo,white,7,2,26
SS,hi,black,7,3,27
SS,lo,black,7,4,28
SS,hi,white,8,1,29
SS,hi,black,8,2,30
SS,lo,black,8,3,31
SS,lo,white,8,4,32
SS,hi,white,9,1,33
SS,hi,black,9,2,34
SS,lo,white,9,3,35
SS,lo,black,9,4,36
SS,hi,black,10,1,37
SS,lo,white,10,2,38
SS,lo,black,10,3,39
SS,hi,white,10,4,40
BA,lo,black,1,1,NA
BA,lo,white,1,2,NA
BA,hi,white,1,3,NA
BA,hi,black,1,4,NA
BA,hi,black,2,1,NA
BA,hi,white,2,2,NA
BA,lo,white,2,3,NA
BA,lo,black,2,4,NA
BA,lo,white,3,1,NA
BA,hi,black,3,2,NA
BA,lo,black,3,3,NA
BA,hi,white,3,4,NA
BA,hi,black,4,1,NA
BA,lo,white,4,2,NA
BA,hi,white,4,3,NA
BA,lo,black,4,4,NA
BA,lo,black,5,1,NA
BA,hi,black,5,2,NA
BA,hi,white,5,3,NA
BA,lo,white,5,4,NA
BA,lo,black,6,1,NA
BA,lo,white,6,2,NA
BA,hi,white,6,3,NA
BA,hi,black,6,4,NA
BA,lo,white,7,1,NA
BA,hi,black,7,2,NA
BA,lo,black,7,3,NA
BA,hi,white,7,4,NA
BA,lo,black,8,1,NA
BA,hi,white,8,2,NA
BA,lo,white,8,3,NA
BA,hi,black,8,4,NA
BA,lo,white,9,1,NA
BA,hi,black,9,2,NA
BA,lo,black,9,3,NA
BA,hi,white,9,4,NA
BA,lo,black,10,1,NA
BA,lo,white,10,2,NA
BA,hi,black,10,3,NA
BA,hi,white,10,4,NA
WI,hi,white,1,1,NA
WI,lo,black,1,2,NA
WI,hi,black,1,3,NA
WI,lo,white,1,4,NA
WI,lo,white,2,1,NA
WI,hi,black,2,2,NA
WI,lo,black,2,3,NA
WI,hi,white,2,4,NA
WI,hi,white,3,1,NA
WI,hi,black,3,2,NA
WI,lo,black,3,3,NA
WI,lo,white,3,4,NA
WI,hi,white,4,1,NA
WI,lo,white,4,2,NA
WI,hi,black,4,3,NA
WI,lo,black,4,4,NA
WI,hi,white,5,1,NA
WI,lo,black,5,2,NA
WI,hi,black,5,3,NA
WI,lo,white,5,4,NA
WI,hi,black,6,1,NA
WI,hi,white,6,2,NA
WI,lo,white,6,3,NA
WI,lo,black,6,4,NA
WI,hi,black,7,1,NA
WI,lo,black,7,2,NA
WI,hi,white,7,3,NA
WI,lo,white,7,4,NA
WI,hi,white,8,1,NA
WI,hi,black,8,2,NA
WI,lo,black,8,3,NA
WI,lo,white,8,4,NA
WI,lo,white,9,1,NA
WI,hi,black,9,2,NA
WI,lo,black,9,3,NA
WI,hi,white,9,4,NA
WI,lo,white,10,1,NA
WI,lo,black,10,2,NA
WI,hi,black,10,3,NA
WI,hi,white,10,4,NA
