Site,Date,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,herbivory,frost_heave,tillers,harvested,notes
SheepStation,11/12/2021,1,high,black,1,1,25,2020,Symstad6,41.83,-103.71,Y,V2,4.6,46,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,2,96,2020,Chynoweth02,40.29092,-109.68361,Y,V2,6,60,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,3,34,2020,Chambers06,41.54,-117.78,Y,V2,5.3,53,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,4,57,2020,JackieOtt6,43.84,-101.94,Y,V2,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,5,72,2020,Pyke3,44.60456358,-120.1924183,Y,V2,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,6,82,2020,Pyle019,44.57,-119.65,Y,V0,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,7,55,2020,JackieOtt2,43.71,-102.32,Y,V0,2.5,25,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,8,69,2020,Porensky17,43.34,-105.13,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,9,32,2020,Chambers04,41.31,-117.63,Y,V0,4,40,NA,NA,,,
SheepStation,11/12/2021,1,high,black,1,10,75,2020,Pyle001,42.35,-118.65,Y,V0,3,30,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,1,77,2020,Pyle010,43.19,-120,Y,V1,4.9,49,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,2,54,2020,JackieOtt1,43.65,-102.97,Y,V2,4.6,46,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,3,71,2020,Porensky30,40.63,-105.27,Y,V2,4.9,49,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,4,66,2020,Maron1,46.68,-114.03,Y,V1,4.3,43,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,5,95,2020,Wilcox02,41.31,-105.66,Y,V0,4,40,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,6,46,2020,Fleishman_05,39.12,-117.27,Y,V0,4,40,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,7,29,2020,Chambers01,39.55,-119.58,Y,V2,4.7,47,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,8,14,2020,Adler13,41.44,-111.08,Y,V0,3.9,39,NA,NA,,,
SheepStation,11/12/2021,1,high,black,2,9,1,2020,AAFC04,50.08,-120.65,Y,V1,4.3,43,NA,NA,,,
