Site,Date,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,herbivory,frost_heave,notes
SheepStation,10/24/2022,1,high,black,1,1,66,2020,Maron1,46.68,-114.03,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,1,2,31,2020,Urza01,40.35,-119.34,Y,V1,4.5,45,,,
SheepStation,10/24/2022,1,high,black,1,3,102,2020,Shriver02,48,-114.04,Y,V0,4.4,44,,,
SheepStation,10/24/2022,1,high,black,1,4,74,2020,Pyke 21,47.61803776,-119.6830115,Y,V0,3.1,31,,,
SheepStation,10/24/2022,1,high,black,1,5,9,2020,Adler05,40.79,-111.87,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,1,6,56,2020,JackieOtt5,43.78,-102.61,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,1,7,54,2020,JackieOtt1,43.65,-102.97,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,1,8,89,2020,Symstad1,44.59,-104.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,1,9,35,2020,Chambers07,43.94,-116.19,Y,V0,0.3,3,,,
SheepStation,10/24/2022,1,high,black,1,10,88,2020,Schupp05,39.11,-112.74,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,2,1,11,2020,Adler09,43.31,-112.27,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,2,2,93,2020,Urza02,,,Y,V0,1,10,,,
SheepStation,10/24/2022,1,high,black,2,3,55,2020,JackieOtt2,43.71,-102.32,Y,V1,4.3,43,,,
SheepStation,10/24/2022,1,high,black,2,4,46,2020,Fleishman_05,39.12,-117.27,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,2,5,51,2020,Holdrege1,41.61,-111.57,Y,V0,3.5,35,,,
SheepStation,10/24/2022,1,high,black,2,6,6,2020,AAFC09,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,2,7,90,2020,Symstad2,43.87,-103.46,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,2,8,12,2020,Schupp02,40.2,-112.46,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,2,9,42,2020,Downs 01,46.38145,-119.430272,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,2,10,5,2020,AAFC08,49.57,-120.55,Y,V0,0.3,3,,,
SheepStation,10/24/2022,1,high,black,3,1,19,2020,Barnett01,43.48,-110.74,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,3,2,28,2020,Bradford01,35.23,-111.62,Y,V0,0.5,5,,,
SheepStation,10/24/2022,1,high,black,3,3,64,2020,Lee 04,35.4564,-115.52,Y,V1,4.8,48,,,
SheepStation,10/24/2022,1,high,black,3,4,98,2020,Chynoweth05,40.480805,-109.438229,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,3,5,52,2020,Hufft01,38.6701,-108.3286,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,3,6,54,2020,JackieOtt1,43.65,-102.97,Y,V0,0.7,7,,,
SheepStation,10/24/2022,1,high,black,3,7,71,2020,Porensky30,40.63,-105.27,Y,V0,0.3,3,,,
SheepStation,10/24/2022,1,high,black,3,8,65,2020,Leger 1,39.49,-119.84,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,3,9,57,2020,JackieOtt6,43.84,-101.94,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,3,10,83,2020,Reed01,38.52,-109.47,Y,V0,0.3,3,,,
SheepStation,10/24/2022,1,high,black,4,1,79,2020,Pyle15,43.8,-119,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,4,2,97,2021,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,4,3,75,2020,Pyle01,42.35,-118.65,Y,V1,3.5,35,,,
SheepStation,10/24/2022,1,high,black,4,4,69,2020,Porensky17,43.34,-105.13,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,4,5,76,2020,Pyle09,43.42,-119.62,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,4,6,29,2020,Chambers01,39.55,-119.58,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,4,7,7,2020,AAFC10,49.71,-120.05,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,4,8,92,2020,Symstad4,43.71,-102.58,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,4,9,37,2020,Chambers09,40.66,-116.73,N,NA,NA,NA,,,
