Site,Date,Color,Density,Plot,X-pos,Y-pos,Pheno-Stage,Collector (initials),Comment
Wildcat,5/30/23,White,High,1.1,1,1,Purple,NR,
Wildcat,5/30/23,White,High,1.1,1,2,Purple,NR,
Wildcat,5/30/23,White,High,1.1,1,4,Green,NR,
Wildcat,5/30/23,White,High,1.1,1,5,Purple,NR,
Wildcat,5/30/23,White,High,1.1,2,3,Brown,NR,
Wildcat,5/30/23,White,High,1.1,2,5,Brown,NR,
Wildcat,5/30/23,White,High,1.1,3,3,Purple,NR,
Wildcat,5/30/23,White,High,1.1,4,2,Green,NR,
Wildcat,5/30/23,White,High,1.1,4,3,Brown,NR,
Wildcat,5/30/23,White,High,1.1,4,4,Green,NR,
Wildcat,5/30/23,White,High,1.1,5,5,Purple,NR,
Wildcat,5/30/23,White,High,1.1,5,9,Brown,NR,
Wildcat,5/30/23,White,High,1.1,6,3,Purple,NR,
Wildcat,5/30/23,White,High,1.1,6,4,Purple,NR,
Wildcat,5/30/23,White,High,1.1,6,5,Purple,NR,
Wildcat,5/30/23,White,High,1.1,7,2,Purple,NR,
Wildcat,5/30/23,White,High,1.1,7,2,Brown,NR,
Wildcat,5/30/23,White,High,1.1,7,3,Purple,NR,
Wildcat,5/30/23,White,High,1.1,7,4,NR,NR,
Wildcat,5/30/23,White,High,1.1,7,9,Brown,NR,
Wildcat,5/30/23,White,High,1.1,7,10,Brown,NR,
Wildcat,5/30/23,White,High,1.1,8,3,Green,NR,
Wildcat,5/30/23,White,High,1.1,8,4,Purple,NR,
Wildcat,5/30/23,White,High,1.1,8,5,Brown,NR,
Wildcat,5/30/23,White,High,1.1,8,6,OT1,NR,
Wildcat,5/30/23,White,High,1.1,8,8,NR,NR,
Wildcat,5/30/23,White,High,1.1,9,2,Brown,NR,
Wildcat,5/30/23,White,High,1.1,9,3,Brown,NR,
Wildcat,5/30/23,White,High,1.1,9,3,Brown,NR,
Wildcat,5/30/23,White,High,1.1,9,4,Brown,NR,
Wildcat,5/30/23,White,High,1.1,9,5,Brown,NR,
Wildcat,5/30/23,White,High,1.1,9,6,Brown,NR,
Wildcat,5/30/23,White,High,1.1,10,3,Brown,NR,
Wildcat,5/30/23,White,High,1.1,10,4,Purple,NR,
Wildcat,5/30/23,White,High,1.1,10,5,Purple,NR,
Wildcat,5/30/23,White,High,1.1,10,7,Brown,NR,
Wildcat,5/30/23,White,High,1.1,10,10,OT1,NR,
Wildcat,5/30/23,Black,Low,1.2,1,2,Purple,NR,
Wildcat,5/30/23,Black,Low,1.2,1,3,Brown,NR,
Wildcat,5/30/23,Black,Low,1.2,1,4,Brown,NR,
Wildcat,5/30/23,Black,Low,1.2,1,5,Brown,NR,
Wildcat,5/30/23,Black,Low,1.2,2,3,Purple,NR,
Wildcat,5/30/23,Black,Low,1.2,3,1,Purple,NR,
Wildcat,5/30/23,Black,Low,1.2,3,3,Purple,NR,
Wildcat,5/30/23,Black,Low,1.2,3,5,Purple,NR,
Wildcat,5/30/23,Black,Low,1.2,4,1,Brown,NR,
Wildcat,5/30/23,Black,Low,1.2,4,2,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,4,4,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,4,5,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,5,1,Purple,NR,
Wildcat,5/30/23,Black,Low,1.2,5,2,Brown,NR,
Wildcat,5/30/23,Black,Low,1.2,5,4,Brown,NR,
Wildcat,5/30/23,Black,Low,1.2,5,5,Brown,NR,
Wildcat,5/30/23,Black,Low,1.2,6,2,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,6,3,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,7,2,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,7,5,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,8,1,Purple,NR,
Wildcat,5/30/23,Black,Low,1.2,8,5,Green,NR,
Wildcat,5/30/23,Black,Low,1.2,9,1,Green,NR,
