Site,Date,Plot,Block,Subplot,Gravel Color,Cheatgrass.ID,X,Y,Phenology.Category,Seedling present?,Are.you.harvesting.this.plant.,Did.you.loose.any.seeds.,Frost.Heaved.,Herbivory.present.,Herbivory.Intensity,Comments.or.Notes,ParentGlobalID,EditDate
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X1,1,1,NA,Unknown,NA,NA,NA,NA,NA,Two on toothpick. Cant tell ,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X2,2,1,NA,Dead,NA,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X3,3,1,NA,Dead,NA,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X4,4,1,NA,Dead,NA,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X5,5,1,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X6,6,1,NA,Unknown,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X7,7,1,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X8,8,1,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y1_X9,9,1,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X1,1,10,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X2,2,10,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X3,3,10,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X4,4,10,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X5,5,10,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X6,6,10,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X7,7,10,NA,Dead,NA,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X8,8,10,V1,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y10_X9,9,10,NA,Unknown,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X1,1,2,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X2,2,2,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X3,3,2,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X4,4,2,NA,Dead,NA,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X5,5,2,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X6,6,2,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X7,7,2,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X8,8,2,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y2_X9,9,2,NA,Unknown,NA,NA,NA,NA,NA,Two present both frost heaved,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X1,1,4,NA,Unknown,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
