"SiteCode","Year","Treatment","Transect","Distance","Emerged","Reproduced","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","prcp","tmean","swe_mean","swe_days","annual","unknown","perennial","shrub","groundcover","biocrust"
"Boise_High",2022,"control","S",0.2,"N","N",0,NA,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,40,NA,NA,NA
"Boise_High",2022,"control","S",0.4,"N","N",0,NA,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,10,NA,20,NA,NA,NA
"Boise_High",2022,"control","S",0.6,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,10,NA,NA,NA
"Boise_High",2022,"control","S",0.8,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,32,NA,NA,NA
"Boise_High",2022,"control","S",1,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,12,NA,NA,NA
"Boise_High",2022,"control","S",1.2,"N","N",0,NA,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,5,60,NA,NA,NA
"Boise_High",2022,"control","S",1.4,"Y","Y",7,0.061,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,25,NA,NA,NA
"Boise_High",2022,"control","S",1.6,"Y","Y",35,0.061,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,15,NA,30,NA,NA,NA
"Boise_High",2022,"control","S",1.8,"Y","Y",10,0.012,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,50,NA,NA,NA
"Boise_High",2022,"control","S",2,"Y","Y",19,0.015,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,80,NA,NA,NA
"Boise_High",2022,"control","S",2.2,"Y","Y",10,0.01,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,20,NA,NA,NA
"Boise_High",2022,"control","S",2.4,"Y","Y",54,0.085,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,27,NA,NA,NA
"Boise_High",2022,"control","S",2.6,"Y","Y",1,0.01,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,NA,52,NA,NA,NA
"Boise_High",2022,"control","S",2.8,"Y","Y",27,0.057,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,10,NA,20,NA,NA,NA
"Boise_High",2022,"control","S",3,"Y","Y",35,0.07,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,10,NA,7,NA,NA,NA
"Boise_High",2022,"control","S",3.2,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,428.19,4.12351301115242,4.18446096654275,91,NA,5,60,NA,NA,NA
