"SiteCode","Year","Treatment","Transect","Distance","Emerged","Reproduced","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","prcp.Spr","tmean.Spr","swe_mean.Spr","prcp.Win","tmean.Win","swe_mean.Win","prcp.Fall","tmean.Fall","swe_mean.Fall","annualgrass","annualforb","unknown","perennialforb","perennialgrass","shrub","groundcover","biocrust"
"Boise_High",2022,"control","S",0.2,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,40,0,0,0
"Boise_High",2022,"control","S",0.4,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,0,20,0,0,0
"Boise_High",2022,"control","S",0.6,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,5,0,0,0
"Boise_High",2022,"control","S",0.8,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,2,30,0,0,0
"Boise_High",2022,"control","S",1,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,2,10,0,0,0
"Boise_High",2022,"control","S",1.2,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,5,0,60,0,0,0
"Boise_High",2022,"control","S",1.4,"Y","Y",7,0.061,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,20,5,0,0,0
"Boise_High",2022,"control","S",1.6,"Y","Y",35,0.061,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,15,0,0,0,30,0,0,0
"Boise_High",2022,"control","S",1.8,"Y","Y",10,0.012,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,20,30,0,0,0
"Boise_High",2022,"control","S",2,"Y","Y",19,0.015,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,80,0,0,0
