"SiteCode","Year","Treatment","Transect","Distance","cover"
"Boise_High",2022,"control","S",2.8,10
"Boise_High",2022,"control","S",3,5
"Boise_High",2022,"control","S",4.2,5
"Boise_High",2022,"control","S",4.8,10
"Boise_High",2022,"control","S",7.4,15
"Boise_High",2022,"control","S",8.4,30
"Boise_High",2022,"control","S",8.6,10
"Boise_High",2022,"control","S",8.8,5
"Boise_High",2022,"control","S",9,15
"Boise_High",2022,"control","S",9.2,10
"Boise_High",2022,"control","S",9.6,5
"Boise_High",2022,"control","S",9.8,5
"Boise_High",2022,"control","W",3.4,2
"Boise_High",2022,"control","W",8.2,15
"Boise_High",2022,"control","W",8.4,15
"Boise_High",2022,"control","W",9,5
"Boise_High",2022,"removal","E",2.2,5
"Boise_High",2022,"removal","E",2.8,5
"Boise_High",2022,"removal","E",3,5
"Boise_High",2022,"removal","E",5.4,20
"Boise_High",2022,"removal","E",5.8,25
"Boise_High",2022,"removal","E",6,75
"Boise_High",2022,"removal","E",6.2,40
"Boise_High",2022,"removal","E",6.4,50
"Boise_High",2022,"removal","E",6.6,10
"Boise_High",2022,"removal","E",6.8,15
"Boise_High",2022,"removal","N",3.6,5
"Boise_Low",2022,"control","S",0.2,45
"Boise_Low",2022,"control","S",0.4,65
"Boise_Low",2022,"control","S",0.6,85
"Boise_Low",2022,"control","S",0.8,55
"Boise_Low",2022,"control","S",1,60
"Boise_Low",2022,"control","S",1.2,70
"Boise_Low",2022,"control","S",1.4,80
"Boise_Low",2022,"control","S",1.6,35
"Boise_Low",2022,"control","S",1.8,65
"Boise_Low",2022,"control","S",2,35
"Boise_Low",2022,"control","S",2.2,25
"Boise_Low",2022,"control","S",2.4,35
"Boise_Low",2022,"control","S",2.6,40
"Boise_Low",2022,"control","S",2.8,45
"Boise_Low",2022,"control","S",3,75
"Boise_Low",2022,"control","S",3.2,40
"Boise_Low",2022,"control","S",3.4,65
"Boise_Low",2022,"control","S",3.6,5
"Boise_Low",2022,"control","S",3.8,40
"Boise_Low",2022,"control","S",4,50
"Boise_Low",2022,"control","S",4.2,10
"Boise_Low",2022,"control","S",4.4,25
"Boise_Low",2022,"control","S",4.6,85
"Boise_Low",2022,"control","S",4.8,20
"Boise_Low",2022,"control","S",5,35
"Boise_Low",2022,"control","S",5.2,75
"Boise_Low",2022,"control","S",5.4,30
"Boise_Low",2022,"control","S",5.6,80
"Boise_Low",2022,"control","S",5.8,15
"Boise_Low",2022,"control","S",6,65
"Boise_Low",2022,"control","S",6.2,50
"Boise_Low",2022,"control","S",6.4,45
"Boise_Low",2022,"control","S",6.6,60
"Boise_Low",2022,"control","S",6.8,20
"Boise_Low",2022,"control","S",7,55
"Boise_Low",2022,"control","S",7.2,40
"Boise_Low",2022,"control","S",7.4,20
"Boise_Low",2022,"control","S",7.6,35
"Boise_Low",2022,"control","S",7.8,75
"Boise_Low",2022,"control","S",8,15
"Boise_Low",2022,"control","S",8.2,40
"Boise_Low",2022,"control","S",8.4,30
"Boise_Low",2022,"control","S",8.6,80
"Boise_Low",2022,"control","S",8.8,60
"Boise_Low",2022,"control","S",9,25
"Boise_Low",2022,"control","S",9.2,45
"Boise_Low",2022,"control","S",9.4,50
"Boise_Low",2022,"control","S",9.6,45
"Boise_Low",2022,"control","S",9.8,50
"Boise_Low",2022,"control","S",10,20
"Boise_Low",2022,"control","W",0.2,65
"Boise_Low",2022,"control","W",0.4,70
"Boise_Low",2022,"control","W",0.6,50
"Boise_Low",2022,"control","W",0.8,35
"Boise_Low",2022,"control","W",1,70
"Boise_Low",2022,"control","W",1.2,45
"Boise_Low",2022,"control","W",1.4,30
"Boise_Low",2022,"control","W",1.6,65
"Boise_Low",2022,"control","W",1.8,65
"Boise_Low",2022,"control","W",2,25
"Boise_Low",2022,"control","W",2.2,60
"Boise_Low",2022,"control","W",2.4,55
"Boise_Low",2022,"control","W",2.6,40
"Boise_Low",2022,"control","W",2.8,35
"Boise_Low",2022,"control","W",3,75
"Boise_Low",2022,"control","W",3.2,85
"Boise_Low",2022,"control","W",3.4,75
"Boise_Low",2022,"control","W",3.6,40
"Boise_Low",2022,"control","W",3.8,40
"Boise_Low",2022,"control","W",4,45
"Boise_Low",2022,"control","W",4.2,35
"Boise_Low",2022,"control","W",4.4,30
"Boise_Low",2022,"control","W",4.6,55
"Boise_Low",2022,"control","W",4.8,20
"Boise_Low",2022,"control","W",5,60
"Boise_Low",2022,"control","W",5.2,15
"Boise_Low",2022,"control","W",5.4,25
"Boise_Low",2022,"control","W",5.6,80
"Boise_Low",2022,"control","W",5.8,65
"Boise_Low",2022,"control","W",6,15
"Boise_Low",2022,"control","W",6.2,25
"Boise_Low",2022,"control","W",6.4,25
"Boise_Low",2022,"control","W",6.6,30
"Boise_Low",2022,"control","W",6.8,90
"Boise_Low",2022,"control","W",7,55
"Boise_Low",2022,"control","W",7.2,15
"Boise_Low",2022,"control","W",7.4,30
"Boise_Low",2022,"control","W",7.6,65
"Boise_Low",2022,"control","W",7.8,30
"Boise_Low",2022,"control","W",8,60
"Boise_Low",2022,"control","W",8.2,20
"Boise_Low",2022,"control","W",8.4,60
"Boise_Low",2022,"control","W",8.6,50
"Boise_Low",2022,"control","W",8.8,35
"Boise_Low",2022,"control","W",9,20
"Boise_Low",2022,"control","W",9.2,25
"Boise_Low",2022,"control","W",9.4,65
"Boise_Low",2022,"control","W",9.6,35
"Boise_Low",2022,"control","W",9.8,50
"Boise_Low",2022,"control","W",10,25
"Boise_Low",2022,"removal","E",2.2,55
"Boise_Low",2022,"removal","E",2.4,35
"Boise_Low",2022,"removal","E",2.6,15
"Boise_Low",2022,"removal","E",2.8,10
"Boise_Low",2022,"removal","E",3,35
"Boise_Low",2022,"removal","E",3.2,40
"Boise_Low",2022,"removal","E",3.4,8
"Boise_Low",2022,"removal","E",3.6,30
"Boise_Low",2022,"removal","E",3.8,25
"Boise_Low",2022,"removal","E",4,20
"Boise_Low",2022,"removal","E",4.2,5
"Boise_Low",2022,"removal","E",4.4,60
"Boise_Low",2022,"removal","E",4.6,40
"Boise_Low",2022,"removal","E",4.8,20
"Boise_Low",2022,"removal","E",5,35
"Boise_Low",2022,"removal","E",5.2,0
"Boise_Low",2022,"removal","E",5.4,5
"Boise_Low",2022,"removal","E",5.6,25
"Boise_Low",2022,"removal","E",5.8,15
"Boise_Low",2022,"removal","E",6,20
"Boise_Low",2022,"removal","E",6.2,20
"Boise_Low",2022,"removal","E",6.4,20
"Boise_Low",2022,"removal","E",6.6,10
"Boise_Low",2022,"removal","E",6.8,35
"Boise_Low",2022,"removal","E",7,8
"Boise_Low",2022,"removal","N",2.2,20
"Boise_Low",2022,"removal","N",2.4,2
"Boise_Low",2022,"removal","N",2.6,5
"Boise_Low",2022,"removal","N",2.8,25
"Boise_Low",2022,"removal","N",3,30
"Boise_Low",2022,"removal","N",3.2,20
"Boise_Low",2022,"removal","N",3.4,0
"Boise_Low",2022,"removal","N",3.6,10
"Boise_Low",2022,"removal","N",3.8,0
"Boise_Low",2022,"removal","N",4,0
"Boise_Low",2022,"removal","N",4.2,5
"Boise_Low",2022,"removal","N",4.4,25
"Boise_Low",2022,"removal","N",4.6,15
"Boise_Low",2022,"removal","N",4.8,5
"Boise_Low",2022,"removal","N",5,35
"Boise_Low",2022,"removal","N",5.2,45
"Boise_Low",2022,"removal","N",5.4,5
"Boise_Low",2022,"removal","N",5.6,2
"Boise_Low",2022,"removal","N",5.8,10
"Boise_Low",2022,"removal","N",6,10
"Boise_Low",2022,"removal","N",6.2,5
"Boise_Low",2022,"removal","N",6.4,35
"Boise_Low",2022,"removal","N",6.6,30
"Boise_Low",2022,"removal","N",6.8,45
"Boise_Low",2022,"removal","N",7,30
"CG PASTURE",2023,"control","N",5.7,2
"CaseAoyamaS1",2022,"removal","S",2.2,1
"CaseAoyamaS1",2022,"removal","W",3.4,1
"CaseAoyamaS1",2023,"control","E",0.2,1
"CaseAoyamaS1",2023,"control","E",0.4,1
"CaseAoyamaS1",2023,"control","E",0.6,1
"CaseAoyamaS1",2023,"control","E",1.6,1
"CaseAoyamaS1",2023,"control","E",2.8,1
"CaseAoyamaS1",2023,"control","E",4.4,1
"CaseAoyamaS1",2023,"control","E",5.2,1
"CaseAoyamaS1",2023,"control","E",5.4,1
"CaseAoyamaS1",2023,"control","E",5.6,1
"CaseAoyamaS1",2023,"control","E",5.8,1
"CaseAoyamaS1",2023,"control","E",6,1
"CaseAoyamaS1",2023,"control","E",6.2,1
"CaseAoyamaS1",2023,"control","E",6.4,1
"CaseAoyamaS1",2023,"control","E",7.4,1
"CaseAoyamaS1",2023,"control","E",7.6,1
"CaseAoyamaS1",2023,"control","E",9,1
"CaseAoyamaS1",2023,"control","N",3,3
"CaseAoyamaS1",2023,"control","N",4,3
"CaseAoyamaS1",2023,"control","N",4.6,3
"CaseAoyamaS1",2023,"control","N",4.8,2
"CaseAoyamaS1",2023,"control","N",6.8,3
"CaseAoyamaS1",2023,"control","N",7.6,3
"CaseAoyamaS1",2023,"control","N",8.8,2
"CaseAoyamaS1",2023,"control","N",9.2,1
"CaseAoyamaS1",2023,"removal","S",0.4,3
"CaseAoyamaS1",2023,"removal","S",1,2
"CaseAoyamaS1",2023,"removal","S",1.2,2
"CaseAoyamaS1",2023,"removal","S",1.8,2
"CaseAoyamaS1",2023,"removal","S",2,1
"CaseAoyamaS1",2023,"removal","S",3.8,1
"CaseAoyamaS1",2023,"removal","S",4.8,1
"CaseAoyamaS1",2023,"removal","W",0.8,3
"CaseAoyamaS1",2023,"removal","W",1,1
"CaseAoyamaS1",2023,"removal","W",1.2,5
"CaseAoyamaS1",2023,"removal","W",1.6,4
"CaseAoyamaS1",2023,"removal","W",2.6,3
"CaseAoyamaS1",2023,"removal","W",3.2,3
"CaseAoyamaS1",2023,"removal","W",3.4,1
"CaseAoyamaS1",2023,"removal","W",3.6,2
"CaseAoyamaS1",2023,"removal","W",4,3
"CaseAoyamaS1",2023,"removal","W",5,1
"CastValley",2021,"control","E",0.6,10
"CastValley",2021,"control","E",0.8,25
"CastValley",2021,"control","E",1,5
"CastValley",2021,"control","E",1.2,5
"CastValley",2021,"control","E",1.4,10
"CastValley",2021,"control","E",1.6,25
"CastValley",2021,"control","E",1.8,25
"CastValley",2021,"control","E",2,5
"CastValley",2021,"control","E",2.2,10
"CastValley",2021,"control","E",2.4,5
"CastValley",2021,"control","E",2.6,10
"CastValley",2021,"control","E",2.8,5
"CastValley",2021,"control","E",3,5
"CastValley",2021,"control","E",3.2,5
"CastValley",2021,"control","E",3.6,5
"CastValley",2021,"control","E",3.8,2
"CastValley",2021,"control","E",4,3
"CastValley",2021,"control","E",4.2,10
"CastValley",2021,"control","E",4.4,15
"CastValley",2021,"control","E",4.6,10
"CastValley",2021,"control","E",4.8,10
"CastValley",2021,"control","E",5,20
"CastValley",2021,"control","E",5.2,10
"CastValley",2021,"control","E",5.4,5
"CastValley",2021,"control","E",5.6,2
"CastValley",2021,"control","E",5.8,5
"CastValley",2021,"control","E",6,15
"CastValley",2021,"control","E",6.2,5
"CastValley",2021,"control","E",6.6,10
"CastValley",2021,"control","E",6.8,5
"CastValley",2021,"control","E",7,30
"CastValley",2021,"control","E",7.2,10
"CastValley",2021,"control","E",7.4,10
"CastValley",2021,"control","E",7.6,5
"CastValley",2021,"control","E",7.8,5
"CastValley",2021,"control","E",8,5
"CastValley",2021,"control","E",8.2,35
"CastValley",2021,"control","E",8.8,5
"CastValley",2021,"control","E",9,5
"CastValley",2021,"control","E",9.2,5
"CastValley",2021,"control","E",9.4,7
"CastValley",2021,"control","E",9.8,10
"CastValley",2021,"control","E",10,5
