"SiteCode","Year","control","removal"
"Boise_High",2022,10.125,23.1818181818182
"Boise_Low",2022,45.95,20.1
"CG PASTURE",2023,2,NA
"CaseAoyamaS1",2022,NA,1
"CaseAoyamaS1",2023,1.5,2.23529411764706
"CastValley",2021,10.8192771084337,23.1818181818182
"EOARC",2022,1.50714285714286,3.025
"EnsingS1 SuRDC",2022,7.47761194029851,6.87878787878788
"EnsingS2 Summerland-Princeton",2022,6.53846153846154,9.60714285714286
"EnsingS3 Bear Creek",2022,16.3,20
"EnsingS4 Lundbom",2022,12.1904761904762,8.90909090909091
"FAR NORTH CPER",2023,10,NA
"FtK_Cottonwood_Coulee",2021,6.34920634920635,NA
"FtK_Cottonwood_Coulee",2022,10.0515463917526,7
"FtK_Lone_Pine",2021,6.09271523178808,NA
"FtK_Lone_Pine",2022,8.0625,6.94444444444444
"GreenCanyon",2022,4.20454545454545,4.76923076923077
"GreenCanyon",2023,5.11764705882353,2.71428571428571
"MPG_IR",2021,2.1,1.16
"MPG_IR",2022,0.67,0.32
"MPG_SR",2021,1.06779661016949,8.20833333333333
"MPG_SR",2022,0.62,3.84
"MPG_TH",2021,1.9,1.31707317073171
"MPG_TH",2022,1.02,0.86
"NEAR HQ CPER",2023,5,NA
"OttS1",2022,4.36231884057971,5
"PMR- Pine",2021,4.54545454545455,9.28571428571429
"PMR- Pine",2022,5.25,17.5
"Pearlwise",2024,26.9785714285714,28.5787234042553
"Peavine",2022,5.42592592592593,7.75
"Peavine",2024,24.7058823529412,14.1304347826087
"Plymouth",2022,16.9367088607595,10.6666666666667
"Plymouth",2024,14.9333333333333,13.3333333333333
"Rush_Valley",2022,30,20.5
"SSHQ",2022,4.88461538461539,8.8
"SSHQ",2023,7.68085106382979,9.29787234042553
"SSHQ",2024,5.12820512820513,14.9318181818182
"SouthEden",2022,4.70786516853933,13.5
"SouthEden",2023,7.90526315789474,10.2857142857143
"SouthEden",2024,3,2.92857142857143
"Symstad1",2021,NA,2
"Symstad1",2022,1.4,11.3157894736842
"Symstad2",2022,2,24.6666666666667
"TB FIRE",2022,17.9166666666667,19.6
"TB FIRE",2023,3.2,9.28571428571429
"TB LC Control",2022,3.46666666666667,9.55555555555556
"TB LC Control",2023,7.88888888888889,17.5
"TB PRAIRIE DOG",2022,1,NA
"TB PRAIRIE DOG",2023,5,5
"dino",2024,17.25,8.91666666666667
