"species"
"Achillea millefolium"
"Achnatherum thurberianum"
"Aegilops cylindrica"
"Agoseris glauca"
"Agropyron cristatum"
"Agropyron smithii"
"Allium spp"
"Allium textile"
"Alyssum alyssoides"
"Alyssum desertorum"
"Alyssum simplex"
"Amaranthus albus"
"Ambrosia psilostachya"
"ANDI"
"ANDI2"
"Androsace occidentalis"
"Androsace spp"
"ANMI"
"annual forb"
"Antenaria spp"
"Antenarria spp"
"Antennaria dimorpha"
"Antennaria monocephala"
"Antennaria rosea"
"Apera interrupta"
"Arabis puberula"
"Arabis spp"
"Arenaria serpyllifolia"
"Aristida purpurea"
"Arnica cordifolia"
"Arnica fulgens"
"Artemisia dracunculus"
"Artemisia frigida"
"Artemisia ludovisiana"
"Artemisia tridentata"
"Asclepias pumila"
"ASSC"
"Astragalus americanus"
"Astragalus convallarius"
"Astragalus filipes"
"Astragalus inflexus"
"Astragalus lentiginosus"
"Astragalus missouriensis"
"Astragalus spp"
"Astralagus drummondii"
"Atriplex canescens"
"Atriplex confertifolia"
"Balsamorhiza sagittata"
"Barbarea orthoceras"
"bare"
"biocrust"
"Boechera retrofracta"
"Bouteloua curtipendula"
"Bouteloua dactyloides"
"Bouteloua gracilis"
"Brassica annual spp"
"Brassicaceae spp"
"Brodiaea douglasii"
"Bromus arvensis"
"Bromus inermis"
"Bromus japonicus"
"Bromus spp"
"Bromus tectorum"
"Buglossoides arvensis"
"Cacti spp"
"Calochortus macrocarpus"
"Calochortus spp"
"Camelina microcarpa"
"Camissonia spp"
"Carex duriuscula"
"Carex filifolia"
"Carex spp"
"Castilleja angustifolia"
"Castilleja thompsonii"
"Centaurea stoebe"
"Ceratocephala testiculata"
"Chamaesyce glyptosperma"
"Chenopodium leptophyllum"
"Chenopodium spp"
"Chrysothamnus viscidiflorus"
"Cirsium arvense"
"Cirsium undulatum"
"Collinsia parviflora"
"Collomia linearis"
"Comandra umbellata"
"Convolvulus arvensis"
"Convolvulus spp"
"Conyza canadensis"
"COPA3"
"CORA5"
"Cordylanthus parviflorus"
"Cordylanthus spp"
"Coryphantha vivipara"
"COSP"
"Crepis acuminata"
"CRIN"
"CRIN4"
"Cryptantha minima"
"Cryptantha spp"
"cut_this_record"
"Cymopterus spp"
"Dactylis glomerata"
"Descurainia pinnata"
"Descurainia sophia"
"Dieteria spp"
"Draba nemorosa"
"Draba repens"
"Draba spp"
"Draba verna"
"eb"
"EB"
"Echinacea angustifolia"
"EFRI"
"EHLO"
"Elymus elymoides"
"Ephedra viridis"
"Epilobium brachycarpum"
"ERAP"
"ERAR"
"Eriastrum filifolium"
"Eriastrum sparsiflorum"
"Eriastrum spp"
"Ericameria nauseosa"
"Erigeron compositus"
"Erigeron corymbosus"
"Erigeron coulteri"
"Erigeron pumilis"
"Erigeron pumilus"
"Erigeron speciosus"
"Eriogonum effusum"
"Eriogonum heracleoides"
"Eriogonum spp"
"Erodium cicutarium"
"Escobaria vivipara"
"Euphorbia esula"
"Euphorbia spathulata"
"Euphorbia spp"
"Fallopia convolvulus"
"Festuca campestris"
"Festuca idahoensis"
"GADE"
"Gaillardia aristata"
"Gaillardia pinnatifida"
"Galium spurium"
"Geranium spp"
"Gnaphalium spp"
"Gutierrezia sarothrae"
"Hedeoma hispida"
"Helianthus annuus"
"Helianthus petiolaris"
"Hesperostipa comata"
"Heterotheca villosa"
"Holosteum umbellatum"
"Hordeum pusillum"
"Koeleria macrantha"
"Lactuca serriola"
"Lagophylla ramosissima"
"Lappula occidentalis"
"Lappula redowskii"
"Lappula spp"
"lb"
"LB"
"Lepidium densiflorum"
"Lepidium spp"
"LEPU"
"LESB"
"Leucocrinum montanum"
"Lewisia rediviva"
"Liatris punctata"
"Linanthus pungens"
"Linanthus septentrionalis"
"Linaria dalmatica"
"Linum lewisii"
"Linum perenne"
"Lithophragma parviflorum"
"Lithospermum incisum"
"Lithospermum ruderale"
"litter"
"Logfia arvensis"
"Lomatium foeniculaceum"
"Lomatium triternatum"
"Lonicera arizonica"
"LOTR2"
"LSB"
"Lupinus arboreus"
"Lupinus argenteus"
"Lupinus sericeus"
"Lupinus spp"
"Lygodesmia juncea"
"Medicago lupulina"
"Medicago sativa"
"Melilotus officinalis"
"Mertensia lanceolata"
"Microsteris gracilis"
"Mirabilis linearis"
"missing"
"Myosotis micrantha"
"Myosotis stricta"
"Nassella viridula"
"NOSP"
"Nothocalais spp"
"ob"
"Oenothera suffrutescens"
"Oligoneuron rigidum"
"Opuntia polyacantha"
"Opuntia spp"
"Orthocarpus tenuifolius"
"Penstemon virens"
"Phleum pratense"
"Phlox aculeata"
"Phlox andicola"
"Phlox hoodii"
"Phlox longifolia"
"Picradeniopsis oppositifolia"
"Pinus ponderosa"
"Plantago patagonica"
"Pleiacanthus spinosus"
"Pleuraphis jamesii"
"Poa bulbosa"
"Poa pratensis"
"Poa sandbergii"
"Poa secunda"
"Poa spp"
"Polygonum aviculare"
"Polygonum douglasii"
"Portulaca oleracea"
"Pseudoroegneria spicata"
"Psoralidium tenuiflorum"
"Ratibida columnifera"
"Rhus trilobata"
"Ribes cereum"
"rock"
"Rose spp"
"Rubus idaeus"
"Salsola tragus"
"scat"
"Schedonnardus paniculatus"
"SEIN"
"Sisymbrium altissimum"
"Solanum triflorum"
"Solidago missouriensis"
"Solidago rigida"
"Solidago speciosa"
"Sphaeralcea coccinea"
"Sphaeralcea spp"
"Sporobolus cryptandrus"
"Sporobolus spp"
"SPSP"
"Symphoricarpos albus"
"Symphyotrichum ericoides"
"Symphyotrichum laeve"
"Symphyotrichum oblongifolium"
"Symphyotrichum porteri"
"Taeniatherum caput-medusae"
"Taraxacum officinale"
"Tetradymia canescens"
"Thinopyrum intermedium"
"Tradescantia bracteata"
"Tradescantia occidentalis"
"Tragopogon dubius"
"UNCH"
"unknown"
"unknown annual forb"
"unknown annual grass"
"unknown forb"
"unknown grass"
"unknown perennial forb"
"unknown shrub"
"Verbascum thapsus"
"Veronica peregrina"
"Veronica verna"
"Vicia villosa"
"Viola nuttallii"
"Viola spp"
"Vulpia octoflora"
"Vulpia spp"
"ZIPA"
