species
Achillea millefolium
Achillea.millefolia
Achnatherum thurberianum
ACMI
Aegilops cylindrica
AGCR
AGGL
AGRO
Agropyron cristatum
Agropyron smithii
AGSM
ALDE
alfalfa
Allium spp
Allium textile
Alyssum alyssoides
Alyssum desertorum
Alyssum.simplex
Amaranthus albus
Ambrosia psilostachya
ANDI
ANDI2
Androsace occidentalis
Androsace spp
Animal scat
Animal Scat
ANMI
annual Brassicacae
annual Linanthus
annual mustard
Antenarria spp
Antennaria dimorpha
Antennaria rosea
Antennaria species
Antennaria.monocephala
anthill
Apera interrupta
Arabis
Arabis puberula
Arabis sp.
Arenaria serpyllifolia
Aristida purpurea
Arnica cordifolia
Arnica fulgens
ARPU
Artemisia dracunculus
Artemisia fridiga
Artemisia frigida
Artemisia tridentata
Artemisia tridentata wyomingensis
Artemisia.frigida
Artemisia.ludovisiana
ARTR
Asclepias pumila
ASCO
ASFI
ASLE
ASPU
ASSC
ASSP (Astragalus sp)
Astragalus americanus
Astragalus convallarius
Astragalus filipes
Astragalus inflexus
Astragalus lentiginosus
Astragalus missouriensis
Astragalus sp.
Astragulus inflexus
Astralagus drummondii
Atriplex canescens
Atriplex confertifolia
Balsamorhiza sagitata
Balsamorhiza sagittata
Balsmahoriza sagittata
Barbarea orthoceras
bare
Bare
bare (dog disturbance)
bare soil
Bare soil
BASA
BIND
Biocrust
Biocrust - Early
Biocrust - Late
Biocrust early
Biocrust late
Boechera retrofracta
Bouteloua curtipendula
Bouteloua dactyloides
Bouteloua gracilis
Brassicaceae
bristly linear forb
bristly linear leaved unknown forb
BRJA
Brodiaea douglasii
Brome
Bromus arvensis
Bromus inermis
Bromus japonicus
Bromus tectorum
BRTE
Buglossoides arvensis
CAAN
Cacti
calacortus
calicortus
Calochortus
CAMA
Camelina microcarpa
Camisonia
Carex
Carex duriuscula
Carex filifolia
Carex sp
Carex sp.
Carex spp
Carex.spp.
Carex/Cyperus sp.
Castilleja angustifolia
Castilleja thompsonii
Centaurea stoebe
Ceratocephala testiculata
Chamaesyce glyptosperma
Chenopodium leptoph.
Chenopodium leptophyllum
Chenopodium sp.
CHLE
Chrysothamnus viscidiflorus
CHVI
Cirsium arvense
Cirsium undulatum
Collinsia parviflora
Collomia linearis
Comandra umbellata
Convolvulus arvensis
Convolvulus spp
Conyza canadensis
COPA
COPA (Collinsia parviflora)
COPA3
CORA5
Cordylanthus parviflorus
Cordylanthus spp
Coryphantha vivipara
COSP
COUM
CRAC
Crepis accumenata
Crepis acuminata
CRIN
CRIN4
crust
Cryptantha minima
Crypthantha sp.
CYMOP?
Dactylis glomerata
Dark cyanobacteria
dead Bouteloua gracilis crown
dead Opuntia polyacantha
Descurainia pinnata
Descurainia sophia
Descurania.sophia
Dieteria canescens/bigelovii
Draba nemorosa
Draba repens
Draba reptans
Draba spp
Draba verna
dung
Dung
early crust
Early successional biocrust
eb
EB
Echinacea angustifolia
EFRI
EHLO
ELEL
Elymus elymoides
EPBR
Ephedra viridis
ERAP
ERAR
ERCI
ERCO
ERCO6
ERFI
Eriastrum sparsiflorum
Eriastrum spp
Ericameria nauseosum
Erigeron compositus
Erigeron corymbosus
Erigeron pumilus
Erigeron speciosus
Eriogonum effusum
Eriogonum heracleoides
Eriogonum shrub
Eriogonum sp (ERSP)
Eriogonum spp
Erodium cicutarium
ERPU
ERSP
Escobaria vivipara
Euphorbia
Euphorbia esula
Euphorbia spathulata
Fallopia convolvulus
FEID
Festuca campestris
Festuca idahoensis
Festuca.idahoensis
forb
Forb
FORB
forb1
forb2
forb3
forb4
GADE
Gaillardia aristata
Gaillardia pinnatifida
Galium spurium
Geranium
Geranium spp
Gnaphalium sp.
Grass
grass 1
Grass 1
grass1
Gravel
Gutierrezia sarothrae
HECO
Hedeoma hispida
Helianthus annuus
Helianthus petiolaris
Hesperostipa comata
Heterotheca villosa
Holosteum umbellatum
Hordeum pusillum
HOUM
KOCR
Koeleria macrantha
Koeleria micrantha
Lactuca serriola
Lappula occidentalis
Lappula occidentalis var occidentalis
Lappula redowskii
Lappula spp
LARA
LARE
LARE - Lappula red.
LASE
LASP
late biocr
late successional biocrust
Late successional biocrust
lb
LB
Lepidium
Lepidium densiflorum
LEPU
LESB
Leucocrinum montanum
Lewisia rediviva
Liatrus punctata
lichen
Lichen
Light cyanobacteria
LILE
Linanthus pungens
Linanthus septentrionalis
Linaria dalmatica
Linum lewisii
Linum perenne
LISE
Lithophragma parviflorum
Lithospemum incisum
Lithospermum ruderale
litter
Litter
Logfia arvense
Logfia arvensis
Lomatium foeniculaceum
Lomatium triternatum
Lonicera arizonica
LOTR2
LSB
LUAR
Lupinus argenteus
Lupinus sericeus
Lupinus sp
Lupinus sp.
Lupinus spp
Lygodesmia juncea
Medicago lupulina
Medicago sativa
Melilotus officinalis
Mertensia lanceolata
Microsteris gracilis
Mirabilis linearis
missing
moss
Moss
MOSS
moss (LSB)
mushroom
Mushroom
Myosotis micrantha
Myosotis stricta
N/A
Nasella viridula
Nassella viridula
neighbor Bromus tectorum
NOSP
not found
Nothocalais trox.
Nothocalis
ob
Oenothera suffrutescens
Oligoneuron rigidum
Opuntia
Opuntia polyacantha
Orthocarpus tenuifolius
Pascopyrum smithii
Penstemon virens
PHAC
PHHO
Phleum pratense
PHLO
Phlox andicola
Phlox hoodii
Phlox longifolia
Picradeniopsis oppositifolia
Pink
Pinus ponderosa
Pinus ponderosa stump
Plantago patagonica
planted Bromus tectorum
Pleiacanthus spinosus
Pleuraphis jamesii
Poa bulbosa
Poa pratensis
Poa sandbergii
Poa secunda
Poa secunda (dead)
Poa sp.
POAV
POBU
Polygonum aviculare
Polygonum douglasii
POPR
Portulaca oleracea
pose
POSE
Pseudoroegnaria spicata
Pseudoroegneria spicata
