species,update,site
LARA,Lagophylla ramosissima,Boise High
EPBR,Epilobium brachycarpum,BoiseHigh
PHAC,Phlox aculeata,BoiseHigh
ANDI,Antennaria dimorpha,CaseAoyama
ANDI2,Antennaria dimorpha,CaseAoyama
ANMI,Antennaria microphylla,CaseAoyama
ASSC,Astragalus sclerocarpus,CaseAoyama
COPA3,Collinsia parviflora,CaseAoyama
CORA5,Cordylanthus ramosus ,CaseAoyama
CRIN,Crepis intermedia,CaseAoyama
CRIN4,Crepis intermedia,CaseAoyama
eb,biocrust,CaseAoyama
EB,biocrust,CaseAoyama
EFRI,Erigeron filifolius,CaseAoyama
EHLO,Phlox longifolia,CaseAoyama
ERAP,Erigeron aphanactis,CaseAoyama
ERAR,Erigeron aphanactis,CaseAoyama
GADE,Gayophytum decipiens,CaseAoyama
lb,biocrust,CaseAoyama
LB,biocrust,CaseAoyama
LEPU,Lepidium pubecarpum,CaseAoyama
LESB,biocrust,CaseAoyama
LOTR2,Lomatium triternatum,CaseAoyama
LSB,biocrust,CaseAoyama
ob,biocrust,CaseAoyama
SEIN,Senecio integerrimus,CaseAoyama
ZIPA,Zigadenus paniculatus ,CaseAoyama
COSP,,Hardware2023
SPSP,,Hardware
NOSP,,SouthEden
UNCH,,Woodruff
Achillea millefolium,,
Achillea.millefolia,Achillea millefolium,
Achnatherum thurberianum,,
ACMI,Achillea millefolium,
Aegilops cylindrica,,
AGGL,Agoseris glauca,
AGRO,Agropyron cristatum,
Agropyron cristatum,,
Agropyron smithii,,
AGSM,Agropyron smithii,
ALDE,Alyssum desertorum,
alfalfa,Medicago sativa,
Allium spp,,
Allium textile,,
Alyssum alyssoides,,
Alyssum desertorum,,
Alyssum.simplex,Alyssum simplex,
Amaranthus albus,,
Ambrosia psilostachya,,
Androsace occidentalis,,
Androsace spp,,
animal droppings,scat,
Animal scat,scat,
Animal Scat,scat,
annual Brassicacae,Brassica annual spp,
Annual forb,annual forb,
Annual grass,annual grass,
annual Linanthus,annual forb,
Antenarria spp,,
Antennaria dimorpha,,
Antennaria rosea,,
Antennaria species,Antenaria spp,
Antennaria.monocephala,Antennaria monocephala,
anthill,bare,
Apera interrupta,,
Arabis,Arabis spp,
Arabis puberula,,
Arabis sp.,Arabis spp,
Arenaria serpyllifolia,,
Aristida purpurea,,
Arnica cordifolia,,
Arnica fulgens,,
ARPU,Arabis puberula,
Artemisia dracunculus,,
Artemisia fridiga,Artemisia frigida,
Artemisia frigida,Artemisia frigida,
Artemisia tridentata,,
Artemisia tridentata wyomingensis,Artemisia tridentata,
Artemisia.frigida,Artemisia frigida,
Artemisia.ludovisiana,Artemisia ludovisiana,
ARTR,Artemisia tridentata,
Asclepias pumila,,
ASCO,Astragalus convallarius,
Astragalus americanus,,
Astragalus convallarius,,
Astragalus filipes,,
Astragalus inflexus,,
Astragalus lentiginosus,,
Astragalus missouriensis,,
Astragalus sp.,Astragalus spp,
Astragulus inflexus,Astragalus inflexus,
Astralagus drummondii,,
Atriplex canescens,,
Atriplex confertifolia,,
Balsamorhiza sagitata,Balsamorhiza sagittata,
Balsamorhiza sagittata,,
Balsmahoriza sagittata,Balsamorhiza sagittata,
Barbarea orthoceras,,
bare,bare,
Bare,bare,
bare (dog disturbance),bare,
bare soil,bare,
Bare soil,bare,
BIND,Convolvulus arvensis,
Biocrust,biocrust,
Biocrust - Early,biocrust,
Biocrust - Late,biocrust,
biocrust early,biocrust,
Biocrust early,biocrust,
biocrust late,biocrust,
Biocrust late,biocrust,
Boechera retrofracta,,
Bouteloua curtipendula,,
Bouteloua dactyloides,,
Bouteloua gracilis,,
Brassicaceae,Brassicaceae spp,
bristly linear forb,unknown forb,
bristly linear leaved unknown forb,unknown forb,
BRJA,Bromus japonicus,
Brodiaea douglasii,,
Brome,Bromus spp,
Bromus arvensis,,
Bromus inermis,,
Bromus japonicus,,
Bromus tectorum,,
BRTE,Bromus tectorum,
Buglossoides arvensis,,
Cacti,Cacti spp,
calacortus,Calochortus spp,
calicortus,Calochortus spp,
