SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Species,Cover,Litter depth (cm),Notes,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.2,Erodium cicutarium,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.2,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.2,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.2,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.4,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.4,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.4,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.6,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.6,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.8,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.8,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.8,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,0.8,Taeniatherum caput-medusae,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1,Poa bulbosa,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.2,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.2,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.2,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.2,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.2,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.4,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.4,Poa bulbosa,30,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.4,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.4,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.6,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.6,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.6,Artemisia tridentata,50,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.6,Artemisia tridentata,100,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,1.8,Thinopyrum intermedium,25,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2,Artemisia tridentata,100,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2,Thinopyrum intermedium,25,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.2,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.2,Poa bulbosa,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.2,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.2,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.2,Artemisia tridentata,50,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.4,Thinopyrum intermedium,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.4,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.4,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.4,Artemisia tridentata,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.6,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.6,Thinopyrum intermedium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.8,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.8,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.8,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,2.8,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
