SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Species,Cover,Litter depth (if >1cm),Notes
SouthEden,S,control,0.2,BRTE,5,,
SouthEden,S,control,0.2,POSE,15,,
SouthEden,S,control,0.2,bare,10,,
SouthEden,S,control,0.2,litter,65,,
SouthEden,S,control,0.4,BRTE,2,,
SouthEden,S,control,0.4,POSE,10,,
SouthEden,S,control,0.4,litter,90,,
SouthEden,S,control,0.6,BRTE,2,,
SouthEden,S,control,0.6,HECO,2,,
SouthEden,S,control,0.6,POSE,5,,
SouthEden,S,control,0.6,bare,20,,
SouthEden,S,control,0.6,litter,75,,
SouthEden,S,control,0.8,BRTE,5,,
SouthEden,S,control,0.8,POSE,10,,
SouthEden,S,control,0.8,HECO,2,,
SouthEden,S,control,0.8,bare,10,,
SouthEden,S,control,0.8,litter,75,,
SouthEden,S,control,1.2,BRTE,2,,
SouthEden,S,control,1.2,POSE,5,,
SouthEden,S,control,1.2,HECO,15,,
SouthEden,S,control,1.2,crust,30,,
SouthEden,S,control,1.2,litter,50,,
SouthEden,S,control,1.4,BRTE,1,,
SouthEden,S,control,1.4,POSE,5,,
SouthEden,S,control,1.4,HECO,20,,
SouthEden,S,control,1.4,crust,40,,
SouthEden,S,control,1.4,litter,35,,
SouthEden,S,control,1.8,BRTE,5,,
SouthEden,S,control,1.8,POSE,10,,
SouthEden,S,control,1.8,HECO,5,,
SouthEden,S,control,1.8,moss,50,,
SouthEden,S,control,1.8,litter,30,,
SouthEden,S,control,2,BRTE,5,,
SouthEden,S,control,2,HECO,10,,
SouthEden,S,control,2,POSE,5,,
SouthEden,S,control,2,moss,30,,
SouthEden,S,control,2,bare,20,,
SouthEden,S,control,2,litter,30,,
SouthEden,S,control,2.2,BRTE,2,,
SouthEden,S,control,2.2,POSE,5,,
SouthEden,S,control,2.2,HECO,5,,
SouthEden,S,control,2.2,moss,20,,
SouthEden,S,control,2.2,bare,15,,
SouthEden,S,control,2.2,litter,55,,
SouthEden,S,control,2.4,BRTE,5,,
SouthEden,S,control,2.4,HECO,5,,
SouthEden,S,control,2.4,POSE,5,,
SouthEden,S,control,2.4,ALDE,1,,
SouthEden,S,control,2.4,moss,15,,
