SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Yes or No),BRTE neighbors ,Final census date,Seeds (Yes or No),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y or N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?)
GreenCanyon,S,control,0.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,3,0.003,0.007,Y,1,0,
GreenCanyon,S,control,0.4,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,0.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,1,0.004,0.002,Y,0,0,
GreenCanyon,S,control,0.8,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,1,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,1.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,0,0.002,0.000,Y,0,0,
GreenCanyon,S,control,1.4,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,1.6,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,1.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,2.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,4,0.008,0.013,N,0,0,
GreenCanyon,S,control,2.4,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,2.6,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,2.8,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,0,0.003,0.000,Y,0,0,dropped seeds before harvest
GreenCanyon,S,control,3,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,3.2,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,3.4,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,pick broken
GreenCanyon,S,control,3.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,2,0.005,0.006,N,0,0,
GreenCanyon,S,control,3.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,4,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,4.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,1,0.003,0.001,N,0,0,
GreenCanyon,S,control,4.4,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,pick broken
GreenCanyon,S,control,4.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,4,0.004,0.004,N,0,4,
GreenCanyon,S,control,4.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,5,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,4,0.009,0.011,Y,0,0,
GreenCanyon,S,control,5.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,1,0.003,0.002,Y,0,0,
GreenCanyon,S,control,5.4,9/14/2021,10/29/2021,N,NA,6/22/2022,missing,NA,,,,,,
GreenCanyon,S,control,5.6,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,5.8,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,6,9/14/2021,10/29/2021,Y,4,6/22/2022,Y,5,0.010,0.014,N,0,0,
GreenCanyon,S,control,6.2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,6.4,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,3,0.005,0.008,N,0,0,pick broken
GreenCanyon,S,control,6.6,9/14/2021,10/29/2021,N,2,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,6.8,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,1,0.003,0.001,Y,0,0,
GreenCanyon,S,control,7,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,7.2,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,2,0.004,0.005,Y,0,0,
GreenCanyon,S,control,7.4,9/14/2021,10/29/2021,Y,3,6/22/2022,Y,0,0.003,0.000,Y,0,0,
GreenCanyon,S,control,7.6,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,2,0.007,0.007,N,0,0,
GreenCanyon,S,control,7.8,9/14/2021,10/29/2021,Y,3,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,8,9/14/2021,10/29/2021,Y,3,6/22/2022,Y,2,0.004,0.005,N,0,0,
GreenCanyon,S,control,8.2,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,1,0.005,0.002,Y,0,0,
GreenCanyon,S,control,8.4,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,6,0.008,0.013,N,0,0,
GreenCanyon,S,control,8.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,6,0.016,0.018,N,0,0,
GreenCanyon,S,control,8.8,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,4,0.005,0.008,Y,0,0,
GreenCanyon,S,control,9,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,6,0.036,0.021,Y,0,0,
GreenCanyon,S,control,9.2,9/14/2021,10/29/2021,Y,3,6/22/2022,N,0,,,,,,
GreenCanyon,S,control,9.4,9/14/2021,10/29/2021,N,NA,6/22/2022,missing,NA,,,,,,
