SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Y/N),BRTE neighbors ,Final census date,Seeds (Y/N),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y/N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?),,,,,,,,,
GreenCanyon,S,control,0.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,0.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,0.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,0.8,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,1,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,1.2,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,1.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,1.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,1.8,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,2.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,2.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,2.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,2.8,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,3,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,3.2,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,3.4,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,3.6,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,3.8,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,4.2,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,4.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,4.6,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,4.8,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,5,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,5.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,5.4,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,S,control,5.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
