site_code,transect,treatment,distance_from_center,planting_date,emergence_census_date,emerged,BRTE_neighbors,final_census_date,seeds,seeds_produced,total_dry_mass,seed_mass,seed_drop,unfilled_seeds,smut_seeds,notes
SouthEden,S,control,0.2,9/15/2023,10/24/2023,Y,4,6/14/2024,Y,10,0..020,0.026,,1,,
SouthEden,S,control,0.4,9/15/2023,10/24/2023,Y,3,6/14/2024,N,,,,,,,
SouthEden,S,control,0.6,9/15/2023,10/24/2023,Y,3,6/14/2024,Y,,,,,,,broken
SouthEden,S,control,0.8,9/15/2023,10/24/2023,N,6,6/14/2024,N,,,,,,,
SouthEden,S,control,1,9/15/2023,10/24/2023,N,,6/14/2024,,,,,,,,missing
SouthEden,S,control,1.2,9/15/2023,10/24/2023,Y,4,6/14/2024,N,,,,,,,
SouthEden,S,control,1.4,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,
SouthEden,S,control,1.6,9/15/2023,10/24/2023,Y,,6/14/2024,,,,,,,,missing
SouthEden,S,control,1.8,9/15/2023,10/24/2023,Y,4,6/14/2024,Y,4,0.008,0.011,,0,,
SouthEden,S,control,2,9/15/2023,10/24/2023,Y,3,6/14/2024,Y,3,0.01,0.01,,0,,
SouthEden,S,control,2.2,9/15/2023,10/24/2023,Y,2,6/14/2024,Y,1,0.004,0.002,,0,,
SouthEden,S,control,2.4,9/15/2023,10/24/2023,Y,6,6/14/2024,Y,13,0.025,0.035,,0,,
SouthEden,S,control,2.6,9/15/2023,10/24/2023,Y,4,6/14/2024,N,,,,,,,
SouthEden,S,control,2.8,9/15/2023,10/24/2023,Y,2,6/14/2024,Y,1,0.005,0,Y,0,,
SouthEden,S,control,3,9/15/2023,10/24/2023,,,6/14/2024,,,,,,,,trampled
SouthEden,S,control,3.2,9/15/2023,10/24/2023,Y,4,6/14/2024,N,,,,,,,
SouthEden,S,control,3.4,9/15/2023,10/24/2023,Y,9,6/14/2024,Y,4,0.012,0.011,,1,,
SouthEden,S,control,3.6,9/15/2023,10/24/2023,Y,4,6/14/2024,N,,,,,,,
SouthEden,S,control,3.8,9/15/2023,10/24/2023,N,2,6/14/2024,N,,,,,,,
SouthEden,S,control,4,9/15/2023,10/24/2023,Y,6,6/14/2024,N,,,,,,,
SouthEden,S,control,4.2,9/15/2023,10/24/2023,Y,3,6/14/2024,N,,,,,,,
SouthEden,S,control,4.4,9/15/2023,10/24/2023,Y,4,6/14/2024,Y,3,0.003,0.004,,1,,
