PopNum,NewSiteCode,AdultHeight_cm,SpringGrowth_cm,tillersN,leavesN,DaysToFlower,InflorescenceHeight_cm,InflorescenceN,DryBiomass_mg,seedM_mg,seedN,seed1M_mg,,
1,Shriver1,13.05262375,3.303578372,4.348976416,14.44581311,120.0878171,55.06133253,2.320132274,1348.578514,607.8162055,151.569215,3.9175,,
3,Adler9,16.83539858,11.69968966,7.001791597,62.2712375,189.5348808,30.89183502,2.169937707,744.8187826,73.58129831,25.66822946,3.43,,
78,Mancillas01,14.50591012,9.311900603,3.552997746,11.03693331,132.7809005,41.53125298,2.793948105,451.1478821,238.5441406,175.1126714,1.325000023,,
113,AAFC4,13.90759141,6.106839631,7.476819422,50.542081,225.2273983,17.39028059,3.632107841,645.2644671,73.19587862,32.57932192,2.704999952,,
114,AAFC5,14.84591272,5.864715466,9.976088525,69.95699831,250.5806748,19.5287452,0.94851255,925.3144671,34.01014783,29.76275577,2.109999952,,
115,AAFC6,15.13025685,10.07154476,8.600002675,72.0758635,215.9713211,19.24927742,3.194503905,887.0250098,159.1376947,68.83324261,1.884999997,,
116,AAFC8,15.78908023,10.22374103,9.051311727,63.99012535,239.0188091,16.89735171,1.676855558,691.4591262,87.74476171,40.63934626,2.289999954,,
117,AAFC9,15.97257679,9.178567269,11.21966441,80.03693331,NA,NA,NA,NA,NA,NA,NA,,
118,AAFC10,14.06567915,6.843101567,7.460372571,62.9364241,NA,NA,NA,522.8107832,NA,NA,NA,,
121,Adler5,17.28415942,8.876876192,6.041628821,33.30526144,145.4213985,47.77271358,2.928518778,675.3810303,444.7955638,118.8064993,3.674999972,,
123,Adler13,13.13600394,5.293308131,4.467136515,26.19055043,163.2966544,33.76564246,2.550437728,476.661092,259.705855,98.83980735,2.625000007,,
125,Adler16,12.56000497,7.373875626,6.862747762,58.97310898,NA,NA,NA,745.4474377,416.3101478,139.0138783,3.044999952,,
126,Adler17,19.59890034,13.12681229,8.682944944,81.4915088,208.5251584,25.22581996,4.774086673,1293.78581,230.1023074,93.07406657,2.510000033,,
127,Adler18,16.93274892,8.788529971,5.273985297,33.86118219,161.454428,45.58234701,2.20114378,647.4545418,287.3070586,89.55089278,3.229999972,,
128,Barnett1,14.73888506,7.983418735,8.483617689,53.23707344,166.2793213,42.95970712,2.550554313,686.0253238,248.5942279,113.9163017,2.260000007,,
129,Baughman2,14.09577203,6.708455433,7.608161412,74.60196859,210.5914253,33.18111888,4.317710742,803.4324616,178.8557425,94.0082502,1.815000001,,
130,Baughman3,18.62241356,11.42374103,7.384645061,45.99012535,NA,NA,NA,403.6591262,34.94199159,17.24564719,2.724999952,,
132,Blumenthal1,16.03600394,8.693308131,9.467136515,56.19055043,190.6299877,25.93230912,4.217104395,840.3944253,349.8376042,154.6549637,2.255,,
136,Blumenthal8,18.36556701,11.32681229,6.34961161,46.4915088,207.1918251,41.89248663,2.440753339,955.9191437,273.613602,88.02198503,3.175000033,,
137,Blumenthal10,16.41082349,9.857394662,6.618538042,35.38519644,186.7639489,30.61974934,1.19302557,559.740517,107.4734141,43.15422269,2.155000063,,
138,Board1,17.43901509,10.5625831,6.550130017,39.52315577,184.4830296,36.17521267,2.588062203,814.464916,235.1875525,66.68232352,3.479999972,,
139,Bradford1,21.1119936,15.90431308,5.643100498,31.53482462,175.852025,30.11863205,2.426305584,758.1361316,151.0016464,48.68783989,3.215000007,,
140,Chambers1,20.23223368,11.42681229,4.682944944,18.82484213,128.1918251,53.29248663,2.440753339,464.0524771,435.2417779,166.9878717,2.63,,
141,Chambers2,18.34718659,11.34383206,3.734252737,6.726868389,122.9059824,49.73600333,2.374789765,650.3346954,351.0301421,217.4739215,1.500000001,,
142,Chambers4,14.57041321,7.394628684,4.258899042,14.10971853,124.5062676,59.25603062,2.552029877,498.3098328,556.2980763,287.2595915,1.959999954,,
143,Chambers5,18.14476124,10.60162614,4.317580596,15.81643674,128.166798,44.78651189,5.009703136,651.0625139,235.7910735,119.1951422,1.979999952,,
144,Chambers6,15.2433501,7.149045544,4.226824896,19.78584599,127.2999161,39.9064387,2.330527803,396.5419976,162.1764706,69.80131073,2.250000007,,
145,Chambers7,15.84099192,10.3845173,7.299738952,58.2721344,245.7018052,13.92073936,1.017173317,NA,11.24341698,4.966884633,2.160000063,,
146,Chambers8,17.46014908,10.05454781,7.550926137,41.98286897,176.6434358,40.22570318,1.471053301,800.7894033,173.4916827,61.95308136,2.724999972,,
147,Chambers9,20.33984043,12.28809464,5.641231023,26.13157283,157.9027207,34.02854042,2.928033023,748.5331684,65.57934856,24.33818602,2.27,,
148,Copeland1,18.52928783,10.24861303,4.837743267,22.91898978,157.5149489,33.84426437,1.182765766,558.8904485,282.6191549,110.7799967,2.56,,
149,Copeland5,13.66933727,6.926641464,7.800469849,52.19055043,175.2966544,34.09897579,3.550437728,632.161092,226.4909993,121.9885659,1.840000063,,
150,Copeland9,15.8496746,9.413786869,9.716454225,72.49803321,213.2889807,21.38051465,3.839378484,885.4218155,127.1303855,55.42420177,2.059999954,,
