Year,Site,Year_site,Gravel color,Density,Genotype,Block,Unique ID,Phen_score,Phen_score_plus1,Freezing_Point,Min_Temp_Reached,dFvFm,SLA_m2_kg,lnSLA
2022,Balzor,2022_Balzor,White,Low,5,6,005REN-01,1,2,-4.54,-15.65,0.475,38.68076536,3.655342457
2022,Balzor,2022_Balzor,White,Low,5,6,005REN-03,2,3,-5.606,-15.52,0.337,40.77833126,3.708150844
2022,Balzor,2022_Balzor,White,Low,5,6,005REN-04,1,2,-6.254,-16.58,0.281,37.27777778,3.618397379
2022,Balzor,2022_Balzor,White,Low,5,6,005REN-05,3,4,,-16.59,0.252,31.95989406,3.464481806
2022,Balzor,2022_Balzor,White,Low,6,1,006REN-01,2,3,-7.49,-16.97,0.396,38.61230329,3.653570964
2022,Balzor,2022_Balzor,White,Low,6,1,006REN-02,2,3,-6.533,-15.33,0.343,29.43722944,3.382260181
2022,Balzor,2022_Balzor,White,Low,11,7,011REN-02,3,4,-6.715,-15.32,0.313,41.28637476,3.720532537
2022,Balzor,2022_Balzor,White,Low,11,7,011REN-03,1,2,-9.46,-15.36,0.371,50.62068966,3.924360379
2022,Balzor,2022_Balzor,White,Low,11,7,011REN-04,2,3,-7.17,-15.96,0.278,36.45526614,3.596085924
2022,Balzor,2022_Balzor,White,Low,12,1,012REN-06,4,5,-5.358,-15.32,0.312,33.88313609,3.52291743
2022,Balzor,2022_Balzor,White,Low,12,1,012REN-07,4,5,-5.705,-15.95,0.301,23.67039674,3.164225185
2022,Balzor,2022_Balzor,White,Low,12,1,012REN-09,2,3,-5.779,-15.83,0.403,32.98498123,3.496052344
2022,Balzor,2022_Balzor,White,Low,12,1,012REN-10,3,4,-5.777,-15.77,,32.18169145,3.471397702
2022,Balzor,2022_Balzor,White,Low,14,1,014REN-11,4,5,-6.077,-15.14,0.26,42.12709285,3.740691069
2022,Balzor,2022_Balzor,White,Low,14,1,014REN-12,1,2,-6.435,-15.38,0.256,41.51943463,3.726161622
2022,Balzor,2022_Balzor,White,Low,14,1,014REN-13,2,3,-4.059,-15.48,0.443,,
2022,Balzor,2022_Balzor,White,Low,14,1,014REN-14,2,3,-6.493,-15.37,0.283,33.52338245,3.512243179
2022,Balzor,2022_Balzor,White,Low,18,9,018REN-02,3,4,-7.62,-15.75,0.288,38.62944162,3.654014722
2022,Balzor,2022_Balzor,White,Low,36,5,036REN-01,4,5,,,0.235,28.15262719,3.337640678
2022,Balzor,2022_Balzor,White,Low,36,5,036REN-02,4,5,-7.65,-15.8,0.212,35.2086987,3.561293174
2022,Balzor,2022_Balzor,White,Low,65,7,065REN-08,4,5,-4.755,-15.65,0.234,32.33953665,3.476290527
2022,Balzor,2022_Balzor,White,Low,65,7,065REN-10,3,4,-6.132,-15.51,,44.02714932,3.784806474
2022,Balzor,2022_Balzor,White,Low,66,7,066REN-12,1,2,-6.597,-15.33,,49.18367347,3.895561728
2022,Balzor,2022_Balzor,White,Low,66,7,066REN-15,1,2,-6.222,-16.25,0.419,51.92771084,3.949852575
2022,Balzor,2022_Balzor,White,Low,87,4,087LOG-02,1,2,,,0.797,24.76821192,3.209561054
2022,Balzor,2022_Balzor,White,Low,87,4,087LOG-04,2,3,-6.024,-15.22,0.308,39.95155039,3.68766748
2022,Balzor,2022_Balzor,White,Low,88,10,088LOG-01,3,4,-6.071,-15.91,0.298,39.35805202,3.67270058
2022,Balzor,2022_Balzor,White,Low,88,10,088LOG-02,2,3,-6.267,-16.23,0.326,45.05524862,3.807889484
2022,Balzor,2022_Balzor,White,Low,88,10,088LOG-03,2,3,-7.44,-15.16,0.282,39.96786042,3.688075642
2022,Balzor,2022_Balzor,White,Low,88,10,088LOG-04,3,4,-4.981,-15.84,0.216,40.75770548,3.707644913
2022,Balzor,2022_Balzor,White,Low,88,10,088LOG-05,2,3,-5.736,-15.29,0.276,44.29274293,3.790820847
2022,Balzor,2022_Balzor,White,Low,95,8,095LOG-01,1,2,,,0.739,62.22972973,4.130832855
2022,Balzor,2022_Balzor,White,Low,95,8,095LOG-02,2,3,-6.654,-15.53,0.353,36.069869,3.585457863
2022,Balzor,2022_Balzor,White,Low,97,7,097LOG-16,1,2,-6.094,-15.19,,36.36593592,3.59363251
2022,Balzor,2022_Balzor,White,Low,100,10,100REN-09,2,3,-6.377,-15.29,0.251,33.41485507,3.509000564
2022,Balzor,2022_Balzor,White,Low,103,6,103REN-08,1,2,,,0.734,59.19014085,4.080754988
2022,Balzor,2022_Balzor,White,Low,103,6,103REN-10,1,2,-5.462,-15.64,0.26,39.75505857,3.682737093
2022,Wildcat,2022_Wildcat,Black,Low,5,9,005REN-02,4,5,-7.27,-16.12,0.147,24.09622887,3.18205535
2022,Wildcat,2022_Wildcat,Black,Low,5,9,005REN-03,4,5,-7.44,-15.71,0.034,26.01432708,3.258647428
2022,Wildcat,2022_Wildcat,Black,Low,5,9,005REN-04,3,4,-7.87,-15.16,0.141,21.25432099,3.056560215
2022,Wildcat,2022_Wildcat,Black,Low,5,9,005REN-05,3,4,-6.851,-15.02,0.031,26.14204033,3.263544759
2022,Wildcat,2022_Wildcat,Black,Low,6,9,006REN-06,4,5,-7.56,-15.42,0.526,17.05182342,2.836257143
2022,Wildcat,2022_Wildcat,Black,Low,6,9,006REN-08,3,4,-7.37,-15.53,0.07,20.6445993,3.02745375
2022,Wildcat,2022_Wildcat,Black,Low,6,9,006REN-09,2,3,-8.01,-15.1,0.362,21.21107266,3.054523341
2022,Wildcat,2022_Wildcat,Black,Low,6,9,006REN-10,3,4,-7.03,-15.71,0.261,22.13977567,3.097375795
2022,Wildcat,2022_Wildcat,Black,Low,11,10,011REN-02,2,3,-7.3,-15.45,0.445,23.31256231,3.14899237
2022,Wildcat,2022_Wildcat,Black,Low,11,10,011REN-03,4,5,-7.18,-14.99,0.337,25.73026422,3.247667895
2022,Wildcat,2022_Wildcat,Black,Low,11,10,011REN-04,1,2,-3.77,-15.16,0.227,33.95461912,3.525024901
2022,Wildcat,2022_Wildcat,Black,Low,12,6,012REN-01,2,3,-6.686,-14.94,0.027,20.33878505,3.012529657
2022,Wildcat,2022_Wildcat,Black,Low,12,6,012REN-03,3,4,-6.74,-15.11,0.05,25.42353392,3.235675277
2022,Wildcat,2022_Wildcat,Black,Low,12,6,012REN-04,3,4,-7.25,-15.11,0.057,21.07463524,3.048070196
2022,Wildcat,2022_Wildcat,Black,Low,12,6,012REN-05,2,3,-8.16,-15.25,0.109,21.21705964,3.054805558
2022,Wildcat,2022_Wildcat,Black,Low,14,1,014REN-01,3,4,-6.108,-15.28,0.084,21.65935841,3.07543762
2022,Wildcat,2022_Wildcat,Black,Low,18,1,018REN-07,3,4,-6.697,-14.99,0.169,21.69197397,3.076942329
2022,Wildcat,2022_Wildcat,Black,Low,18,1,018REN-08,2,3,-6.927,-15.05,0.237,27.13981547,3.301001855
2022,Wildcat,2022_Wildcat,Black,Low,18,1,018REN-09,2,3,-7.79,-15.91,0.257,18.08144796,2.894886438
2022,Wildcat,2022_Wildcat,Black,Low,18,1,018REN-10,2,3,-7.41,-15.28,0.174,23.2628239,3.146856546
2022,Wildcat,2022_Wildcat,Black,Low,36,5,036REN-01,2,3,-8.76,-15.3,0.633,23.58523726,3.160620976
2022,Wildcat,2022_Wildcat,Black,Low,36,5,036REN-02,0,1,-7.62,-15.69,,34.55767077,3.542629545
2022,Wildcat,2022_Wildcat,Black,Low,36,5,036REN-03,2,3,-7.2,-15.12,0.326,23.98067188,3.177248168
