PopNum,tray,DaysToFlower,InflorHeight_cm,InflorNumber
1,9,119,61.5,3
1,14,118,49,2
3,2,181,39,1
3,12,195,29,5
78,2,133,41.1,3
78,7,134,42.5,3
78,11,127,45,2
113,4,218,14,4
113,7,216,21,2
113,11,239,20.5,5
114,5,250,NA,NA
114,7,250,17.5,1
114,11,250,23,1
115,3,202,21.5,3
115,6,226,16.5,3
116,3,250,7.5,1
116,9,211,32,3
116,11,246,19.5,1
117,2,250,NA,NA
117,10,250,NA,NA
117,11,250,NA,NA
118,2,250,NA,NA
118,6,250,NA,NA
118,14,250,NA,NA
121,3,138,47.5,3
121,9,145,50.5,3
121,14,147,47.5,3
123,4,165,42,3
123,7,157,35,3
123,14,169,21.5,2
126,3,209,21.5,5
126,7,202,33,4
126,12,209,26,5
127,3,153,59.5,2
127,13,169,32,2
128,4,163,46,2
128,8,174,33.5,2
128,13,171,47,4
129,6,218,34,5
129,12,202,34,4
130,5,250,NA,NA
130,11,239,NA,NA
132,4,174,26,3
132,7,187,21,4
132,14,212,28,6
136,3,218,45.5,3
136,7,187,29.5,1
136,12,211,55.5,3
137,9,161,42,1
137,14,209,19.5,2
138,3,163,42.5,2
138,6,209,40,4
138,14,183,22,2
139,4,169,46.5,2
139,7,167,19,3
139,13,189,24,2
140,3,123,58.2,2
140,7,129,53.5,2
140,12,127,53,3
141,1,121,55.2,3
141,6,118,34.5,1
141,13,129,52.1,3
142,4,120,65,2
142,9,121,61.5,3
142,12,122,61,3
143,1,127,43.9,4
143,7,128,42.5,5
143,11,127,46,6
144,4,127,52,3
144,6,122,21,1
144,13,132,44.6,3
145,3,250,12,1
145,7,250,13,1
145,14,237,14,1
146,3,166,48.5,1
146,9,163,40.3,1
146,13,191,36,2
147,1,157,23.5,2
147,7,151,42,2
147,14,167,28.5,5
148,1,161,39.5,1
148,13,157,25,1
148,15,159,30,1
149,4,189,40.5,3
149,7,169,28,3
149,14,169,31,5
150,1,216,22,5
150,9,195,22,3
150,14,224,17,4
153,1,127,38.5,2
153,13,136,40.2,1
153,14,129,46.5,3
154,4,129,68,1
154,9,133,52,4
154,14,136,55,1
155,1,169,15.5,2
155,7,162,27,3
158,4,230,14.5,4
158,11,224,20.5,4
160,2,195,29,2
160,9,218,31,1
160,12,207,40,1
161,4,169,43.5,3
161,6,162,31,2
161,12,174,46.5,4
162,3,204,25.5,2
162,6,209,46,6
163,2,169,28.5,1
163,8,169,33,3
163,12,169,57.5,3
165,3,176,28,1
165,6,171,29,2
165,12,164,47.5,4
166,1,211,26,3
166,8,195,30.6,4
167,1,181,35,3
167,7,157,30.5,2
167,14,169,29.5,4
168,3,176,29.5,3
168,8,209,34.5,5
168,11,202,30,5
169,3,164,46.5,1
169,8,202,23.5,3
169,14,189,30.5,4
170,2,216,36.5,2
170,6,211,21.5,5
171,1,195,37,2
171,7,209,37,4
171,14,200,34,4
172,2,214,39.5,2
172,6,209,38.5,7
172,12,216,36,3
173,4,202,26,3
173,11,197,26,3
175,1,121,57.5,4
175,7,121,61.5,2
175,13,123,55.5,3
176,1,127,37.9,3
176,8,130,45.5,3
176,14,135,45,3
177,4,118,58,2
177,6,120,47.5,3
177,14,124,58,3
178,3,112,55.5,1
178,8,113,37.5,2
178,14,115,47,6
180,2,130,57.5,2
180,9,128,67.5,3
180,12,133,60,2
181,3,250,20,1
181,8,228,20,1
181,12,222,37.5,4
182,2,216,19,1
182,8,224,16,3
182,13,216,16.5,2
183,1,211,8.5,1
183,6,207,19,1
183,13,183,15,3
184,4,209,31.5,5
184,7,207,18.5,3
184,12,209,27.5,4
185,4,171,35.5,3
185,6,193,40.5,4
185,11,202,52,4
186,4,218,39.5,3
186,12,237,22.5,1
187,2,169,40,2
187,12,169,49.5,3
188,1,132,24.8,3
188,8,130,22,3
188,11,136,44.5,5
189,4,191,37,3
189,8,200,48.5,4
189,11,191,37,3
190,1,169,12.5,2
190,7,164,29,2
190,14,163,34.5,7
191,6,216,11,1
191,12,224,13,2
192,4,195,51,3
192,7,189,36,3
192,13,189,43,3
195,4,250,NA,NA
195,9,250,NA,NA
