PopNum,tray,SeedlingHeight_cm,AdultHeight_cm,SpringGrowth_cm,tillersN,leavesN
1,9,11.2,12.8,1.6,4,14
1,14,7.6,16.5,8.9,4,12
3,2,7.5,9,1.5,9,65
3,9,2.8,28.1,25.3,7,85
3,12,5.9,14.2,8.3,6,50
78,2,4.9,13.2,8.3,6,19
78,7,5,14.1,9.1,4,12
78,11,6.6,16,9.4,3,12
113,4,8.4,17,8.6,6,38
113,7,5,14.3,9.3,9,70
113,11,11.1,15.5,4.4,7,35
114,3,10,20.2,10.2,10,70
114,7,7.8,18.1,10.3,10,75
114,11,11,11.5,0.5,11,60
115,3,6.4,19.9,13.5,12,75
115,6,3.7,15,11.3,6,90
115,12,5.7,12.5,6.8,6,40
116,3,6.1,22.1,16,13,80
116,9,6.7,15.7,9,7,50
116,11,6.8,17,10.2,7,55
117,2,6.5,14.2,7.7,13,95
117,7,6.5,15.5,9,13,95
117,11,8.3,18,9.7,10,60
118,2,7,9.9,2.9,13,84
118,6,7.3,16,8.7,1,45
118,14,5.7,12,6.3,8,60
121,3,10.7,20.2,9.5,7,30
121,9,8.3,18.1,9.8,7,30
121,14,6.6,19,12.4,4,35
123,4,8.2,17,8.8,3,22
123,7,7.9,16,8.1,5,25
123,14,6,9.5,3.5,5,25
125,9,6.2,17.8,11.6,7,65
125,11,6,12.5,6.5,6,48
126,3,6.4,24.4,18,9,65
126,7,6.2,23,16.8,10,60
126,12,7.5,15.5,8,8,120
127,3,9,22.5,13.5,5,25
127,13,8.5,11.7,3.2,8,55
128,4,7,19.5,12.5,6,40
128,8,6.2,10,3.8,6,39
128,13,7,13.9,6.9,13,85
129,1,8.2,12.5,4.3,8,82
129,6,7.2,12.5,5.3,6,70
129,12,6,14,8,7,70
130,3,6.6,26.1,19.5,7,50
130,9,7.6,20.2,12.6,7,42
130,11,10.3,17,6.7,8,39
132,4,7.9,21.5,13.6,8,37
132,7,6.5,14.7,8.2,11,75
132,14,6.2,15,8.8,9,50
136,3,9,23,14,6,50
136,7,4.8,18.2,13.4,7,40
136,12,8,18,10,7,50
137,2,6.6,14.7,8.1,11,51
137,9,7.4,17.5,10.1,5,25
137,14,5.1,17,11.9,5,40
138,3,8.2,21.5,13.3,6,30
138,6,6.5,15,8.5,5,38
138,14,5.2,17,11.8,7,36
139,4,5,25,20,5,27
139,7,4.8,18.6,13.8,7,30
139,13,5.7,21.4,15.7,7,50
140,3,12.1,19.5,7.4,5,15
140,7,8,20.3,12.3,5,30
140,12,7,25,18,5,12
141,1,6.7,22.2,15.5,5,13
141,6,5,15,10,3,9
141,13,8.5,12.3,3.8,4,12
142,4,7.1,20.5,13.4,3,8
142,9,7.4,12.3,4.9,4,15
142,12,8,17,9,4,14
143,1,8.5,16.7,8.2,5,14
143,7,6.6,18.7,12.1,6,20
