PopNum,tray,veg_biomass_mg,rep_biomass_mg,TotalDryBiomass_mg
1,9,541.5,1141.3,1682.8
1,14,411.7,839.3,1251
3,2,299.4,244.4,543.8
3,9,748.6,NA,748.6
3,12,744,275.2,1019.2
78,2,426.2,392.1,818.3
78,7,470.8,340.1,810.9
78,11,373.1,658.7,1031.8
113,4,NA,32,NA
113,7,482,NA,464.4
113,11,897.8,294.5,1192.3
114,3,NA,NA,NA
114,7,783,NA,783
114,11,1156.9,153.3,1310.2
115,3,1229,NA,1229
115,6,1196.6,186.3,1382.9
115,12,223.2,NA,223.2
116,3,NA,72.7,NA
116,9,881.4,253.6,1135
116,11,NA,87.9,NA
118,6,395.5,NA,395.5
118,14,NA,8.3,NA
121,3,621.6,784.1,1405.7
121,9,890.5,510,1400.5
121,14,810.7,503.5,1314.2
123,4,626.6,301.3,927.9
123,7,280,292.9,572.9
123,14,591.8,135.6,727.4
125,9,862,NA,862
125,11,950.5,665.7,1616.2
126,3,1418.3,453.3,1871.6
126,7,1266.7,126.3,1393
126,12,1269,426.1,1695.1
127,3,797.6,538.1,1335.7
127,13,482.8,181.6,664.4
128,4,672.3,363.7,1036
128,8,192.9,142.8,335.7
128,13,1095.7,459.9,1555.6
129,1,555.6,111.9,667.5
129,6,735.6,74,809.6
129,12,915.5,308.1,1223.6
130,3,NA,57.2,NA
130,9,593.6,NA,593.6
130,11,NA,118.2,NA
132,4,776.6,623.8,1400.4
132,7,861.3,408.2,1269.5
132,14,951.7,266.4,1218.1
136,3,536,533.2,1069.2
136,7,898.4,50.7,949.1
136,12,1506,607.2,2113.2
137,2,436.1,NA,436.1
137,9,476.9,113,589.9
137,14,898,110.6,1008.6
138,3,677.2,224.4,901.6
138,6,1014,491,1505
138,14,731.6,NA,695.5
139,4,717.8,308,1025.8
139,7,835,151.4,986.4
139,13,668.8,103.2,772
140,3,536.8,765.9,1302.7
140,7,450.4,543.3,993.7
140,12,477.6,497.7,975.3
141,1,890,870.7,1760.7
141,6,84.3,203.9,288.2
142,4,402.3,694.9,1097.2
142,9,614.1,666,1280.1
142,12,787.6,949.5,1737.1
143,1,584.2,735.2,1319.4
143,7,542.9,553.4,1096.3
143,11,716.3,851.3,1567.6
144,4,533.1,757.6,1290.7
144,6,48.9,173.5,222.4
144,13,469.9,586.5,1056.4
146,3,878.3,312.6,1190.9
146,9,1085.9,156.1,1242
146,13,613.6,285.4,899
147,1,556.1,198.4,754.5
147,7,856.2,305.9,1162.1
147,14,706.3,140.4,846.7
148,1,379.8,111.7,491.5
148,13,204.4,19.5,223.9
148,15,974.1,884.7,1858.8
149,4,702,536.3,1238.3
149,7,313,132.1,445.1
149,14,949.9,162.9,1112.8
150,1,824.6,135,959.6
150,9,959,157.6,1116.6
150,14,978,84.1,1062.1
153,1,437.2,548.2,985.4
153,13,819.6,614.7,1434.3
153,14,924.1,931.3,1855.4
154,4,368.9,598.8,967.7
154,9,829.1,431.8,1260.9
154,14,862.7,519.6,1382.3
155,1,736.1,120.4,856.5
155,7,619.1,223.1,842.2
155,14,473.4,NA,473.4
158,4,546.9,153.5,700.4
158,7,559.4,NA,559.4
158,11,536.2,189.6,725.8
160,2,349.1,180.7,529.8
160,9,813.5,158.6,972.1
160,12,337.7,204.5,542.2
161,4,972,392,1364
161,6,117,138.4,255.4
161,12,1008.4,334.1,1342.5
162,3,881.9,NA,881.9
162,6,1624.5,905.3,2529.8
163,2,401.5,160.9,562.4
163,8,485.2,576.3,1061.5
163,12,910.3,752.8,1663.1
165,3,854.8,398.9,1253.7
165,6,196.3,91.7,288
165,12,1039.6,633.1,1672.7
166,1,652.5,212.1,864.6
166,8,529,444.6,973.6
166,13,651.9,NA,651.9
167,1,683.7,318.4,1002.1
167,7,700.3,108.4,808.7
167,14,1069,351.7,1420.7
168,3,936.7,113,1049.7
168,8,1111.8,423.3,1535.1
168,11,910.3,591.7,1502
169,3,1015.3,428,1443.3
169,8,278.7,293,571.7
169,14,466,296.4,762.4
170,2,298,129.3,427.3
170,6,815.1,237,1052.1
170,13,940.2,NA,940.2
171,1,619.5,405.3,1024.8
171,7,900.9,260.9,1161.8
171,14,1282.8,240.6,1523.4
172,2,311.8,314.2,626
172,6,1385,689.4,2074.4
172,12,1380.5,123.4,1503.9
173,4,854.6,397.1,1251.7
173,7,451.4,NA,451.4
173,11,648.2,431,1079.2
174,4,713.1,NA,713.1
174,9,699.1,NA,699.1
174,13,382.7,NA,382.7
175,1,505.7,682.9,1188.6
175,7,439.6,619.7,1059.3
175,13,672.6,883.7,1556.3
176,1,378.1,508.7,886.8
176,8,341.8,826.7,1168.5
176,14,564.6,618,1182.6
177,4,340,542.1,882.1
177,6,187.9,312,499.9
177,14,522.1,730,1252.1
178,3,73.7,387,460.7
178,8,65.6,350.4,416
178,14,534.7,959.5,1494.2
180,2,501.9,519.7,1021.6
180,9,928.1,525.5,1453.6
180,12,576.5,610.8,1187.3
181,3,1289,37.6,1326.6
181,12,1438.9,69.2,1508.1
182,2,484.4,207.5,691.9
182,8,NA,249.8,NA
182,13,301,19.3,320.3
183,1,493.5,NA,493.5
183,6,205.4,42.8,248.2
183,13,687.5,NA,684.9
184,4,1207.4,538.2,1745.6
184,7,1178,62.8,1240.8
184,12,665,529.6,1194.6
185,4,959.8,538.2,1498
185,6,1213.8,905.6,2119.4
185,11,1207.7,583.1,1790.8
186,4,797,316.8,1113.8
186,7,370.2,NA,370.2
186,12,969,NA,969
187,2,1010.6,64.1,1074.7
187,7,661.2,NA,661.2
187,12,382.9,299.6,682.5
188,1,234.2,245.2,479.4
188,8,248.2,331.9,580.1
188,11,1363.5,1071.3,2434.8
